date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,2373.0,1273,2999,2407.0,131763,592.0,11234.0,131763,0.61,7093.0,0.0,,34436,262444,2013年01月01日至2013年03月31日,,188710,320473,188364,319673,230108,-6962,3513203,4140507,627304,627304,397196,,49559,,,0.6,85193,188710,223146,,,,,20.0,11234,0.0,3427.0,,24365.0,4171031.0,4140507.0,6159.0,346,800
2013-08-09,2,2013,,6128.0,-710,2824,1927.0,76778,897.0,,76778,0.62,6517.0,0.0,,88119,219763,2013年04月01日至2013年06月30日,,194074,270852,193469,269978,291273,-9080,3470864,4120156,649292,649292,358019,,55060,,,0.62,83196,194074,282193,,,,0.0,104.0,11194,0.0,995.0,,33327.0,4162716.0,4120156.0,9233.0,605,874
2013-11-08,3,2013,,2819.0,2353,5045,4362.0,-53266,683.0,,-53266,0.87,4560.0,0.0,,51931,258389,2013年07月01日至2013年09月30日,,270787,217521,270149,217065,328371,-5653,3778753,4506127,727374,727374,399003,,49124,,,0.86,91490,270787,322718,,,,732.0,0.0,13051,0.0,120.0,,,,4506127.0,,638,456
2014-03-24,4,2013,,,60301,2950,,245494,,,289744,2.69,,,,194544,980458,2013年01月01日至2013年12月31日,,838123,1083617,836020,1080674,1019278,13389,14327856,16873122,2545266,2545266,1525988,,205102,,5859.0,2.65,340428,838123,1032667,,50109.0,,,,49862,,,,,,,,2103,2943
2014-05-09,1,2014,,,5272,738,,-19001,,,-22877,0.8,,,,43915,225920,2014年01月01日至2014年03月31日,,249335,230334,248748,229823,300907,-7657,3527566,4189595,662029,662029,361122,43915.0,48598,,,0.78,86604,249335,293250,,-3876.0,,,,13667,,,,,,4189595.0,,587,511
2014-08-11,2,2014,,,-1054,1038,,-95013,,,-114407,0.95,,,,74023,237208,2014年第2季,,297605,202592,296905,202217,382259,-10631,3616033,4358726,742693,742693,360434,,36362,,,0.94,86864,297605,371628,,-19394.0,,,,10615,,,,,,,,700,375
2014-11-10,3,2014,,,1300,960,,136788,,,164709,1.46,,,,81033,292018,2014年第3季,,456446,593234,455557,591873,545985,-8506,4124858,5095442,970584,970584,424599,,38469,,,1.43,94112,456446,537479,,27921.0,,,,10766,,,4124858.0,,,5095442.0,,889,1361
2015-03-09,4,2014,,,48660,4267,,227042,,,256855,4.91,,,,296618,1054894,2014年度,,1541633,1768675,1538696,1765330,1832391,5860,15454173,18884745,3430572,3430572,1598181,,167009,,4958.0,4.84,376278,1541633,1838251,,34771.0,,,,47067,,,,,,,,2937,3345
2015-05-06,1,2015,,,6743,1583,,-61375,,,-73747,1.72,,,-61375.0,191575,261186,2015年01月01日至2015年03月31日,191575.0,543832,482457,543197,482791,737243,-1836,3830464,4962604,1132140,1132140,394897,,40998,,,1.7,92713,543832,735407,,,-12372.0,,,10162,,,,,,,,635,-334
2015-07-30,2,2015,,,11275,1616,,-86978,,,-104768,1.51,,,-86978.0,250461,261452,2015年第2季,,479491,392513,478818,391965,727904,2048,3723532,4873024,1149492,1149492,421588,,49743,,,1.5,110393,479491,729952,,,-17790.0,,,10843,,,,,,,,673,548
2015-11-04,3,2015,,,29571,1783,,280087,,,337372,2.43,,,280087.0,282148,347961,2015年第3季,,770879,1050966,769960,1049643,1028394,24633,4460236,6008531,1548295,1548295,519901,,47015,,,2.41,124925,770879,1053027,,,57285.0,,,6721,,,4460236.0,,,6008531.0,,919,1323
