date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,0.0,-27743,-12497,54733,,,41951,29543,0.0,0.0,,,,4198,40151.0,-36346,,19515,2013年01月01日至2013年03月31日,7362,49313,2859,44647,,,29205,-17645,3162266,3360185,197919,197919,168714,5241,,,0.0,0.0,143958,7362,11560,,,23535,4503,4666
2013-08-13,2,2013,,,-83434,879,50906,505874.0,608356.0,-44194,18128,0.01,0.01,1890230.0,2032175.0,,16875,21112.0,-49929,,12837,2013年04月01日至2013年06月30日,20911,-23283,15615,-27670,1890230.0,2032175.0,60493,-22707,2396104,2640531,244427,244427,183934,6650,,,0.01,0.01,164447,20911,37786,,,24563,5296,4387
2013-11-13,3,2013,,,-45279,315,81530,663355.0,803397.0,-73703,-10178,0.06,0.06,2186056.0,2289854.0,,14175,-18246.0,-30818,,14645,2013年07月01日至2013年09月30日,91780,18077,84761,12724,2186056.0,2289854.0,78633,27322,2849411,3093251,243840,243840,165207,5650,,,0.06,0.06,144912,91780,105955,,,23705,7019,5353
2014-03-27,4,2013,,,-211861,10525,243587,3030905.0,3893663.0,-116795,59812,0.17,0.17,10320980.0,10399328.0,,-2258,25972.0,-137981,,47186,2013年01月01日至2013年12月31日,274966,158171,254939,139473,10320980.0,10399328.0,252703,20005,13351885,14292991,941106,941106,688403,28024,,11183.0,0.17,0.17,613193,274966,272708,,1901.0,96126,20027,18698
2014-05-14,1,2014,,0.0,-59993,-14311,49559,,,-17636,12881,0.02,0.02,,,,12605,29476.0,-2971,,14662,2014年01月01日至2014年03月31日,41713,24077,37379,19704,,,42931,11387,2820305,3043290,222985,222985,180054,5226,,,0.02,0.02,160166,41713,54318,,,20890,4334,4373
2014-05-14,1,2015,,0.0,-18232,18450,59540,,,-50031,-10192,1.31,1.31,,,-50031.0,153484,,5631,-21607.0,31337,2015年01月01日至2015年03月31日,2006603,1956572,2002357,1953407,,,2084188,75899,2864975,5183142,2318167,2318167,233979,7777,,,1.24,1.24,194865,2006603,2160087,,,7722,4246,3165
2014-08-13,2,2014,,,-19404,-17420,44028,467922.0,583854.0,-69414,-19118,0.01,0.01,2527267.0,2616823.0,,15094,-30892.0,9121,,18925,2014年第2季,14928,-54486,11179,-56856,2527267.0,2616823.0,13701,16321,2995189,3200677,205488,205488,191787,7750,,,0.01,0.01,165112,14928,30022,,,19408,3749,2370
2014-11-13,3,2014,,,-167197,-184764,54302,1234781.0,2752190.0,-118728,19193,0.2,0.2,3114782.0,2102188.0,,-171919,29276.0,-23464,,15393,2014年第3季,311298,192570,304881,188368,3114782.0,2102188.0,310044,-170665,4349563,4854378,504815,504815,194771,6650,,,0.19,0.19,172728,311298,139379,,,16739,6417,4202
2015-03-30,4,2014,,,-91074,-89647,191549,2365553.0,4251393.0,16751,47450,0.34,0.34,10347338.0,9647257.0,,-178510,80162.0,-77826,,69939,2014年度,534156,550907,516574,534116,10347338.0,9647257.0,406289,-50643,12712891,13898650,1185759,1185759,779470,29754,,-23834.0,0.33,0.33,679777,534156,355646,,-4047.0,74719,17582,16791
2015-08-13,2,2015,,,-98521,-16648,64173,554471,767500,-119189,-663,0.01,0.01,2221182,2289964,-119189,58703,,-26384,-20005,19317,2015年第2季,23876,-95313,18232,-99912,2221182,2289964,68538,14041,2775653,3057464,281811,281811,213273,9286,,,0.01,0.01,184670,23876,82579,,,7100,5644,4599
2015-11-12,3,2015,,,-99688,-87692,68726,401495.0,906460.0,-21700,12251,-0.41,-0.41,3515166.0,2635860.0,-21700.0,-63524,,-5216,65737.0,38930,2015年第3季,-617579,-639279,-621243,-641342,3515166.0,2635860.0,-644468,-36635,3916661,3542320,-374341,-374341,270127,9151,,,-0.41,-0.41,222046,-617579,-681103,,,12453,3664,2063
2016-03-29,4,2015,-1478.0,,-251991,-729595,242380,2746569.0,5631197.0,-306627,-29930,0.34,0.34,10862183.0,10050452.0,-305149.0,11296,,-58185,-23228.0,130196,2015年度,533746,227119,523013,220890,10862183.0,10050452.0,1132104,-587062,13608752,15681649,2072897,2072897,940793,33832,-1781.0,,0.33,0.33,776765,533746,545042,-303.0,,41662,10733,6229
2016-05-12,1,2016,,,33881,-16484,55787,,,-690,-31023,0.03,0.03,,,-690.0,17779,,-10979,-3548.0,20740,2016年01月01日至2016年03月31日,42215,41525,41495,40887,,,43799,16195,2433828,2660811,226983,226983,183184,4375,,,0.03,0.03,158069,42215,59994,,,12129,720,638
2016-08-11,2,2016,,,-71714,-12366,47941,508060.0,628264.0,-126585,-1854,-0.01,-0.01,1698895.0,1817379.0,-126585.0,30049,,-39814,-53017.0,27792,2016年第2季,-11734,-138319,-12267,-135943,1698895.0,1817379.0,38984,-20669,2206955,2445643,238688,238688,199704,5523,,,-0.01,-0.01,166389,-11734,18315,,,16430,533,-2376
2016-11-10,3,2016,,,42453,-4713,75817,859059.0,1209122.0,-28072,2419,0.11,0.11,1348357.0,1403322.0,-28072.0,36954,,-34735,-72944.0,41464,2016年第3季,164465,136393,163789,133835,1348357.0,1403322.0,182238,19181,2207416,2612444,405028,405028,222790,4969,,,0.11,0.11,176357,164465,201419,,,17188,676,2558
