date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,40276,2168,15321,262369,222093,0.12,,,27360,,,4054,2013年01月01日至2013年03月31日,131740,394109,131496,393998,137721,21379,1292714,1485551,192837,192837,55116,,,0.12,,131740,,159100,,,,164,244,111
2013-08-13,2,2013,,-45973,1721,12117,1430,49281,0.13,,,28228,,2733.0,2478,2013年04月01日至2013年06月30日,134422,135852,134313,135596,146731,15919,1351152,1552923,201771,201771,55040,,,0.13,,134422,,162650,,4611.0,,397,109,256
2013-11-11,3,2013,,64272,4382,76077,-67367,-118729,0.16,,,9727,,-1191.0,-263,2013年07月01日至2013年09月30日,175799,108432,175532,108167,105698,79828,1382000,1544440,162440,162440,56742,,,0.16,,175799,,185526,,11719.0,,368,267,265
2014-03-25,4,2013,,182518,9176,144196,105809,222429,0.54,,,94383,,,5884,2013年01月01日至2013年12月31日,581298,687107,580653,686517,517407,158274,5324294,6113325,789031,789031,271624,,-335910.0,0.54,,581298,,675681,,-36772.0,,982,645,590
2014-05-13,1,2014,,-1637,6957,11613,188988,190180,0.11,,,25147,,,1010,2014年01月01日至2014年03月31日,117679,306667,117386,306142,123386,19440,1290019,1471603,181584,181584,58198,,,0.11,,117679,,142826,,-445.0,,140,293,525
2014-08-12,2,2014,,2503,9451,20189,-179265,-175593,0.1,,,99273,,,14581,2014年第2季,106762,-72503,104874,-74336,162760,43275,1405960,1632389,226429,226429,63669,,,0.1,,106762,,206035,,6175.0,,946,1888,1833
2014-11-13,3,2014,,93099,1867,70438,252046,162838,0.2,,,33383,,,11514,2014年第3季,222250,474296,220212,472415,181336,74297,1535004,1775439,240435,240435,59099,,,0.2,,222250,,255633,,3891.0,,9522,2038,1881
2015-03-26,4,2014,,430423,49221,134544,1025968,539969,0.63,,,203711,,,40837,2014年度,674798,1700766,668344,1694205,686563,191946,5763556,6730457,966901,966901,280338,,81164.0,0.63,,674798,,878509,,25588.0,,32656,6454,6561
2015-05-14,1,2015,,106867,-3818,10124,1351,-104496,0.18,,1351.0,41245,,,3878,2015年01月01日至2015年03月31日,196944,198295,196306,197520,254975,-16786,1451235,1765985,314750,314750,59775,,,0.18,,196944,,238189,,,1020.0,26970,638,775
2015-08-13,2,2015,,-282435,-1114,88517,-415992,-135125,0.22,,-415992.0,70219,,,10000,2015年第2季,231652,-184340,230564,-185094,232228,69643,1570920,1868132,297212,297212,64984,,,0.22,,231652,,301871,,,-1568.0,27760,1088,754
2015-11-12,3,2015,,-172086,39755,34929,437479,609832,0.21,,437479.0,44496,,,4006,2015年第3季,221171,658650,222145,659606,221715,43952,1612485,1896721,284236,284236,62521,,,0.21,,221171,,265667,,,267.0,34738,-974,-956
2016-03-25,4,2015,-28629.0,-455895,17746,165244,-99320,369867,0.79,,-70691.0,196399,-43.0,,18180,2015年度,843287,743967,843743,744446,961434,78252,6104974,7348665,1243691,1243691,282257,-34441.0,,0.79,,843287,,1039686,-5855.0,,-15337.0,122918,-456,-479
2016-05-09,1,2016,,-18955,-19103,18356,-244479,-223560,0.18,,-244479.0,40943,,,4648,2016年01月01日至2016年03月31日,196290,-48189,196970,-43516,271773,-34540,1454112,1782364,328252,328252,56479,,,0.18,,196290,,237233,,,1964.0,38441,-680,-4673
2016-08-08,2,2016,,-93672,-18483,93443,-52558,38900,0.23,,-52558.0,87840,,,10857,2016年第2季,237708,185150,237924,181159,278058,47490,1541049,1880283,339234,339234,61176,,,0.23,,237708,0.23,325548,,,-2214.0,38327,-216,3991
2016-11-08,3,2016,,44524,-17270,24285,-250103,-295039,0.16,0.16,-250103.0,32336,,,9458,2016年第3季,170519,-79584,170519,-79392,226315,-23460,1588694,1871958,283264,283264,56949,,,0.16,0.16,170519,,202855,,,-412.0,39933,0,-192
