date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本,勞務成本合計,勞務收入,勞務收入合計,勞務收入淨額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,旅遊服務成本（觀光飯店業適用）合計,旅遊服務收入合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營建工程成本合計,營建工程收入合計,營建成本,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,運輸成本（海陸運輸業、航空業適用）合計,運輸收入淨額,金融資產減損損失,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）,餐旅服務成本合計
2013-05-14,1,2013,,,,-15073,14660,7395,,,872.0,16044.0,,-15073,4370,8652,,201347.0,,223188,,0.05,0.05,,,2888,,,54260,84231,2013年01月01日至2013年03月31日,2590,-12483,7942,-5399,,0,0,0,0,-7925,13403,273589,338536,64947,64947,72872,,,1883,3020,3025,0.05,0.05,2590,5478,,,,,,,8652,201347,223188,,15227,,12053,-5352,-7084,54260
2013-08-13,2,2013,,,-2338.0,9562,4656,10439,,,,,,9562,6328,4070,,222114.0,,248589,,-0.26,-0.26,-284.0,,47244,,-820.0,46855,91382,2013年04月01日至2013年06月30日,-45452,-35890,-44603,-33538,0.0,10050,15500,10050,15500,-8413,10205,342966,427712,84746,84746,93159,,,1886,3291,4111,-0.26,-0.26,-45452,1792,,,,-48.0,,-1986.0,4070,222114,248589,0.0,62061,,68950,-849,-2352,46855
2013-11-12,3,2013,0.0,,-5146.0,117128,5146,25045,,,,,,117128,4793,9808,,224129.0,,249485,,-0.1,-0.1,,,1250,,-16768.0,31338,94024,2013年07月01日至2013年09月30日,-21219,95909,-17126,97577,0.0,0,0,0,0,-23584,3615,315340,406145,90805,90805,114389,,,1879,3299,2515,-0.1,-0.1,-21219,-19969,17737.0,,,,,,9808,224129,249485,0.0,57994,,59337,-4093,-1668,31338
2014-03-26,4,2013,0.0,,,46615,0,155260,101805.0,,,,-209.0,48576,20084,30079,,873452.0,,968703,,0.12,0.12,,,54560,,,202619,372782,2013年01月01日至2013年12月31日,10987,59563,21041,70176,0.0,10050,15500,10050,15500,-59634,125181,1282850,1580575,297725,297725,357359,,2170.0,7283,12909,15634,0.12,0.12,10987,65547,17737.0,,,,,,30079,873452,968703,0.0,189446,210681.0,210681,-10054,-10613,202619
2014-05-14,1,2014,,,,-17158,14589,7641,,,4172.0,6250.0,,-17158,4090,7995,,198240.0,,216685,,0.01,0.01,,,1469,,-764.0,55811,100881,2014年01月01日至2014年03月31日,-50,-17208,2139,-14275,,0,0,0,0,-12052,13471,265107,332869,67762,67762,79814,,,1408,3174,3551,0.01,0.01,-50,1419,,,,,,,7995,198240,216685,,5476,,5879,-2189,-2933,55811
2014-08-12,2,2014,15710.0,,-1163.0,815,-9506,11890,,2883.0,,,,815,5355,8212,,216998.0,,238124,,-0.06,-0.06,503.0,,-514,,-5389.0,46227,104355,2014年第2季,-13072,-12257,-10399,-11403,18593.0,0,0,0,0,-2369,-11217,274339,355377,81038,81038,83407,,,1392,3172,4553,-0.06,-0.06,-13072,-13586,1982.0,,513.0,,7914.0,,8212,216998,238124,,9722,,9726,-2673,-854,46227
2014-11-12,3,2014,0.0,,-63892.0,-34387,63892,22181,,,,,,-34387,1671,8513,446.0,,2091.0,243562,2091.0,0.38,0.38,,,9266,,0.0,62567,106351,2014年第3季,66305,31918,66761,34406,0.0,0,0,0,0,-1989,77560,316684,394267,77583,77583,79572,,,1388,3279,2432,0.38,0.38,66305,75571,18078.0,,,,,,8513,217814,241471,0.0,34469,,41075,-456,-2488,62567
2015-03-26,4,2014,15710.0,,,-38369,24311,79726,29190.0,,,,-840.0,-35517,13866,33826,,,,931434,7388.0,0.4,0.4,,,8318,,,204802,423975,2014年度,62039,26522,69638,34244,18593.0,0,0,0,0,146,70211,1104016,1438379,334363,334363,334217,,3692.0,5600,12793,15829,0.4,0.4,62039,70357,20841.0,,,,42904.0,,33826,831472,924046,2883.0,59594,70177.0,70177,-7599,-7722,204802
2015-05-14,1,2015,,0.0,,13783,15125,4782,,,31966.0,37085.0,,13783,1422,8793,3875.0,,,212738,6538.0,0.14,0.14,,13783.0,3855,0.0,0.0,52100,103625,2015年01月01日至2015年03月31日,27772,41555,25166,39046,,4015,10990,4015,10990,20513,11114,265540,367592,102052,102052,81539,,,1386,3154,3360,0.14,0.14,27772,31627,,,,,,,8793,172198,206200,,0,,0,2606,2509,52100
2015-08-13,2,2015,0.0,,-442.0,-58911,-7912,11768,,0.0,,,,-58911,1522,8954,3831.0,,6962.0,218294,6962.0,0.0,0.0,-42.0,-58911.0,448,,0.0,51173,105664,2015年第2季,2633,-56278,214,-56501,0.0,0,0,0,0,8179,-5098,235496,328129,92633,92633,84454,,,1377,3143,3384,0.0,0.0,2633,3081,6862.0,,1219.0,,-9615.0,,8954,177864,211332,,1251,,1028,2419,223,51173
