date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,重估價之利益（損失）,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,-590102,482883,41519,,-605813,41519.0,66523,0.56,,,194925,,-82234.0,16543,,326600,2013年01月01日至2013年03月31日,937525,331712,769464,145117,747176,385274,5883350,11497214,5613864,5613864,4866688,,,0.56,,4540088,937525,,1132450,,,155671,,,168061,186595
2013-08-13,2,2013,,108740,114310,36633,36633.0,233488,0.0,36287,0.14,,,154267,,88461.0,113249,,326094,2013年04月01日至2013年06月30日,271507,504995,193209,415527,306860,118914,5597241,10917147,5319906,5319906,5013046,,,0.14,,4686952,271507,,425774,,,145278,,,78298,89468
2013-11-11,3,2013,,163149,490259,253315,,128534,,-14433,0.34,,,271170,,-20182.0,29685,,231338,2013年07月01日至2013年09月30日,555242,683776,481922,611821,142680,683732,5549285,10655124,5105839,5105839,4963159,,,0.34,,4731821,555242,,826412,,,89527,,,73320,71955
2014-03-28,4,2013,,-111661,1237051,356490,356490.0,-88450,,114431,1.54,,,1016840,,-83622.0,228035,,1382355,2013年01月01日至2013年12月31日,3002927,2914477,2165564,2045801,2706444,1313323,23803129,46754377,22951248,22951248,20244804,,-8943.0,1.54,,18862449,3002927,,4019767,,-1345.0,508253,,,837363,868676
2014-05-14,1,2014,,-213978,32358,25653,25653.0,-211180,,22503,0.28,,,268402,,-19705.0,27884,,349672,2014年第1季,501432,290252,386669,170903,795985,-26151,5428772,11080195,5651423,5651423,4855438,,,0.27,,4505766,501432,,769834,,,112046,,,114763,119349
2014-08-12,2,2014,,261817,2759,45457,45457.0,276273,,-27345,0.21,,,148451,,41801.0,83147,,277014,2014年第2季,436146,712419,300362,583787,564251,20346,5243206,10604931,5361725,5361725,4797474,,,0.21,,4520460,436146,,584597,,,111017,,,135784,128632
2014-11-10,3,2014,,-170330,-57929,264238,264238.0,1927361,,14571,0.23,,,106526,,-87850.0,-6496,,226820,2014年第3季,384940,2312301,334669,2262674,409936,81530,5375520,10652589,5277069,5277069,4867133,,,0.23,,4640313,384940,,491466,,157056.0,118283,2328026.0,,50271,49627
2015-03-25,4,2014,,-61995,-276669,369884,369884.0,2191937,,48411,1.07,,,925311,,89552.0,133261,,1218973,2014年度,2164489,4356426,1529065,3722459,3328515,-238715,22719427,45928793,23209366,23209366,19880851,,-65763.0,1.07,,18661878,2164489,1.07,3089800,,146294.0,465191,2328026.0,,635424,633967
2015-05-12,1,2015,,87661,-130429,25971,,95078,,-17616,0.1,,95078.0,286512,,,-42534,25033.0,294969,2015年第1季,200823,295901,144948,242140,748774,-261439,5361111,11012342,5651231,5651231,4902457,,,0.1,,4607488,200823,,487335,,,114447,,,55875,53761
2015-08-12,2,2015,,-251411,57176,21670,,-314006,,-27144,0.09,,-314006.0,209130,,,-8556,-35451.0,274894,2015年第2季,220462,-93544,135324,-176362,476919,-47327,5048080,10371295,5323215,5323215,4846296,,,0.09,,4571402,220462,,429592,,,117617,,,85138,82818
