date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,6,14270,1298,6,,0.71,0.71,,8706,,,5042,965,2013年01月01日至2013年03月31日,49133,49139,49119,49125,37263,20576,75639,130167,54528,54528,17265,,,0.71,0.71,16300,49133,57839,,,,34,14,14
2013-08-12,2,2013,,-347,-2691,1582,-347,,0.55,0.55,,3484,,,4225,675,2013年04月01日至2013年06月30日,36809,36462,38015,37668,37191,3102,74782,127316,52534,52534,15343,,,0.55,0.55,14668,36809,40293,,,,14,-1206,-1206
2013-11-11,3,2013,,-496,713,1768,-496,,0.56,0.56,,4034,,,2428,1131,2013年07月01日至2013年09月30日,38371,37875,38361,37865,37686,4719,74122,127654,53532,53532,15846,,,0.55,0.55,14715,38371,42405,,,,190,10,10
2014-03-26,4,2013,,0,13789,6155,1529,,2.2,2.2,,21542,,-695.0,11600,3965,2013年01月01日至2013年12月31日,150554,152083,151750,153279,140791,31305,307942,515454,207512,207512,66721,,2680.0,2.19,2.19,62756,150554,172096,,456.0,,239,-1196,-1196
2014-04-29,1,2014,,1283,4939,1470,1283,,0.59,0.59,,4841,,0.0,868,1016,2014年01月01日至2014年03月31日,40472,41755,40466,41749,38036,7277,79456,134411,54955,54955,16919,,,0.58,0.58,15903,40472,45313,,,,0,6,6
2014-08-11,2,2014,,0,164,1812,0,,0.58,0.58,,2541,,0.0,2590,824,2014年第2季,40114,40114,40104,40104,38110,4545,80848,135334,54486,54486,16376,,,0.58,0.58,15552,40114,42655,,,,21,10,10
2014-11-12,3,2014,,0,551,1628,0,,0.63,0.63,,5841,,0.0,3431,1258,2014年第3季,43669,43669,43658,43658,44098,5412,77261,138760,61499,61499,17401,,0.0,0.63,0.63,16143,43669,49510,,0.0,,198,11,11
2015-03-26,4,2014,,1853,8051,6327,1985,,2.22,2.22,,18263,,222.0,11545,4325,2014年度,153291,155276,153288,155273,145980,25574,317040,532734,215694,215694,69714,,-108.0,2.21,2.21,65389,153291,171554,,-18.0,,349,3,3
2015-05-11,1,2015,,-1782,-220,1845,-1782,,0.61,0.61,-1782.0,7552,,,4808,809,2015年01月01日至2015年03月31日,42360,40578,42346,40564,43487,6425,79307,136360,57053,57053,13566,,,0.61,0.61,12757,42360,49912,,,,8,14,14
2015-08-14,2,2015,,0,-163,1575,0,,0.65,0.65,0.0,6325,,,4121,863,2015年第2季,45175,45175,45173,45173,45998,5502,72358,132349,59991,59991,13993,,,0.65,0.65,13130,45175,51500,,,,31,2,2
2015-11-12,3,2015,,0,3900,1524,0,,0.57,0.57,0.0,5756,,,11321,1290,2015年第3季,39608,39608,39599,39599,28867,16497,73747,120321,46574,46574,17707,,,0.57,0.57,16417,39608,45364,,,,248,9,9
2016-03-30,4,2015,-1296.0,-1782,8380,6469,-2889,189.0,2.24,2.24,-1593.0,25306,0.0,,20249,4550,2015年度,154946,152057,154960,152071,145548,34704,302753,511522,208769,208769,63221,-1562.0,,2.24,2.24,58671,154946,180252,-266.0,,,394,-14,-14
2016-05-12,1,2016,,-977,-3440,1175,-2044,-1285.0,0.54,0.54,-2044.0,7768,,,0,1665,2016年01月01日至2016年03月31日,37149,35105,37260,35216,47294,-2377,76059,140939,64880,64880,17586,,,0.54,0.54,15921,37149,44917,,,-218.0,112,-111,-111
2016-08-10,2,2016,,0,-424,588,150,180.0,0.36,0.36,150.0,4494,,,0,1279,2016年第2季,25249,25399,24761,24911,29780,-37,74427,119559,45132,45132,15352,,,0.36,0.36,14073,25249,29743,,,30.0,201,488,488
2016-11-08,3,2016,,0,-6264,883,-1526,-1838.0,0.3,0.3,-1526.0,4382,,,0,1646,2016年第3季,20550,19024,20555,19029,30614,-5682,75290,121662,46372,46372,15758,,,0.3,0.3,14112,20550,24932,,,-312.0,301,-5,-5
