date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,遞延所得稅費用（利益）,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額
2013-06-15,1,2013,,,,,,-47,1797,109,32000,110,5.0,32000.0,2.0,2.0,,20.0,46325,95103,2013年01月01日至2013年03月31日,90165,122165,90165,122165,134745,1745,391785,665187,273402,273402,138657,34230.0,15237,1578,2.0,2.0,28317,90165,136490,,27,5.0,12095.0,110.0,391785.0,391785,665187.0,665187.0,665187
2013-08-02,2,2013,,,,,,78,4022,207,19872,48,21.0,19872.0,2.4,2.4,78.0,,58081,131635,2013年04月01日至2013年06月30日,107737,127609,107737,127609,161739,4079,523324,868792,345468,345468,183729,44462.0,15509,3767,2.38,2.38,36585,107737,165818,,0,21.0,13619.0,48.0,523324.0,523324,868792.0,868792.0,868792
2013-10-31,3,2013,,,,,,51,7399,361,-14086,203,47.0,-14086.0,3.42,3.42,51.0,,79397,118821,2013年07月01日至2013年09月30日,153787,139701,153787,139701,225781,7403,561479,953940,392461,392461,166680,60970.0,11227,6835,3.39,3.39,36632,153787,233184,,0,47.0,18427.0,203.0,561479.0,561479,953940.0,953940.0,953940
2014-03-22,4,2013,,,8.0,0.0,0.0,1898,21337,1070,64470,595,135.0,64470.0,12.72,12.72,1899.0,,296508,477718,2013年01月01日至2013年12月31日,573809,638279,573809,638279,847217,23100,2251580,3795445,1543865,1543865,696648,,57932,19672,12.71,12.71,160998,573809,870317,7.0,0,135.0,,,,2251580,,,3795445
2014-04-30,1,2014,,,,,,-4698,9160,405,-12190,908,0.0,-12190.0,3.11,3.11,,4696.0,85009,64810,2014年01月01日至2014年03月31日,164395,152205,164395,152205,244942,4462,511167,872364,361197,361197,116255,,12119,7847,3.11,3.11,39326,164395,249404,,2,0.0,,,,511167,,,872364
2014-08-11,2,2014,,,,,,39,9853,393,-48933,1199,0.0,-48933.0,2.67,2.67,,-43.0,77080,194895,2014年第2季,155005,106072,155005,106072,222193,9892,666179,1130685,464506,464506,242313,,12278,8261,2.67,2.67,35140,155005,232085,,4,0.0,,,,666179,,,1130685
2014-11-10,3,2014,,,,,,2520,10746,397,66877,1334,0.0,66877.0,2.27,2.27,,-2530.0,65779,202540,2014年第3季,132067,198944,132067,198944,184580,13266,652102,1088932,436830,436830,252250,,11532,9015,2.27,2.27,38178,132067,197846,,10,0.0,,,,652102,,,1088932
2015-03-23,4,2014,,,0.0,,,-2304,44606,1637,101082,7934,0.0,101082.0,12.98,12.98,,2288.0,378476,575769,2014年度,754065,855147,754065,855147,1090239,42302,2780781,4657001,1876220,1876220,785981,,49490,35035,12.96,12.96,160722,754065,1132541,,16,0.0,,,,2780781,,,4657001
2015-05-05,1,2015,-29699.0,-29699.0,17.0,,,166,18980,563,-29699,6179,,,2.96,2.96,203.0,,85479,122035,2015年01月01日至2015年03月31日,171670,141971,171670,141971,238003,19146,612634,1031061,418427,418427,180424,,15322,12238,2.95,2.95,43067,171670,257149,,20,,,,,612634,,,1031061
2015-08-06,2,2015,-45624.0,-45624.0,16.0,,,7,17493,554,-45624,4123,,,3.21,,27.0,,93843,224297,2015年第2季,186293,140669,186293,140669,262636,17500,799934,1345730,545796,545796,283160,,16198,12816,3.21,,42665,186293,280136,,4,,,,,799934,,,1345730
