date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,,45089,3150,,9074,92290.0,8062.0,0.08,,,0,1012.0,,-3008.0,40208,2013年01月01日至2013年03月31日,70454,79528,71130,79884,117513,-47059,2235174,2558802,323628,323628,206115,44320,,,0.08,,121587,70454,70454,,,92290,2235174.0,2558802.0,-676.0,-356.0
2013-08-09,2,2013,,,,-78627,35805,,9524,84429.0,8554.0,0.4,,,0,970.0,,-9862.0,55491,2013年04月01日至2013年06月30日,356788,366312,357830,367002,493901,-137113,2520139,3238983,718844,718844,224943,26060,,,0.4,,143392,356788,356788,,,84429,2520139.0,3238983.0,-1042.0,-690.0
2013-11-06,3,2013,,-10956.0,,-4553,21638,,-3294,97187.0,-3023.0,0.31,0.32,,0,-271.0,,-8438.0,30763,2013年07月01日至2013年09月30日,268722,265428,269176,266000,368218,-88540,1578355,2098707,520352,520352,152134,28371,,,0.3,0.31,93000,279678,279678,,,97187,1578355.0,2098707.0,-454.0,-572.0
2014-03-13,4,2013,,-1462030.0,,182138,9339,-14806.0,8394,304689.0,785.0,0.35,2.22,,0,1907.0,1907.0,-31656.0,31642,2013年01月01日至2013年12月31日,309339,317733,311583,319977,1916237,-144868,2983819,5150578,2166759,2166759,235716,1706,,6870.0,0.35,2.2,202368,1771369,1771369,,1168.0,304689,2983819.0,5150578.0,-2244.0,-2244.0
2014-05-09,1,2014,,111418.0,,-17711,13433,-117.0,11599,70371.0,11599.0,0.34,0.21,,0,0.0,0.0,0.0,5335,2014年01月01日至2014年03月31日,300161,311760,300161,311760,263392,-74649,547593,852977,305384,305384,41875,15538,,,0.34,0.21,21002,188743,188743,,,70371,547593.0,852977.0,0.0,0.0
2014-08-12,2,2014,,0.0,5625.0,-21860,9716,4118.0,5625,72963.0,0.0,0.17,0.17,,70248,0.0,0.0,0.0,4548,2014年第2季,149287,154912,149287,154912,304642,-85107,824623,1207248,382625,382625,82101,8056,,,0.17,0.17,69497,149287,219535,,,72963,824623.0,1207248.0,0.0,0.0
2014-10-30,3,2014,,0.0,-10250.0,34152,25917,-3445.0,-10250,66030.0,0.0,0.1,0.1,,12832,0.0,0.0,0.0,2034,2014年第3季,108698,98448,108698,98448,127491,-5961,918246,1128518,210272,210272,79336,3977,,,0.1,0.1,73325,108698,121530,,,66030,918246.0,1128518.0,0.0,0.0
2015-03-10,4,2014,,-65633.0,-2951.0,46427,75488,,29233,,11599.0,0.58,0.64,,83080,0.0,,0.0,22149,2014年度,577966,607199,577966,607199,862125,-135446,3307056,4472664,1165608,1165608,303483,22722,,24801.0,0.58,0.64,258612,643599,726679,,4216.0,257361,,,0.0,0.0
2015-04-22,1,2015,,-44180.0,-2955.0,-75,11714,,-2955,,0.0,0.12,0.16,-2955.0,0,,,,6682,2015年01月01日至2015年03月31日,136922,133967,136922,133967,214570,-33468,1073157,1325626,252469,252469,37899,481,,,0.12,0.16,30736,181102,181102,,,45107,,,,
2015-08-05,2,2015,,-30000.0,-4181.0,-42351,17870,,-4181,,0.0,-0.09,-0.07,-4181.0,0,,,,4058,2015年第2季,-107156,-111337,-107156,-111337,-11412,-65744,770286,805329,35043,35043,46455,6874,,,-0.09,-0.07,35523,-77156,-77156,,,41263,,,,
