date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,0,,,-2144,1980,66,66,0.35,,,-1577,13781,2013年01月01日至2013年03月31日,21216,21282,21216,21282,21444,-1805,21056,75808,54752,54752,33308,5362,,,0.34,,14165,21216,19639,,0.0,1641.0,0.0,0.0
2013-08-12,2,2013,,-12133,,,-1455,3120,-11900,233,0.38,,,2293,16299,2013年04月01日至2013年06月30日,23322,11422,23322,11422,25591,24,26742,91456,64714,64714,39123,7225,,,0.37,,15599,23322,25615,,0.0,1641.0,0.0,0.0
2013-11-12,3,2013,,-13877,,,-1739,4704,-14021,-144,0.24,,,3035,14416,2013年07月01日至2013年09月30日,14521,500,14521,500,16231,1325,24820,72453,47633,47633,31402,5515,,,0.24,,11471,14521,17556,,0.0,1640.0,0.0,0.0
2014-03-17,4,2013,,-25180,,,-10387,13300,-24770,329,0.51,,,5966,74975,2013年01月01日至2013年12月31日,30891,6121,30891,6121,56901,-20044,94904,308937,214033,214033,157132,26795,,97.0,0.51,,55362,30891,36857,,16.0,22957.0,0.0,0.0
2014-05-08,1,2014,,4662,0.0,0.0,1373,1343,4632,-30,-0.13,,,3697,37508,2014年01月01日至2014年03月31日,-7641,-3009,-7641,-3009,-4229,285,50157,118937,68780,68780,73009,8609,,,-0.13,,26892,-7641,-3944,,,2431.0,0.0,0.0
2014-08-12,2,2014,,-571,0.0,0.0,-1373,735,-734,-163,-0.39,,,48,50212,2014年第2季,-23947,-24681,-23947,-24681,-20213,-3686,84929,163361,78432,78432,98645,6110,,,-0.39,,42323,-23947,-23899,,,3048.0,0.0,0.0
2014-11-10,3,2014,,-4366,,,-1397,618,-4156,210,-0.81,-0.81,,4430,51441,2014年第3季,-49294,-53450,-49294,-53450,-41179,-3685,113139,176273,63134,63134,104313,5992,,,-0.81,-0.81,46880,-49294,-44864,,,2906.0,,
2015-03-26,4,2014,,6072,,,-231399,4821,19199,306,-5.82,-5.82,,5127,212834,2014年度,-386158,-366959,-386158,-366959,-144359,-236672,311175,564525,253350,253350,397709,29074,,15447.0,,,155801,-386158,-381031,,2626.0,10094.0,,
2015-05-12,1,2015,,1371,,,-1621,213,1287,-84,-0.3,-0.3,1287.0,2031,42930,2015年01月01日至2015年03月31日,-26533,-25246,-26533,-25246,-23094,-1408,64631,120910,56279,56279,79373,6258,,,,,30185,-26533,-24502,,,0.0,,
2015-08-10,2,2015,,-13408,,,-1546,963,-13534,-126,-0.28,-0.28,-13534.0,4379,41244,2015年第2季,-25093,-38627,-25093,-38627,-20131,-583,67094,126300,59206,59206,79337,6932,,,,,31161,-25093,-20714,,,0.0,,
2015-11-12,3,2015,,5981,,,1353,2627,6333,352,0.12,0.12,6333.0,4820,41818,2015年第3季,11012,17345,11012,17345,11852,3980,68095,163289,95194,95194,83342,6889,,,,,34635,11012,15832,,,0.0,,
2016-03-30,4,2015,261.0,503,,,-43769,6184,598,-166,-1.1,-1.1,337.0,14478,164426,2015年度,-98028,-97430,-98028,-97430,-45965,-37585,261433,534719,273286,273286,319251,26535,315.0,,,,128290,-98028,-83550,54.0,,0.0,,
2016-05-12,1,2016,,1427,,,-45,1399,1397,-30,-0.09,-0.09,1397.0,4744,37727,2016年01月01日至2016年03月31日,-8010,-6613,-8010,-6613,-4620,1354,53518,129556,76038,76038,80658,5940,,,,,36991,-8010,-3266,,,,,
2016-08-09,2,2016,,1653,,,-2078,1460,1491,-162,-0.01,-0.01,1491.0,5236,41928,2016年第2季,-453,1038,-453,1038,5401,-618,54740,144496,89756,89756,84355,7078,,,,,35349,-453,4783,,,,,
2016-11-09,3,2016,,2879,,,-2959,2509,2686,-193,-0.11,-0.11,2686.0,1854,44108,2016年第3季,-10141,-7455,-10141,-7455,-7837,-450,71195,146237,75042,75042,82879,6558,,,,,32213,-10141,-8287,,,,,
