date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-19,1,2013,,0.0,2817,7288,4234,3501,,818,1.18,,,7835,-51,18266,2013年01月01日至2013年03月31日,,53487,56988,53467,56937,50517,10805,230177,348833,118656,118656,68139,34637,,,1.13,15236,53487,61322,,134.0,,666.0,20.0,51.0
2013-08-14,2,2013,,,-763,1852,3406,-960,,-231,1.11,,,8227,-18,21093,2013年04月01日至2013年06月30日,,52805,51845,52874,51947,56466,4566,212586,342605,130019,130019,73553,36426,,,1.07,16034,52805,61032,,-34.0,,674.0,-69.0,-102.0
2013-11-11,3,2013,,,-1537,-8475,4721,-1733,,-237,1.22,,,9420,-206,19863,2013年07月01日至2013年09月30日,,59364,57631,59364,57631,73190,-4406,270478,415427,144949,144949,71759,34601,,,1.19,17295,59364,68784,,-41.0,,446.0,0.0,0.0
2014-03-11,4,2013,,,4417,3692,15815,3887,,149,4.6,0.0,,31939,-297,80635,2013年01月01日至2013年12月31日,0.0,222106,225993,222155,226044,236622,17423,968055,1493149,525094,525094,288472,144770,,-788.0,4.44,63067,222106,254045,,-109.0,,1787.0,-49.0,-51.0
2014-05-13,1,2014,,0.0,5553,5181,3061,5194,,-432,0.9,0.0,,6944,-50,18824,2014年01月01日至2014年03月31日,0.0,45386,50580,45386,50580,44138,8192,213259,327506,114247,114247,70109,35748,,,0.9,15537,45386,52330,,-73.0,,0.0,0.0,0.0
2014-08-12,2,2014,,,-2321,-2696,3716,-2437,,-140,0.91,,,7607,149,19247,2014年第2季,,50441,48004,50441,48004,56881,1167,237832,370480,132648,132648,75767,37206,,,0.91,19314,50441,58048,,-24.0,,2.0,0.0,0.0
2014-11-10,3,2014,,,-3440,5535,4420,-3386,,65,1.33,,,12906,-317,23862,2014年第3季,,74373,70987,74373,70987,77643,9636,251764,404923,153159,153159,75516,35493,,,1.32,16161,74373,87279,,11.0,,2.0,0.0,0.0
2015-03-10,4,2014,,,1167,16510,15998,914,,205,4.12,0.0,,36715,-459,88486,2014年度,0.0,233138,234052,233138,234052,237810,32043,973313,1515954,542641,542641,304831,148719,,-510.0,4.07,67626,233138,269853,,-52.0,,6.0,0.0,0.0
2015-05-12,1,2015,,,2969,-5060,3463,839,436.0,-2566,0.86,,839.0,9181,-241,24461,2015年01月01日至2015年03月31日,,51649,52488,51649,52488,62668,-1838,245000,381247,136247,136247,73579,34658,,,0.85,14460,51649,60830,,,,,0.0,0.0
2015-08-12,2,2015,,,2179,-12251,4688,1783,,-477,0.76,,1783.0,6222,-543,17622,2015年第2季,,45872,47655,45872,47655,60202,-8108,233139,365977,132838,132838,72636,33409,,,0.76,21605,45872,52094,,,-81.0,2.0,0.0,0.0
2015-11-10,3,2015,,,-1301,12738,4382,521,,2195,0.91,,521.0,14478,-7683,19046,2015年第3季,,55017,55538,55017,55538,60058,9437,191821,319991,128170,128170,68112,30857,,,0.91,18209,55017,69495,,,373.0,,,
2016-03-09,4,2015,-1199.0,,6849,-8248,17537,3697,,-2353,3.52,0.0,4896.0,40756,-8465,118180,2015年度,0.0,211880,215577,211880,215577,251812,824,936438,1517222,580784,580784,328972,136222,-1445.0,,3.48,74570,211880,252636,-246.0,,-400.0,,0.0,0.0
2016-05-12,1,2016,,,2017,-8607,3703,2497,,578,0.81,,2497.0,8317,0,18699,2016年01月01日至2016年03月31日,,48744,51241,48744,51241,61965,-4904,207623,340383,132760,132760,70795,33993,,,0.8,18103,48744,57061,,,98.0,,,
2016-08-12,2,2016,,,5425,927,3220,5116,,-372,0.92,,5116.0,9465,0,20493,2016年第2季,,55416,60532,55416,60532,60734,4147,198460,334090,135630,135630,74896,35746,,,0.91,18657,55416,64881,,,-63.0,,,
2016-11-11,3,2016,,,3139,-8822,5063,1660,,-1783,0.64,,1660.0,5888,0,18505,2016年第3季,,38408,40068,38408,40068,48055,-3759,191113,311096,119983,119983,71928,34809,,,0.63,18614,38408,44296,,,-304.0,,,
