date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,0.0,6670,3667,3028.0,11884,582.0,14318,0.35,,6337.0,0.0,,-807,0.0,,,,21679,2013年01月01日至2013年03月31日,20308,32192,20308,32192,21777,-2276,538494,625799,87305,87305,65528,,,57.0,0.29,43849,20308,19501,,,2434.0,,107.0,,,935.0,12613,1161.0,0.0,2330,628129,628129,625799,,,
2013-08-13,2,2013,,4375.0,-725,3553,3032.0,2446,464.0,2947,0.41,,3510.0,0.0,,209,,,,,24326,2013年04月01日至2013年06月30日,24977,27423,24977,27423,35192,-10006,677824,788432,110608,110608,75416,,,57.0,0.33,51090,24977,25186,,,501.0,,0.0,,,0.0,12834,140.0,0.0,1760,790212,790212,788432,20.0,,
2013-11-11,3,2013,,153.0,-3644,698,165.0,-7022,476.0,-8461,0.41,,0.0,3195.0,,-324,,,,,23920,2013年07月01日至2013年09月30日,25580,18558,25580,18558,40268,-15012,594106,708468,114362,114362,74094,,,57.0,0.34,50174,25580,25256,0.0,,-1439.0,,0.0,387.0,,0.0,12066,91.0,,1293,709799,709799,708468,38.0,,
2014-02-14,4,2013,,4860.0,5087,9215,7043.0,11899,1943.0,13502,1.32,,10015.0,0.0,,400,,,,,92512,2013年01月01日至2013年12月31日,89845,101744,89845,101744,124036,-33791,2514852,2942660,427808,427808,303772,,834.0,229.0,1.11,211260,89845,90245,0.0,,2437.0,,0.0,540.0,,935.0,48093,1407.0,,7986,2950707,2950707,2942660,61.0,,
2014-05-13,1,2014,,,10164,442,248.0,10092,137.0,12159,0.63,,10962.0,,,11700,,,,,18564,2014年01月01日至2014年03月31日,49418,59510,49418,59510,59745,1373,509905,636276,126371,126371,66626,,,57.0,0.62,48062,49418,61118,,,2067.0,,181.0,,,0.0,9233,-979.0,,11181,647457,647457,636276,,,
2014-08-08,2,2014,,28.0,-10995,423,34.0,-8954,332.0,-10787,-0.09,,0.0,10991.0,,7928,,,,,31048,2014年第2季,-10661,-19615,-10661,-19615,16969,-19702,516353,613156,96803,96803,79834,,,57.0,-0.09,48786,-10661,-2733,,,-1833.0,,0.0,,,0.0,9130,24.0,,3896,617052,617052,613156,0.0,,
2014-11-12,3,2014,,100.0,12642,301,188.0,8861,56.0,10675,-0.01,,12554.0,0.0,,6681,,,,,14872,2014年第3季,-2592,6269,-780,8081,1332,2757,564899,644290,79391,79391,78059,,,57.0,-0.01,63187,-2592,4089,,,1814.0,,39.0,,173.0,0.0,10186,-24.0,,2365,646655,646655,644290,0.0,-1812.0,-1812.0
2015-03-19,4,2014,,-471.0,41078,3818,699.0,32293,920.0,39723,0.27,1970.0,40214.0,0.0,,36229,,,,,82776,2014年度,26390,58683,29392,61685,56726,5893,2217866,2584212,366346,366346,309620,,-816.0,229.0,0.27,226844,26390,62619,0.0,,6614.0,,220.0,0.0,173.0,0.0,39003,0.0,,19619,2603831,2603831,2584212,0.0,-3002.0,-3002.0
2015-05-11,1,2015,,,-7849,1036,,-6426,,-6875,-0.41,,,,-6426.0,-1478,-1236.0,,-856.0,,16493,2015年01月01日至2015年03月31日,-53660,-60086,-54337,-60713,-35816,-19322,543438,609556,66118,66118,101934,,,,-0.41,85441,-53660,-55138,,,,-1305.0,,,,,11273,,,5575,615348,615348,609556,217.0,677.0,627.0
2015-08-11,2,2015,,-116.0,-10798,745,17.0,-8139,670.0,-8318,-0.42,,,10476.0,-8139.0,1062,-2136.0,,-1443.0,,20990,2015年第2季,-56519,-64658,-55809,-63728,-31259,-24198,568357,621820,53463,53463,84722,,,58.0,-0.42,63732,-56519,-55457,,,,-1622.0,441.0,,0.0,0.0,12009,0.0,879.0,4326,626607,626607,621820,461.0,-710.0,-930.0
