date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,勞務收入合計,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備損失,處分投資性不動產損失,財務成本淨額,重估價之利益（損失）,金融資產重分類淨損益,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益
2013-05-10,1,2013,,,,0.0,0.0,-135,2280,112,0.0,40590,2168,29,0.0,40590,-0.4,-0.4,,,0.0,,-2760,0.0,0.0,8987,2013年01月01日至2013年03月31日,0.0,-18006,22584,0.0,-18006,22584,-22911,2145,151518,199194,47676,47676,70587,0.0,27263,0.0,-0.4,-0.4,34337,-18006,-20766,0.0,0.0,,,0.0,0.0,0.0,199165,0.0
2013-08-08,2,2013,,,,0.0,0.0,1746,2375,150,0.0,14375,2225,30,0.0,14375,-0.28,-0.28,1750.0,0.0,0.0,,1792,0.0,0.0,8687,2013年04月01日至2013年06月30日,0.0,-12811,1564,0.0,-12811,1564,-15140,4121,168942,225334,56392,56392,71532,0.0,29441,0.0,-0.28,-0.28,33404,-12811,-11019,0.0,0.0,4.0,,0.0,0.0,0.0,225304,0.0
2013-11-08,3,2013,,,,0.0,0.0,-608,2268,184,0.0,-21459,2084,536,0.0,-21459,0.53,0.53,0.0,607.0,0.0,,-2571,0.0,0.0,11236,2013年07月01日至2013年09月30日,0.0,23885,2426,0.0,23885,2426,19654,1660,206451,307288,100837,100837,81183,0.0,34845,0.0,0.52,0.52,35102,23885,21314,0.0,0.0,1.0,,0.0,0.0,0.0,306752,0.0
2014-03-28,4,2013,,,,,,563,9501,1074,,45682,8427,809,,45682,0.05,0.05,702.0,,,,15879,,,38644,2013年01月01日至2013年12月31日,,2035,47717,,2035,47717,7851,10063,691627,988975,297348,297348,289497,,118071,,0.04,0.04,132782,2035,17914,,,139.0,,1.0,,,988166,
2014-05-08,1,2014,,,4.0,0.0,,-899,2212,0,,31134,2212,30,,31134,0.34,0.34,,895.0,0.0,,7825,,,10338,2014年01月01日至2014年03月31日,0.0,15161,46295,,15161,46295,21673,1313,153723,259179,105456,105456,83783,,39029,,0.33,0.33,34416,15161,22986,,,,0.0,,,,259149,
2014-08-12,2,2014,,,0.0,0.0,,105,2397,166,,-29846,2231,121,,-29846,0.38,0.38,127.0,0.0,,,14801,,,9563,2014年第2季,,17224,-12622,,17224,-12622,29523,2502,154275,262956,108681,108681,79158,,33847,,0.38,0.38,35748,17224,32025,,,22.0,,,,,262835,
2014-11-07,3,2014,,,0.0,0.0,,-219,4035,1907,,27714,2128,271,,27714,1.1,1.1,0.0,219.0,,,-19715,,,9929,2014年第3季,,49960,77674,,49960,77674,26429,3816,166970,279629,112659,112659,86230,,28508,,1.1,1.1,47793,49960,30245,,,0.0,,,,,279358,
2015-03-19,4,2014,,,,,,-306,11108,2330,,92651,8778,676,,92651,2.49,2.49,0.0,251.0,,,11362,,,43738,2014年度,,112416,205067,,112416,205067,112976,10802,653156,1116147,462991,462991,350015,,148007,,2.47,2.47,158270,112416,123778,,,55.0,,0.0,,,1115471,
2015-03-30,4,2015,59716.0,59716.0,,,,12628,18222,9068,,45451,9154,581,,-14265,3.57,3.57,12630.0,0.0,,-14265.0,23093,,,40402,2015年度,,162142,207593,,162142,207593,154385,30850,723719,1246118,522399,522399,368014,,167216,,3.56,3.56,160396,162142,185235,,,2.0,,0.0,,,1245537,
2015-05-15,1,2015,-18185.0,-18185.0,0.0,0.0,,495,5219,2896,,-17096,2323,158,,1089,0.24,0.24,495.0,0.0,0.0,1089.0,5277,,,9814,2015年01月01日至2015年03月31日,0.0,10809,-6287,,10809,-6287,10372,5714,145663,242925,97262,97262,86890,,37846,,0.24,0.24,39230,10809,16086,,,,0.0,,,,242767,
