date,season,year,不重分類至損益之項目總額,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,-224353,-1179,2672,-222483,1870,0.16,,,5092,-758,27709,2013年01月01日至2013年03月31日,18838,-203645,18322,-204523,23195,735,131135,198306,67171,67171,43976,,,,16267,18838,,23930,,,,516,878
2013-08-13,2,2013,,,72763,280,4104,72946,183,0.04,,,1790,56,31002,2013年04月01日至2013年06月30日,5548,78494,5056,78363,2898,4440,129158,185447,56289,56289,53391,,,,22389,5548,,7338,,,,492,131
2013-11-13,3,2013,,,-42445,-3734,152242,-43036,-591,1.28,,,301,-666,31157,2013年07月01日至2013年09月30日,147413,104377,147328,104404,-127,147841,141364,198586,57222,57222,57349,,,1.27,26192,147413,1.27,147714,,,1.0,85,-27
2014-03-26,4,2013,,,-280480,49648,162198,-275259,2587,2.01,,,11301,-1399,121836,2013年01月01日至2013年12月31日,232974,-42285,231874,-43877,33829,210446,540440,786517,246077,246077,212248,,3173.0,1.99,90412,232974,,244275,,539.0,1.0,1100,1592
2014-05-14,1,2014,,,142433,-722,3348,143001,568,0.14,,,3231,-169,27714,2014年01月01日至2014年03月31日,16570,159571,16253,159150,17344,2457,124724,190475,65751,65751,48407,,,,20693,16570,,19801,,,,317,421
2014-08-13,2,2014,,,191464,62005,5543,190197,-1267,0.55,,,3369,-277,27456,2014年第2季,63630,253827,63281,253722,-272,67271,120167,170763,50596,50596,50868,,,0.54,23412,63630,,66999,,,,349,105
2014-11-12,3,2014,,,-228681,8597,135286,-227285,1396,1.17,,,585,-266,33094,2014年第3季,135358,-91927,134969,-92587,-7674,143617,118896,172720,53824,53824,61498,,,1.16,28404,135358,1.17,135943,,,0.0,389,660
2015-03-25,4,2014,,2.01,85745,67234,151819,88424,3205,2.01,,,10599,-1227,111267,2014年度,233425,321849,232191,320104,26198,217826,481392,711465,230073,230073,203875,,-530.0,2.0,92608,233425,,244024,,-4.0,0.0,1234,1745
2015-05-06,1,2015,,,191944,-2035,5318,191146,-798,0.14,0.14,191146.0,3461,-715,19999,2015年01月01日至2015年03月31日,16528,207674,16391,207691,17421,2568,111759,168233,56474,56474,39053,,,,19054,16528,,19989,,,,137,-17
2015-08-12,2,2015,,,-158801,60870,9396,-159598,-797,0.6,,-159598.0,3851,-504,26020,2015年第2季,69454,-90144,69385,-90059,3543,69762,130671,186705,56034,56034,52491,,,0.6,26471,69454,0.6,73305,,,,69,-85
2015-11-11,3,2015,,,-369295,-5082,143379,-365514,3781,1.12,,-365514.0,-69,-548,40282,2015年第3季,130046,-235468,129737,-236502,-7772,137749,144021,204942,60921,60921,68693,,,1.12,28411,130046,1.12,129977,,,,309,1034
2016-03-23,4,2015,-1569.0,,-349436,46677,179568,-350106,899,1.98,,-348537.0,8925,-2107,120052,2015年度,230861,-119245,228912,-121279,15648,224138,531610,767557,235947,235947,220299,-1994.0,,1.96,100247,230861,1.98,239786,-425.0,,,1949,2034
2016-05-11,1,2016,,,127155,22200,6335,126141,-1014,0.29,0.29,126141.0,2727,-620,33632,2016年01月01日至2016年03月31日,33549,159690,33204,159539,8361,27915,130244,198131,67887,67887,59526,,,,25894,33549,,36276,,,,345,151
2016-08-10,2,2016,,,127421,26451,11140,126762,-659,0.26,,126762.0,1452,-305,37722,2016年第2季,31037,157799,30556,157451,-4797,37286,136326,195510,59184,59184,63981,,,0.26,26259,31037,0.26,32489,,,,481,348
2016-11-09,3,2016,,,-80850,64534,129719,-83041,-2191,1.51,,-83041.0,-56,-442,35253,2016年第3季,174887,91846,174317,91700,-18979,193810,125538,177242,51704,51704,70683,,,1.5,35430,174887,1.51,174831,,,1.0,570,146
