date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,3029.0,1245,10715,109525,106518,0.15,0.0,,15365,,11593,,111424,2013年01月01日至2013年03月31日,0.0,,49656,159181,50166,159681,48105,16916,4651839,4843348,191509,191509,143404,3832,,,0.15,28148,49656,,65021,,22.0,,6637,23853,4873187,4873187,4843348,5986,-510.0,-500.0
2013-08-13,2,2013,,121.0,663,11251,32312,32475,-0.12,0.0,,-3334,,1879,,101757,2013年04月01日至2013年06月30日,0.0,,-40895,-8583,-39219,-6958,-52531,8302,1806237,1880057,73820,73820,126351,3832,,,0.0,20762,-40895,0.0,-44229,,284.0,,5491,43632,1924913,1924913,1880057,1224,-1676.0,-1625.0
2013-11-14,3,2013,,212.0,2573,13723,-53379,-53591,-0.05,0.0,,3361,,3289,,104804,2013年07月01日至2013年09月30日,0.0,,-19106,-72485,-17745,-71140,-29990,14245,1779010,1878100,99090,99090,129080,3960,,,,20316,-19106,,-15745,,0.0,,5340,29470,1910435,1910435,1878100,2865,-1361.0,-1345.0
2014-03-31,4,2013,,3098.0,8563,45895,126753,123795,0.03,0.0,,37109,775.0,50822,,425292,2013年01月01日至2013年12月31日,,,5447,132200,10487,137139,-40217,82773,10578388,11070861,492473,492473,532690,14975,,-734.0,0.0,92423,5447,,42556,,181.0,,22507,120003,11214987,11214987,11070861,24123,-5040.0,-4939.0
2014-05-14,1,2014,,1404.0,6605,8974,70468,69064,0.02,,,3987,,12920,,91667,2014年01月01日至2014年03月31日,,,7357,77825,7367,77832,-12163,23507,1623146,1726689,103543,103543,115706,2444,,,0.02,21595,7357,,11344,,0.0,,4992,2289,1731133,1731133,1726689,2155,-10.0,-7.0
2014-08-13,2,2014,,361.0,1764,16341,-78739,-79100,-0.14,,,2452,,-9973,,87970,2014年第2季,,,-44906,-123645,-44906,-123645,-44854,2400,1530666,1598554,67888,67888,112742,1999,,,0.0,22773,-44906,,-42454,,0.0,,5732,3563,1609442,1609442,1598554,7325,0.0,0.0
2014-11-13,3,2014,,-168.0,-5449,9487,79619,79787,0.14,,,12634,,32629,,86080,2014年第3季,,,44390,124009,44390,124009,26132,30892,972555,1109454,136899,136899,110767,2065,,,,22622,44390,,57024,,0.0,,5775,3030,1115395,1115395,1109454,2911,0.0,0.0
2015-03-27,4,2014,,2360.0,-35041,44889,245270,234465,0.42,,,164510,9095.0,82226,,376093,2014年度,,,135199,380469,135209,380476,228168,71541,6875534,7548517,672983,672983,444815,9402,,-783.0,0.42,59320,135199,,299709,,-133.0,,20533,12078,7580870,7580870,7548517,20275,-10.0,-7.0
2015-05-13,1,2015,,0.0,-7408,40184,-48596,-46632,0.33,,-48596.0,41568,,20862,-1964.0,101665,2015年01月01日至2015年03月31日,,,107914,59318,107914,59318,98394,51088,2905265,3123474,218209,218209,119815,3568,,,0.33,14582,107914,,149482,,,,2550,1180,3129302,3129302,3123474,4648,0.0,0.0
2015-08-13,2,2015,,0.0,-2380,6496,-60700,-58265,0.01,,-60700.0,6982,,15025,-2435.0,95527,2015年第2季,,,1277,-59423,1277,-59423,-8311,16570,2045875,2148862,102987,102987,111298,3261,,,0.01,12510,1277,,8259,,,0.0,2571,2951,2155025,2155025,2148862,3212,0.0,0.0
2015-11-13,3,2015,,0.0,19534,-2741,265745,253384,0.1,,265745.0,5285,,26396,12361.0,89857,2015年第3季,,,33904,299649,33904,299649,-627,39816,1223451,1328699,105248,105248,105875,3747,,,0.1,12271,33904,,39189,,,,3373,4015,1334372,1334372,1328699,1658,0.0,0.0
2016-03-29,4,2015,-13.0,0.0,6242,37567,121138,113255,0.45,,121151.0,51424,,65276,7896.0,390852,2015年度,,,147515,268653,147515,268653,101554,97385,7832060,8399618,567558,567558,466004,15459,-16.0,,0.45,59693,147515,,198939,-3.0,,,11700,15131,8428221,8428221,8399618,13472,0.0,0.0
2016-05-13,1,2016,,,-11397,12937,-80270,-75861,0.05,,-80270.0,-4720,,25854,-4409.0,101159,2016年01月01日至2016年03月31日,,-4720.0,17240,-63030,17240,-63030,-11400,23920,955344,1061740,106396,106396,117796,3810,,,0.05,12827,17240,,12520,,,,3474,5820,1070743,1070743,1061740,3183,,
2016-08-12,2,2016,,,-7790,8789,-11118,-11428,-0.04,,-11118.0,-200,,17956,310.0,108492,2016年第2季,,,-14910,-26028,-14910,-26028,-30850,15740,799334,890145,90811,90811,121661,2950,,,0.0,10219,-14910,,-15110,,,,3215,6496,899132,899132,890145,2491,,
2016-11-11,3,2016,,,-5724,7597,-131282,-125494,-0.01,,-131282.0,-163,,9412,-5788.0,92159,2016年第3季,,,-3591,-134873,-3591,-134873,-11950,8196,705587,798575,92988,92988,104938,3196,,,0.0,9583,-3591,,-3754,,,,3089,4317,806929,806929,798575,4037,,
