date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資支出（投資公司適用）合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,遞延所得稅費用（利益）,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,637.0,576,11034,9582,3821.0,,,18507,129.0,7545.0,17931,-0.08,5632.0,11407.0,,,52,,,1009.0,,1009,33693,2013年01月01日至2013年03月31日,,-5498,13009,-7219,11288,,-19526,14080,219431,277825,58394,58394,77920,52.0,4250,,,39977,-5498,-5446,,,0.0,,76.0,,,,,7545,188.0,,0.0,,,279014.0,279014.0,277825.0,1189.0,1721,1721
2013-08-09,2,2013,,1337.0,-735,1490,7618,1590.0,,,10275,181.0,7502.0,11010,0.09,5847.0,5291.0,0.0,,8119,,,513.0,0.0,513,18917,2013年04月01日至2013年06月30日,,17843,28118,8530,18811,6168.0,23843,2119,232044,319061,87017,87017,63174,8119.0,5111,,,39146,17843,25962,,,0.0,,73.0,0.0,,0.0,0.0,7502,3631.0,,,232044.0,232044.0,,320716.0,319061.0,1655.0,9313,9307
2013-11-08,3,2013,,1865.0,-174,-5560,6009,5276.0,,,-7653,87.0,7228.0,-7479,0.04,643.0,0.0,3625.0,,-2410,,,0.0,835.0,-835,28493,2013年07月01日至2013年09月30日,,8938,1285,2730,-4923,0.0,14142,-7614,303822,389281,85459,85459,71317,-2410.0,4607,,0.04,38217,8938,6528,3.0,,0.0,,,50.0,,0.0,0.0,7228,0.0,20.0,,303822.0,303822.0,,391518.0,389281.0,2237.0,6208,6208
2014-02-27,4,2013,,5889.0,-645,15148,23125,14371.0,,,33133,910.0,28893.0,33778,0.33,7844.0,22990.0,0.0,,10057,,,50.0,0.0,50,110052,2013年01月01日至2013年12月31日,,64231,97364,23433,56566,6167.0,64858,9430,1261993,1611235,349242,349242,284384,10057.0,18287,,0.33,156045,64231,74288,,,0.0,,297.0,0.0,,,0.0,28893,3917.0,0.0,,1261993.0,1261993.0,,1618485.0,1611235.0,7250.0,40798,40798
2014-04-25,1,2014,,616.0,-535,-1033,6460,5182.0,,,-2333,127.0,6395.0,-1798,-0.13,1151.0,0.0,1744.0,,-1059,,,0.0,583.0,-583,25692,2014年01月01日至2014年03月31日,,-9617,-11950,-9513,-11846,0.0,-9125,-1551,147478,205884,58406,58406,67531,-1059.0,3869,,,37970,-9617,-10676,,,0.0,,51.0,0.0,,,246.0,6395,1522.0,0.0,,147478.0,147478.0,,207264.0,205884.0,1380.0,-104,-104
2014-08-08,2,2014,,,22,-13987,226,,,,-12872,,,-12894,0.22,,,,,5732,,,,,-453,28076,2014年第2季,,22391,9519,19660,6788,,48799,-20676,184314,308165,123851,123851,75052,5732.0,3251,,0.22,43725,22391,28123,,,0.0,,,,,,,6462,,,,,,,311152.0,308165.0,2987.0,2731,2731
2014-11-07,3,2014,,1249.0,-539,6285,8724,,,,18817,,,19356,0.16,,7518.0,0.0,,2589,,,,,496,31425,2014年第3季,,11417,30234,14768,33585,0.0,4524,9482,182463,262703,80240,80240,75716,,3661,,0.16,40630,11417,14006,,,0.0,,16.0,,,,0.0,6023,0.0,,,,182463.0,,,262703.0,,-3351,-3351
2015-03-13,4,2014,,,-514,-341,26704,,,,24821,,,25335,0.34,,,,,374,,,,,45,118023,2014年度,,27424,52245,29209,54030,,26825,973,701084,1030373,329289,329289,302464,374.0,16988,,0.33,167453,27424,27798,,,0.0,,,,,,,25435,,,,,701084.0,,1035571.0,1030373.0,5198.0,-1785,-1785
2015-05-08,1,2015,,,5929,-1956,3379,,,,-2270,,,-8199,-0.21,,,,-2270.0,-3938,,,,,-1426,30476,2015年01月01日至2015年03月31日,,-20020,-22290,-19554,-21824,,-17998,-5960,217918,278596,60678,60678,78676,,5482,,,42718,-20020,-23958,,,,0.0,,,,,,5957,,,,,217918.0,,,278596.0,,-466,-466
2015-08-07,2,2015,,1155.0,1226,-10266,1530,1185.0,4478.0,5316.0,-9257,345.0,,-10483,-0.34,,,4047.0,-9257.0,-4110,30882.0,29721.0,-902.0,,-902,31058,2015年第2季,,-31177,-40434,-31091,-40348,4705.0,-19399,-15888,229714,312250,82536,82536,101935,,5774,,0.0,65103,-31177,-35287,,,,0.0,-340.0,,0.0,,,6250,-19.0,,,194354.0,194354.0,278846.0,278846.0,277213.0,1633.0,-86,-86
