date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額
2013-06-06,1,2013,,17492,1912,,,12602,15184,2.91,,,38505,42783,2013年01月01日至2013年03月31日,159625,172227,159625,172227,180119,18011,1009903,1319861,309958,309958,129839,49866,2.88,,37190,159625,198130,2582.0,,1393,1009903,1319861
2013-08-09,2,2013,,-10522,2366,2366.0,-2048.0,9996,12044,2.35,2.35,,25371,38271,2013年04月01日至2013年06月30日,137899,147895,137899,147895,172759,-9489,988255,1299313,311058,311058,138299,56897,2.33,2.33,43131,137899,163270,,,1333,988255,1299313
2013-11-08,3,2013,,-21044,2171,2171.0,1066.0,-5201,-6267,2.45,2.45,,39240,46738,2013年07月01日至2013年09月30日,150302,145101,150302,145101,209448,-19906,1120749,1484625,363876,363876,154428,58463,2.44,2.44,49227,150302,189542,,,1033,1120749,1484625
2014-02-21,4,2013,,-14530,9679,9679.0,-5597.0,27326,32923,10.2,10.2,,142222,166401,2013年01月01日至2013年12月31日,610538,637864,610538,637864,762680,-9920,4168291,5491112,1322821,1322821,560141,235007,10.13,10.13,158733,610538,752760,,,5069,4168291,5491112
2014-05-09,1,2014,-77.0,17957,3799,3799.0,-116.0,490,683,3.29,3.29,,52569,39923,2014年01月01日至2014年03月31日,203640,204130,203640,204130,235829,20380,1116534,1496263,379729,379729,143900,58123,3.27,3.27,45854,203640,256209,,,1376,1116534,1496263
2014-08-08,2,2014,-221.0,-18594,13367,13367.0,2589.0,-12863,-15231,3.44,3.44,,41832,45049,2014年第2季,231798,218935,231798,218935,280079,-6449,1208784,1637889,429105,429105,149026,58328,3.42,3.42,45649,231798,273630,,,1222,1208784,1637889
2014-11-06,3,2014,517.0,13299,7357,7357.0,-4421.0,22085,25989,3.97,3.97,,74714,44193,2014年第3季,281109,303194,281109,303194,336316,19507,1338992,1836628,497636,497636,161320,66392,3.95,3.95,50735,281109,355823,,,1149,1338992,1836628
2015-03-13,4,2014,,63359,38034,38034.0,-7938.0,38760,46698,14.33,14.33,,236298,166020,2014年度,995396,1034156,995396,1034156,1135161,96533,4962315,6723027,1760712,1760712,625551,268365,14.26,14.26,191166,995396,1231694,,,4860,4962315,6723027
2015-05-08,1,2015,0.0,-31418,10738,,,-9334,-11246,4.1,4.1,-9334.0,77527,47882,2015年01月01日至2015年03月31日,290161,280827,290161,280827,390014,-22326,1363093,1920544,557451,557451,167437,67606,4.08,4.08,51949,290161,367688,,-1912.0,1646,1363093,1920544
2015-08-06,2,2015,0.0,-27247,11512,,,-15475,-18645,4.73,,-15475.0,76111,48217,2015年第2季,335228,319753,335228,319753,428437,-17098,1432082,2030225,598143,598143,169706,66922,4.71,,54567,335228,411339,,-3170.0,1363,1432082,2030225
2015-11-12,3,2015,0.0,87753,10656,,,50032,60279,6.05,6.05,50032.0,107509,68480,2015年第3季,449780,499812,449780,499812,460136,97153,1474221,2142077,667856,667856,207720,75648,6.03,6.03,63592,449780,557289,,10247.0,1256,1474221,2142077
2016-02-25,4,2015,,44053,44231,,,-13240,-15952,19.05,,-13240.0,343961,213091,2015年度,1416710,1403470,1416710,1403470,1678219,82452,5602291,8039323,2437032,2437032,758813,307813,18.98,,237909,1416710,1760671,,-2712.0,5832,5602291,8039323
2016-05-06,1,2016,,-47743,11637,,,-25529,-30758,4.44,4.44,-25529.0,81366,59597,2016年01月01日至2016年03月31日,330071,304542,330071,304542,449659,-38222,1365481,2017863,652382,652382,202723,88284,4.43,4.43,54842,330071,411437,,-5229.0,2116,1365481,2017863
2016-08-08,2,2016,,27523,10670,,,-42065,-50681,5.31,5.31,-42065.0,79537,54171,2016年第2季,394625,352560,394625,352560,437802,36360,1407994,2035859,627865,627865,190063,82377,5.3,5.3,53515,394625,474162,,-8616.0,1833,1407994,2035859
2016-11-07,3,2016,,-49272,14341,,,-65823,-79305,4.22,4.22,-65823.0,82001,51983,2016年第3季,329968,264145,329968,264145,447835,-35866,1442561,2066897,624336,624336,176501,83157,4.21,4.21,41361,329968,411969,,-13482.0,935,1442561,2066897
