date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-11-04,3,2013,,,881,-1523,1536,878,,-18231,658,0,-18231,2.40,2.40,0,642,,,,,,,42335,2013年07月01日至2013年09月30日,132166,113935,132166,113935,,132153,13,274455,538477,264022,264022,131869,,61041,,2.28,2.28,28493,132166,132166,,,,0,,,658,274455,274455,538477,538477,538477,,
2014-03-18,4,2013,,,1710,-18430,13958,11225,,51949,2733,0,51949,9.59,9.59,0,16720,,24,,,,,131442,2013年01月01日至2013年12月31日,530301,582250,530301,582250,,534797,-4472,1080328,2087181,1006853,1006853,472056,24,234368,,9.09,9.09,106246,530301,530325,,,,0,,,,1080328,1080328,2087181,2087181,2087181,,
2014-05-12,1,2014,,,434,-522,5903,4078,,55696,1825,,55696,1.82,1.82,,428,,,,,,,45554,2014年01月01日至2014年03月31日,114667,170363,114667,170363,,109286,5381,297824,564114,266290,266290,157004,,79961,,1.75,1.75,31489,114667,114667,,,,,340,,,297824,297824,564114,564114,564114,,
2014-08-12,2,2014,,,610,1642,6298,2294,,-58618,4004,,-58618,3.12,3.12,2254,0,,-6827,,,,,39863,2014年第2季,236158,177540,236158,177540,,221391,7940,450935,847775,396840,396840,175449,,97282,,3.00,3.00,38304,236158,229331,,,,,0,2,,450935,450935,847775,847775,847775,,
2014-11-07,3,2014,,,601,649,6275,3250,,53369,3025,,53369,2.85,2.85,1251,0,,-3314,,,-227,,48423,2014年第3季,216735,270104,216735,270104,,206724,6697,514132,914720,400588,400588,193864,,104134,,2.75,2.75,41307,216735,213421,,,,,0,1,,514132,514132,914720,914720,914720,,
2015-03-30,4,2014,,,2417,-931,35693,22309,,186402,13384,,186403,10.55,10.55,1147,0,,-13381,,-1,-10494,,189152,2014年度,800730,987132,800730,987132,,763081,24268,1784837,3272732,1487895,1487895,724814,,390469,,10.16,10.16,145193,800730,787349,,,,,339,,,1784837,1784837,3272732,3272732,3272732,,
2015-05-11,1,2015,-36932,-36932,575,6175,13075,9939,,-41165,3136,,-4233,2.66,2.66,5057,0,-4233,4147,,,-12,,66192,2015年01月01日至2015年03月31日,203300,162135,203305,162140,,188209,19238,474202,903951,429749,429749,241540,,127930,,2.56,2.56,47418,203300,207447,,379,2072,,0,,,474202,474202,903951,903951,903951,-5,-5
2015-08-12,2,2015,-61976,-61976,3554,474,8353,4066,,-52912,4287,,9064,4.01,4.01,4025,,9064,-780,,,0,,80590,2015年第2季,307326,254414,307327,254415,,297719,8827,660363,1250695,590332,590332,292613,,139941,,3.86,3.86,72082,307326,306546,3,0,0,,0,0,,660363,660363,1250695,1250695,1250695,-1,-1
2015-11-10,3,2015,245968,245968,765,21734,25286,21140,,189369,4146,,-56599,3.68,3.68,22200,,-56599,11073,,,0,,85492,2015年第3季,282575,471944,282575,471944,,246628,47020,638801,1192005,553204,553204,306576,,162483,,3.55,3.55,58601,282575,293648,299,0,0,,0,0,,638801,638801,1192005,1192005,1192005,0,0
2016-03-18,4,2015,148639,149041,5826,9868,76604,60509,191175,64712,16095,,-84329,15.66,15.66,37104,,-84329,60396,0,,-12,,333017,2015年度,1201241,1265953,1201247,1265959,23649,1175177,86460,2520278,4700981,2180703,2180703,1196701,,614684,402,15.03,15.03,249000,1201241,1261637,,,2239,,0,,,2520278,2520278,4700981,4700981,4700981,-6,-6
2016-05-13,1,2016,-91562,-91562,874,578,22325,18647,4903,-83920,3678,3972,4175,3.09,3.09,1452,,7642,10594,,,-4289,3467,98205,2016年01月01日至2016年03月31日,238548,154628,238548,154628,,234500,14642,719773,1317347,597574,597574,367977,,188212,,2.96,2.96,81560,238548,249142,,,0,3972,,,,719773,719773,1317347,1317347,1317347,0,0
2016-08-11,2,2016,9166,9166,819,5569,12033,9918,4763,-49642,2115,23816,-41148,4.43,4.43,6388,,-58808,7833,,,-3772,-17660,98825,2016年第2季,342515,292873,342515,292873,,360334,-9986,953531,1798697,845166,845166,489595,,249487,,4.25,4.25,141283,342515,350348,,,0,23816,,,,953531,953531,1798697,1798697,1798697,0,0
2016-11-14,3,2016,-151563,-151563,1802,5645,66287,62987,4593,-162477,3300,21804,-6454,4.96,4.96,1367,,-10914,-872,,,-4712,-4460,118313,2016年第3季,387500,225023,387500,225023,,341212,45416,995941,1892903,896962,896962,560343,,291368,,4.69,4.69,150662,387500,386628,,,0,21804,6080,,,995941,995941,1892903,1892903,1892903,0,0
