date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,1740.0,3557,21503,,,5055,,,3971,0.23,0.23,201,201,,6105,3093.0,2013年01月01日至2013年03月31日,12541,17596,17860,22802,201,201,-3769,22415,217716,269348,51632,51632,55401,3672.0,,,0.23,0.23,48636.0,12541,18646,656.0,,2645,217515,24.0,,269371.0,269147,200.0,-5319,-5206
2013-07-26,2,2013,,-800.0,636,7912,,,791,,,1905,0.76,0.76,66283,88276,,22674,,2013年04月01日至2013年06月30日,49878,50669,60416,61151,66283,88276,67147,5405,336730,464466,127736,127736,60589,,,,0.76,0.76,,49878,72552,314.0,,3143,270447,,,376190.0,376190,0.0,-10538,-10482
2013-11-08,3,2013,,3840.0,-6969,27468,,,1334,,,-3009,0.54,0.54,32174,42973,,15258,,2013年07月01日至2013年09月30日,27032,28366,42303,43684,32174,42973,26645,15645,338543,434072,95529,95529,68884,,,,0.53,0.53,,27032,42290,-503.0,,4854,306369,,,391433.0,391099,334.0,-15271,-15318
2014-03-19,4,2013,,2680.0,-1114,73330,,,5903,,,4398,2.11,2.11,171734,227448,,58555,,2013年01月01日至2013年12月31日,116530,122433,165638,171359,171734,227448,118231,56854,1355070,1747628,392558,392558,274327,,,-459.0,2.1,2.1,,116530,175085,716.0,,15362,1183336,,,1528575.0,1520180,8395.0,-49108,-48926
2014-04-28,1,2014,,-1150.0,3536,25100,,,-836,,,381,1.21,1.21,44681,59249,,17487,370.0,2014年01月01日至2014年03月31日,79519,78683,96029,95205,44681,59249,73115,23891,429798,573944,144146,144146,71031,7509.0,,,1.11,1.11,63152.0,79519,97006,67.0,,4745,385117,,,515964.0,514695,1269.0,-16510,-16522
2014-08-12,2,2014,,3650.0,-1456,13087,883.0,,1847,,,-2162,0.36,0.36,94780,102890,,18126,,2014年第2季,6357,8204,31415,33313,94780,102890,20053,4430,593142,707500,114358,114358,94305,,,,0.35,0.35,,6357,24483,-359.0,,7201,497479,,,606381.0,604610,1771.0,-25058,-25109
2014-11-05,3,2014,,-250.0,-590,10118,2320.0,,1719,,,2358,-0.1,-0.1,97354,107840,,7261,,2014年第3季,-36064,-34345,-8928,-7279,97354,107840,-30493,1690,328799,384997,56198,56198,86691,,,,-0.1,-0.1,,-36064,-28803,389.0,,7838,229125,,,277175.0,277157,18.0,-27136,-27066
2015-03-10,4,2014,,-15450.0,16273,59274,7087.0,2703.0,-12810,19236.0,468.0,3660,1.38,1.38,329226,410326,,50356,,2014年度,21809,8999,121046,108144,329226,410326,28677,43488,1689433,2048366,358933,358933,330256,,,-413.0,1.35,1.35,,21809,72165,607.0,,32059,1333884,,,1637989.0,1634869,3120.0,-99237,-99145
2015-05-05,1,2015,,0.0,-15082,8408,13784.0,1961.0,820,7412.0,554.0,995,0.38,0.38,128666,193693,820.0,5516,0.0,2015年01月01日至2015年03月31日,15826,16646,37148,38000,128666,193693,37931,-16589,296958,403718,106760,106760,68829,2534.0,,,0.38,0.38,66295.0,15826,21342,,175.0,9915,147096,58.0,,207568.0,207510,0.0,-21322,-21354
2015-08-07,2,2015,,-93.0,4843,11153,9267.0,1815.0,-1155,8498.0,959.0,-1273,0.12,0.12,113569,175813,-1155.0,11077,,2015年第2季,-12218,-13373,12753,11671,113569,175813,-7260,6119,285129,363501,78372,78372,85632,,,,0.12,0.12,,-12218,-1141,,-211.0,9877,153795,,,184914.0,184914,0.0,-24971,-25044
2015-11-06,3,2015,,93.0,-691,7584,1000.0,2335.0,3011,9225.0,1775.0,3495,-0.59,-0.59,63623,71540,3011.0,-5603,,2015年第3季,-78357,-75346,-59987,-57115,63623,71540,-80674,-3286,382989,371599,-11390,-11390,69284,,,,-0.59,-0.59,,-78357,-83960,,577.0,10179,309141,,,296008.0,295949,59.0,-18370,-18231
2016-03-25,4,2015,-325.0,0.0,-9475,37122,25183.0,8956.0,-131,35373.0,6048.0,245,0.03,0.03,398718,561793,194.0,18262,,2015年度,-78282,-78413,3542,3465,398718,561793,-46831,-13189,1349164,1596605,247441,247441,294272,,-325.0,,0.03,0.03,,-78282,-60020,,51.0,40836,889890,,,1020163.0,1019808,355.0,-81824,-81878
2016-05-06,1,2016,,,5152,10504,835.0,1673.0,-261,11186.0,5502.0,-313,0.01,0.01,86023,79012,-261.0,4828,,2016年01月01日至2016年03月31日,-18378,-18639,610,358,86023,79012,-19628,6078,267203,314925,47722,47722,67350,1546.0,,,0.01,0.01,65804.0,-18378,-13550,,-52.0,9578,169159,,,229033.0,228738,295.0,-18988,-18997
2016-08-01,2,2016,,0.0,1424,7333,795.0,1643.0,-1897,16209.0,5944.0,-2271,0.02,0.02,84507,84285,-1897.0,5252,,2016年第2季,-17205,-19102,1681,-149,84507,84285,-10658,-1295,384561,442544,57983,57983,68641,,,,0.02,0.02,,-17205,-11953,,-374.0,10052,283050,,,,350672,,-18886,-18953
2016-11-07,3,2016,,0.0,-3870,6127,667.0,1509.0,-3346,25437.0,6833.0,-4007,0.21,0.21,92516,155599,-3346.0,9112,,2016年第3季,1143,-2203,20947,17721,92516,155599,20019,-9764,417482,502809,85327,85327,65308,,,,0.19,0.19,,1143,10255,,-661.0,12021,298862,,339038.0,339038.0,338868,170.0,-19804,-19924
