date,season,year,不重分類至損益之項目總額,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,-3062,2499,-19106,-23019,-0.55,-0.55,,,6284,,,63273,2013年01月01日至2013年03月31日,,-51721,-70827,-50909,-70015,-37374,-8063,174799,249847,75048,75048,112422,11575,,,37574,-51721,-45437,,-3913.0,,7500,-812,-812
2013-08-13,2,2013,,,,-2004,6346,47191,56856,-0.31,-0.31,,,3603,,,67902,2013年04月01日至2013年06月30日,,-32260,14931,-28316,18875,-24567,-4090,188301,276336,88035,88035,112602,8763,,,35937,-32260,-28657,,9665.0,,8432,-3944,-3944
2013-11-13,3,2013,,,,-381,6608,-7881,-9495,-0.25,-0.25,,,-237,,,56882,2013年07月01日至2013年09月30日,,-26320,-34201,-23084,-30965,-24436,-2121,174591,254494,79903,79903,104339,9205,,,38252,-26320,-26557,,-1614.0,,8348,-3236,-3236
2014-03-10,4,2013,,,,167856,29610,28159,29815,0.21,0.21,,,30265,-100.0,,256772,2013年01月01日至2013年12月31日,720.0,8639,36798,19574,47733,-125274,164178,743253,1058859,315606,314886,440160,40344,,-1165.0,143044,8639,38904,,491.0,,33188,-10935,-10935
2014-05-15,1,2014,,,,-4967,4157,2946,3549,-0.43,-0.43,,,6341,532.0,,66621,2014年01月01日至2014年03月31日,621.0,-44143,-41197,-39111,-36165,-29784,-8018,225771,308867,83096,82475,112259,9197,,,36441,-44143,-37802,,603.0,,7740,-5032,-5032
2014-08-13,2,2014,,,,264,4764,-9441,-11374,-0.21,-0.21,79,,4632,1226,,64959,2014年第2季,0,-24886,-34327,-20196,-29637,-18303,-1951,203261,297749,94488,94567,112870,8450,,0,39461,-24886,-20254,,-1933,,8205,-4690,-4690
2014-11-12,3,2014,,,,4034,2050,11696,14091,-0.5,-0.5,,,-2364,1359.0,,75396,2014年第3季,23.0,-56231,-44535,-49938,-38242,-57633,-962,222150,290305,68155,68132,125765,10368,,,40001,-56231,-58595,,2395.0,,8405,-6293,-6293
2015-03-25,4,2014,,,,-10620,14826,20292,24324,-1.55,-1.55,,,15362,3296.0,,261671,2014年度,-2421.0,-177421,-157129,-158641,-135326,-136571,-25488,849577,1164885,315308,317729,454300,36395,,124.0,156234,-177421,-162059,,4156.0,,32990,-18780,-21803
2015-05-06,1,2015,,,,-12668,3533,-3422,-4123,-0.59,-0.59,,-3422.0,3925,1440.0,,74118,2015年01月01日至2015年03月31日,2217.0,-70834,-74256,-67776,-71198,-51220,-15689,157290,234653,77363,75146,126366,9697,,,42551,-70834,-66909,,,-701.0,7994,-3058,-3058
2015-08-12,2,2015,,,,64142,3382,-7672,-9243,0.2,0.2,,-7672.0,3124,1049.0,,71554,2015年第2季,3681.0,26471,18799,25778,18106,-33165,62760,141156,232760,91604,87923,121088,9733,,,39801,26471,29595,,,-1571.0,5813,693,693
2015-11-07,3,2015,,,,9400,4138,21144,25474,-0.27,-0.27,,21144.0,-189,1668.0,,61421,2015年第3季,1725.0,-35781,-14637,-35055,-13911,-44962,8992,131214,200942,69728,68003,112965,10767,,,40777,-35781,-35970,,,4330.0,6214,-726,-726
2016-03-12,4,2015,2164.0,,,5123,19058,5436,3942,-1.51,-1.51,,3272.0,14093,5407.0,,273010,2015年度,6460.0,-193708,-188272,-189722,-185124,-184469,4854,588558,886665,298107,291647,476116,39380,2608.0,,163726,-193708,-179615,444.0,,670.0,24734,-3986,-3148
2016-05-07,1,2016,,,,37753,3127,-17150,-20663,0.0,0.0,740.0,-17150.0,3885,779.0,,62250,2016年01月01日至2016年03月31日,0.0,492,-16658,332,-16818,-31980,36357,134973,213524,78551,79291,111271,8125,,,40896,492,4377,,,-3513.0,5302,160,160
2016-08-10,2,2016,,0.0,0.0,-1427,3001,2453,474,-0.26,-0.26,424.0,2453.0,680,-4751.0,2482.0,60893,2016年第2季,0.0,-32455,-30002,-33211,-30758,-28021,-3754,100678,170902,70224,70648,98669,8298,,,29478,-32455,-31775,,,503.0,577,756,756
2016-11-10,3,2016,,,0.0,-1037,3246,-7289,-7248,-0.21,-0.21,0.0,-7289.0,122,-3108.0,-1534.0,55377,2016年第3季,558.0,-27585,-34874,-26542,-33831,-25865,-1598,97846,162293,64447,63889,89754,8122,,,26255,-27585,-27463,,,-1493.0,699,-1043,-1043
