date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,5395,101751,5133,0.0,242436,237041,0.2,,,55697,311205,2013年01月01日至2013年03月31日,329712,572148,321012,532891,375131,10278,6266730,7162521,895791,895791,520660,,,0.2,,209455,329712,385409,,,,96606,,,38904.0,7202284.0,7202284.0,7162521.0,859.0,8700,39257
2013-08-07,2,2013,,25111,127685,5839,,230644,205614,0.24,,,99889,299315,2013年04月01日至2013年06月30日,392306,622950,371248,580726,447629,44566,6589912,7519935,930023,930023,482394,,,0.23,,183079,392306,492195,,81.0,,88958,6589912.0,6589912.0,61348.0,7584970.0,7584970.0,7519935.0,3687.0,21058,42224
2013-11-11,3,2013,,26826,50866,50220,,-27228,-54256,0.2,0.2,,115733,330642,2013年07月01日至2013年09月30日,314075,286847,308106,291950,436201,-6393,8475667,9555656,1079989,1079989,643788,,,0.19,0.19,313146,314075,429808,,-202.0,,107479,,,,,,,,5969,-5103
2014-03-24,4,2013,,42851,295240,132604,,696980,655811,0.8,0.8,,309779,1270476,2013年01月01日至2013年12月31日,1311334,2008314,1256122,1888272,1608544,12569,29364494,33192553,3828059,3828059,2219515,,-3120.0,0.79,0.79,949039,1311334,1621113,,-1438.0,,415275,,,,,,,,55212,120042
2014-05-06,1,2014,,-33797,-58771,34286,,-233699,-199902,0.22,0.22,,89670,330418,2014年01月01日至2014年03月31日,348341,114642,348001,140216,591163,-153152,8222436,9421613,1199177,1199177,608014,,,0.22,0.22,277596,348341,438011,,0.0,,128667,,,,,,,,340,-25574
2014-08-06,2,2014,,10220,-48642,39396,,-121135,-131355,0.11,0.11,,91323,337846,2014年第2季,178343,57208,180366,59044,401065,-131399,8053905,9035484,981579,981579,580514,,,0.11,0.11,242668,178343,269666,,0.0,,122153,,,,,,,,-2023,-1836
2014-11-10,3,2014,,-1902,57376,40155,,279883,281785,0.1,0.1,,57359,361560,2014年第3季,157700,437583,161608,432679,244586,-29527,8700110,9580201,880091,880091,635505,,,0.1,0.1,273945,157700,215059,,0.0,,127058,,,,,,,,-3908,4904
2015-03-25,4,2014,,761,66948,135091,,278334,289323,0.49,0.49,,225653,1367148,2014年度,762708,1041042,775960,1012319,1302758,-314397,32692192,36437962,3745770,3745770,2443012,,-13074.0,0.49,0.49,1075864,762708,988361,,-1324.0,,516436,,,,,,,,-13252,28723
2015-05-06,1,2015,,-5565,382053,50947,,-115461,-109896,0.31,0.31,-115461.0,176523,341859,2015年01月01日至2015年03月31日,472296,356835,492387,388130,383652,265167,9375220,10462770,1087550,1087550,703898,,,0.31,0.31,362039,472296,648819,,,,167833,,,,,,,,-20091,-31295
2015-08-05,2,2015,,-1364,-26540,28416,,-166014,-164650,0.17,0.17,-166014.0,94667,310069,2015年第2季,254089,88075,263851,114024,514128,-165372,7945710,9079886,1134176,1134176,620048,,,0.17,0.17,309979,254089,348756,,,,167248,,,,,,,,-9762,-25949
2015-11-04,3,2015,,-64419,-237587,32610,,280858,345277,0.09,0.09,280858.0,22421,300544,2015年第3季,114635,395493,143796,389399,502065,-365009,8230937,9342382,1111445,1111445,609380,,,0.09,0.09,308836,114635,137056,,,,160032,,,,,,,,-29161,6094
2016-03-24,4,2015,-24946.0,-47444,85818,181701,,-590802,-519213,0.37,0.37,-565856.0,210790,1257061,2015年度,491957,-98845,590018,23693,1090416,-387669,32605191,36178627,3573436,3573436,2483020,-30055.0,,0.37,0.37,1225959,491957,702747,-5109.0,,-801.0,655188,,,,,,,,-98061,-122538
2016-05-10,1,2016,,-22388,-17196,21593,,-4091,18297,0.12,0.12,-4091.0,61240,302725,2016年01月01日至2016年03月31日,171704,167613,196787,201455,379086,-146142,7348091,8335964,987873,987873,608787,,,0.12,0.12,306062,171704,232944,,,,150539,,,,,,,,-25083,-33842
2016-08-05,2,2016,,-5182,-1932,29417,,-440823,-435641,0.27,0.27,-440823.0,161180,324154,2016年第2季,434893,-5930,428051,11252,711458,-115385,7118563,8471090,1352527,1352527,641069,,,0.27,0.27,316915,434893,596073,,,,142870,,,,,,,,6842,-17182
2016-11-08,3,2016,,10230,-1348,24198,,-353350,-363580,0.16,0.16,-353350.0,86650,304956,2016年第3季,251745,-101605,245520,-75502,448021,-109626,7176834,8231210,1054376,1054376,606355,,,0.16,0.16,301399,251745,338395,,,,132476,,,,,,,,6225,-26103
