date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,-1419,1224,17420,-1419,-0.53,,,118,12161,2013年01月01日至2013年03月31日,-70942,-72361,-70943,-72361,-82531,11707,282072,246603,-35469,-35469,47062,,,34901,-70942,-70824,,6937,1,0.0
2013-08-06,2,2013,,6963,-152,20848,6963,-0.36,,,0,13336,2013年04月01日至2013年06月30日,-47553,-40590,-47553,-40595,-61286,13733,295302,280003,-15299,-15299,45987,,,32651,-47553,-47553,,6963,0,5.0
2013-11-07,3,2013,,-1261,-748,17703,-1261,-0.25,,,0,12851,2013年07月01日至2013年09月30日,-33237,-34498,-33235,-34496,-43154,9917,319620,321340,1720,1720,44874,,,32023,-33237,-33237,,7038,-2,-2.0
2014-03-26,4,2013,,7323,1390,73165,16230,-1.22,-1.22,,2043,55536,2013年01月01日至2013年12月31日,-162117,-145887,-162112,-145887,-206606,46532,1283180,1262767,-20413,-20413,186193,,8907.0,130657,-162117,-160074,,28023,-5,0.0
2014-05-08,1,2014,,1691,-192,15919,1691,-0.56,,,-10,11666,2014年01月01日至2014年03月31日,-74091,-72400,-74089,-72400,-82611,8510,265971,230180,-35791,-35791,46820,,,35154,-74091,-74101,,7217,-2,
2014-08-07,2,2014,,1577,-179,22251,1577,-0.28,,,0,12208,2014年第2季,-37798,-36221,-37798,-36221,-52429,14631,241626,235862,-5764,-5764,46665,,,34457,-37798,-37798,,7441,0,0.0
2014-11-06,3,2014,,-5151,4986,21282,-5151,-0.49,,,0,11429,2014年第3季,-64273,-69424,-64271,-69418,-82814,18541,258509,224195,-34314,-34314,48500,,,37071,-64273,-64273,,7727,-2,-6.0
2015-03-26,4,2014,,100,5480,88233,-19,-1.77,-1.77,,1222,49962,2014年度,-234219,-234238,-234210,-234228,-296201,63204,1107867,1005026,-102841,-102841,193360,,-119.0,143398,-234219,-232997,,30509,-9,-10.0
2015-05-12,1,2015,,-2258,2624,14267,-2258,-1.04,,-2258.0,0,10303,2015年01月01日至2015年03月31日,-137577,-139835,-137575,-139832,-146232,8655,254582,156426,-98156,-98156,48076,,,37773,-137577,-137577,,8236,-2,-3.0
2015-08-06,2,2015,,-2527,4386,37320,-2527,-0.65,,-2527.0,0,15002,2015年第2季,-85732,-88259,-85740,-88259,-118856,33124,299594,229437,-70157,-70157,48699,,,33697,-85732,-85732,,8582,8,
2015-11-11,3,2015,,-7096,6547,38546,-7096,-0.4,,-7096.0,0,13050,2015年第3季,-53493,-60589,-53494,-60590,-88922,35429,288980,246910,-42070,-42070,46852,,,33802,-53493,-53493,,9664,1,1.0
2016-03-16,4,2015,11462.0,-12730,12220,113993,-1268,-2.24,-2.24,-12730.0,934,53796,2015年度,-296812,-298080,-296817,-298078,-386722,90844,1146526,952840,-193686,-193686,193036,11462.0,,139240,-296812,-295878,,35369,5,-2.0
2016-05-11,1,2016,,-3,-655,32456,-3,-0.45,,-3.0,0,13890,2016年01月01日至2016年03月31日,-59416,-59419,-59416,-59419,-82629,23213,224621,189529,-35092,-35092,47537,,,33647,-59416,-59416,,8588,0,0.0
2016-08-10,2,2016,,0,373,24868,0,-0.45,,0.0,66,12312,2016年第2季,-60185,-60185,-60185,-60185,-77155,17036,228566,194733,-33833,-33833,43322,,,31010,-60185,-60119,,8205,0,
2016-11-10,3,2016,,0,-457,30944,0,-0.49,,0.0,0,12199,2016年第3季,-64795,-64795,-64799,-64799,-87176,22381,222291,179950,-42341,-42341,44835,,,32636,-64795,-64795,0.0,8106,4,4.0
