date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,重估價之利益（損失）,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-1434252,-491001,1140953,-125038,1220801,0.4,0.4,37.0,,218286,,82876.0,1025067,,2013年01月01日至2013年03月31日,0,1371559,1246521,1213452,718662,339801,1250044,13039407,13931550,892143,892180,552379,5537.0,,,,0.37,0.37,1371559,1589845,,424975,,,158107,527859
2013-08-14,2,2013,,-1407949,234770,676200,-531559,914604,0.83,0.83,0.0,,259500,,-46237.0,800492,,2013年04月01日至2013年06月30日,12,2934680,2403121,2500283,1693730,1898183,1295997,15670557,18181256,2510699,2510687,612504,8023.0,,,,0.72,0.72,2934680,3194180,,415465,,,434397,709391
2013-11-04,3,2013,,506811,-249245,335213,102341,-418413,0.34,0.34,0.0,,333938,,11523.0,611715,,2013年07月01日至2013年09月30日,26,1361389,1463730,1042187,1267750,1408561,286766,15671659,17609788,1938129,1938103,529542,2420.0,,,,0.34,0.34,1361389,1695327,,410917,,,319202,195980
2014-03-24,4,2013,,-1034586,-259150,2324762,2334447,2532355,2.21,2.21,,,1825950,,573480.0,3208725,,2013年01月01日至2013年12月31日,32,8451890,10786337,6805830,8373288,6643708,3634132,61158946,70172781,9013835,9013803,2370095,20330.0,,,262379.0,2.12,2.12,8451890,10277840,19511.0,1640205,,,1646060,2413049
2014-05-13,1,2014,,-868227,-523400,242432,-362929,719397,0.47,0.47,0.0,,330848,,-340082.0,1042631,,2014年第1季,358,1683231,1320302,1439813,873472,1637619,376460,14017994,16256080,2238086,2237728,600109,3931.0,,,,0.4,0.4,1683231,2014079,6418.0,385203,128470.0,,243418,446830
2014-08-08,2,2014,,-854392,586919,728197,-2780775,-994881,1.21,1.21,0.0,,686386,,-935581.0,1476399,,2014年第2季,445,4195441,1414666,3734816,1247525,2516188,2365639,17914198,21194832,3280634,3280189,764001,4079.0,,,,1.16,1.16,4195441,4881827,0.0,425876,0.0,,460625,167141
2014-11-11,3,2014,,-214124,20354,306677,1379410,904955,0.64,0.64,,,357809,,683983.0,1089616,,2014年第3季,-136,2360599,3740009,2024069,3126996,1736814,981594,17405889,19783979,2378090,2378226,641412,4596.0,,,,0.6,0.6,2360599,2718408,0.0,435053,0.0,,336530,613013
2015-03-20,4,2014,,1186536,1209572,1579088,4827293,2980569,2.98,2.98,,,2813741,,527962.0,4350273,,2014年度,586,10905998,15733291,9361635,13273390,8248404,5471335,66553091,77683281,11130190,11129604,2881200,13877.0,,,4146.0,2.65,2.65,10905998,13719739,14267.0,1667598,128470.0,,1544363,2459901
2015-05-13,1,2015,-21965.0,4758940,79844,179735,3927296,-862180,0.47,0.47,,3949261.0,302412,30.0,,960033,45564.0,2015年01月01日至2015年03月31日,1263,1542288,5469584,1468473,5633392,1037375,807325,13729956,15362530,1632574,1631311,593936,,6937.0,-21995.0,,0.44,0.44,1542288,1844700,,412287,,0.0,73815,-163808
2015-08-11,2,2015,-17.0,-1975459,953276,700281,-3256100,-494006,0.94,0.94,441.0,-3256083.0,247545,-17.0,,1079034,-790428.0,2015年第2季,0,3033963,-222137,2888526,-212610,963342,2318166,15092848,16890231,1797383,1797824,834482,,3810.0,0.0,,0.94,0.94,3033963,3281508,,414425,,0.0,145437,-9527
2015-11-11,3,2015,0.0,-676921,-1138894,285349,1657709,1217257,0.02,0.02,,1657709.0,132576,0.0,,378902,1113981.0,2015年第3季,-404,-169697,1488012,64042,1353290,853831,-890952,15359881,16861149,1501268,1501672,647841,,3392.0,0.0,,-0.02,-0.02,-169697,-37121,,416309,,0.0,-233739,134722
2016-03-25,4,2015,-754101.0,-1216565,-66725,1502671,-3860529,-1184681,1.55,1.55,,-3106428.0,1879675,-285305.0,,2986137,-722900.0,2015年度,92,4934483,1073954,4860241,1343662,4039945,2774213,59228641,66287480,7058839,7058747,3018802,,17718.0,-468796.0,,1.32,1.32,4934483,6814158,,1647870,,0.0,74242,-269708
2016-05-10,1,2016,0.0,-7003495,-24603,375195,-8936360,-707947,0.06,0.06,201.0,-8936360.0,88091,0.0,,-55695,-1224918.0,2016年01月01日至2016年03月31日,0,194459,-8741901,199130,-8505796,406252,-123702,12040729,13038960,998231,998432,592180,,0.0,0.0,,0.06,0.06,194459,282550,,418599,,,-4671,-236105
2016-08-11,2,2016,0.0,-1016370,-772378,531606,-2589855,-1076459,0.38,0.38,449.0,-2589855.0,326198,0.0,,333391,-497026.0,2016年第2季,0,1337358,-1252497,1205901,-1059823,1968098,-304542,13435994,16028285,2592291,2592740,624642,,0.0,0.0,,0.38,0.38,1337358,1663556,,397161,,,131457,-192674
