date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,遞延所得稅費用（利益）,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,44427.0,-2335564,,913791,733357,395513.0,-714.0,1589181,337844.0,,3154500,0.9,,566789.0,-8752.0,,1265389,,866258.0,2947121.0,0.0,2947121,,2234511,2013年01月01日至2013年03月31日,,,6938975,8528156,7030718,8619899,4125884,4078480,65959474,74265110,8305636,8296884,4171000,1265389.0,,1936489,6938975,8204364,,,95299.0,,379692.0,,,2331.0,515789,9406.0,0.0,-91743,-91743.0
2013-08-13,2,2013,,,4134572,,490813,907075,,-236.0,8266808,,,1642400,0.48,,,7733.0,,1290900,,2522969.0,,,1561017,,2369432,2013年04月01日至2013年06月30日,0.0,,3751211,12018019,3776858,12043667,2637383,2404728,66871747,74034602,7162855,7170588,4533205,,,2163773,3751211,5042111,,,32897.0,,,,,,554177,,,-25647,-25648.0
2013-11-13,3,2013,,,3516430,,-140025,1519220,,434.0,485521,,,-2143805,1.02,,,0.0,,1507208,,-951667.0,4163608.0,,4163608,,2538490,2013年07月01日至2013年09月30日,5419.0,,8006380,8491901,8061283,8546804,4599063,4914525,73041897,82243293,9201396,9195977,4596914,,,2058424,8006380,9513588,,,-64129.0,,,,,,628278,,,-54903,-54903.0
2014-03-26,4,2013,,,10266627,,1646672,3972786,,11245.0,17778116,,,5235320,3.19,,,0.0,,5893763,,2371300.0,12726562.0,,12726562,,9626789,2013年01月01日至2013年12月31日,5605.0,,25063700,42841816,25271588,43049704,14812143,16145320,278338457,311005289,32666832,32661227,17849084,,,8222295,25063700,30957463,,,106376.0,,,,,,2200700,,,-207888,-207888.0
2014-05-13,1,2014,,90586.0,-1911790,,2660038,769741,395807.0,-316.0,-664398,373934.0,539073.0,1848365,1.18,1.18,203678.0,,,1082617,,-516181.0,4979198.0,,4979198,,2444941,2014年01月01日至2014年03月31日,1759.0,,9375600,8711202,9339664,8675266,2588313,7869904,70529634,77473959,6944325,6942566,4354253,1082617.0,,1909312,9375600,10458217,,,84476.0,,0.0,13413.0,2560359.0,0.0,539073,0.0,,35936,35936.0
2014-08-12,2,2014,,52831.0,16697586,,437818,781849,382285.0,335.0,17991238,376824.0,556334.0,-2732658,1.26,1.26,-225956.0,,,-1641068,,3932878.0,4402844.0,,4402844,,2530273,2014年第2季,10241.0,,10347759,28338997,10027605,28018843,3640514,5066177,75051584,83215022,8163438,8153197,4512683,-1641068.0,,1982410,10347759,8706691,22740.0,,-93097.0,,-934.0,,717539.0,,556334,0.0,,320154,320154.0
2014-11-12,3,2014,,51288.0,-7843852,,825920,2129320,447351.0,-293.0,-7580516,355939.0,563831.0,2321327,1.18,1.18,455862.0,,,1335224,,-1972753.0,5263860.0,,5263860,,2526556,2014年第3季,-5779.0,,9644098,2063582,9363598,1783082,3324053,7655269,77002829,84887468,7884639,7890418,4566365,1335224.0,,2039809,9644098,10979322,1326030.0,,84945.0,,-13809.0,,435155.0,,563831,0.0,,280500,280500.0
2015-03-25,4,2014,,,8469631,,5770598,4386359,,-6942.0,19282981,,,7993127,4.01,4.01,,-13492.0,,1699345,,3114468.0,,,15515623,,9973544,2014年度,0.0,,32816753,52099734,31785279,51068260,10991188,23524910,296426556,325473146,29046590,29033098,18041910,1699345.0,,8068366,32816753,34516098,,,287303.0,,,,,,2147670,,,1031474,1031474.0
2015-05-13,1,2015,238.0,,-2617137,,56139,570279,,,-4207978,,473861.0,-1863017,1.0,1.0,,,-4208216.0,1648631,,,3141560.0,,3141560,218444.0,2517486,2015年01月01日至2015年03月31日,-214.0,1648631.0,8169341,3961363,7950168,4063483,6523855,3294117,68480472,79525772,11045300,11045514,4521659,,238.0,2004173,8169341,9817972,,0.0,,-53494.0,,,,,473861,,,219173,-102120.0
2015-08-12,2,2015,248.0,,-8910530,-366410.0,-258283,620726,,,-12768678,,471542.0,-1394268,1.58,1.58,,,-12768926.0,3419351,,,8251150.0,,8251150,-2521025.0,2475211,2015年第2季,3586.0,3419351.0,12558547,-210131,12558411,156279,7835847,8142051,69668004,82023829,12355825,12352239,4516392,,248.0,2041181,12558547,15977898,,0.0,,-56897.0,,,,,471542,,,136,
