date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,,-86868,315,13146,-87091,1707,0.04,,-1863,,,-1708.0,-1708.0,-347,,,28976,2013年01月01日至2013年03月31日,4765,-82326,,8447,-79044,-8155,11057,580096,700168,120072,120072,128227,,,0.04,99251,4765,0.04,2902,,222.0,,,2057,,-3682,-3282
2013-08-13,2,2013,,,,299665,48759,10478,296797,-2860,0.24,,-10610,,,-534.0,-534.0,-1875,,,33832,2013年04月01日至2013年06月30日,50485,347282,,50325,346890,-15608,55483,595863,719295,123432,123432,139040,,,0.24,105208,50485,0.24,39875,,-526.0,,,1879,,160,392
2013-11-13,3,2013,,,,-14617,-22180,44539,-26158,-6837,0.46,,24025,,,-5839.0,-5839.0,12637,,,32216,2013年07月01日至2013年09月30日,102750,76592,,97425,71429,93870,32905,1079616,1314676,235060,235060,141190,,,0.46,108974,102750,0.46,126775,,-1135.0,,,2091,,5325,5163
2014-03-26,4,2013,,,0.0,391357,45678,73019,392657,-10901,0.82,,11028,,,10739.0,10739.0,9807,,,127385,2013年01月01日至2013年12月31日,170604,563261,,173786,565746,61110,120522,2810852,3388796,577944,577944,516834,,-510.0,0.82,389449,170604,0.82,181632,,-1972.0,,,7982,,-3182,-2485
2014-05-12,1,2014,,,0.0,-142234,2885,15138,-140684,11273,0.0,,4387,,,-7800.0,-7800.0,-759,,,29528,2014年01月01日至2014年03月31日,-3091,-143775,,105,-140542,-13691,14987,527010,631838,104828,104828,118519,,,0.0,88991,-3091,0.0,1296,,1923.0,,,2277,,-3196,-3233
2014-08-12,2,2014,,,0.0,228829,-2818,8501,214619,-9526,0.09,,8620,,,-6278.0,-6278.0,-518,,,34908,2014年第2季,17148,231767,,19349,234119,22747,3021,611660,757846,146186,146186,123439,,,0.09,88531,17148,0.09,25768,,-1594.0,,,2144,,-2201,-2352
2014-11-12,3,2014,,,0.0,-173843,-1184,93758,-176786,5646,0.72,,11508,,,-7662.0,-7662.0,12949,,,29090,2014年第3季,143933,-32853,,144516,-32462,52030,103411,682946,844288,161342,161342,109312,,,0.72,80222,143933,0.72,155441,,927.0,,,2112,,-583,-391
2015-03-26,4,2014,,,0.0,-153340,51035,125155,-182832,11437,1.16,,44842,,,-36874.0,-36874.0,10869,,,128195,2014年度,225570,42738,,235661,52787,92185,178227,2428795,2989773,560978,560978,468793,,-2118.0,1.16,340598,225570,1.16,270412,,1937.0,,,8832,,-10091,-10049
2015-05-13,1,2015,0.0,0.0,0.0,126835,-13011,11699,113505,-6066,0.03,113505.0,3461,0.0,0.0,,,-655,-8297.0,-8297.0,31284,2015年01月01日至2015年03月31日,3081,116586,0.0,6204,119699,10636,-4094,520722,638625,117903,117903,107267,0.0,,0.03,75983,3081,0.03,6542,0.0,,-1033.0,0.0,2127,0.0,-3123,-3113
2015-08-12,2,2015,,,0.0,72054,7325,10240,30499,-8757,0.14,30499.0,8457,,,,,-850,-34288.0,-34288.0,31392,2015年第2季,22787,53286,,25969,56464,16862,14382,557503,684545,127042,127042,110180,,,0.14,78788,22787,0.14,31244,,,-1490.0,,2333,,-3182,-3178
