date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-9467,4474,488,-9467,-0.42,,555,15,2013年01月01日至2013年03月31日,-71515,-80982,-71228,-78308,-70677,-283,1170507,1128664,-41843,-41843,28834,,,28834,-71515,-70960,5260,,,,,,-287,-2674
2013-08-13,2,2013,,10634,959,552,10634,-0.71,,404,-8,2013年04月01日至2013年06月30日,-118976,-108342,-119011,-110890,-113999,-4573,1316797,1233840,-82957,-82957,31042,,,31042,-118976,-118572,6076,,,,,,35,2548
2013-11-12,3,2013,,9715,513,2535,9715,-0.12,,1958,56,2013年07月01日至2013年09月30日,-20319,-10604,-20581,-13904,-15240,-3121,1179483,1193663,14180,14180,29420,,,29420,-20319,-18361,6225,1179483.0,,,1193663.0,,262,3300
2014-03-26,4,2013,,21875,7364,4031,22431,-1.77,,2817,-32,2013年01月01日至2013年12月31日,-297968,-275537,-297922,-281212,-282587,-12564,4831274,4669071,-162203,-162203,120384,,556.0,120384,-297968,-295151,23927,,,,,,-46,5675
2014-05-07,1,2014,,-14717,-808,360,-14717,-0.29,,201,-1,2014年01月01日至2014年03月31日,-48839,-63556,-48548,-59118,-42567,-6071,973254,957423,-15831,-15831,26736,,,26736,-48839,-48638,5622,,,,,,-291,-4438
2014-08-13,2,2014,,7130,-8589,408,7130,-0.14,,2101,-32,2014年第2季,-23000,-15870,-22752,-16967,-6995,-13904,867755,887400,19645,19645,26640,,,26640,-23000,-20899,5691,867755.0,,,887400.0,,-248,1097
2014-11-13,3,2014,,-9589,679,5895,-9589,-1.0,,-1044,127,2014年第3季,-99550,-109139,-100936,-107689,-101334,740,944830,867541,-77289,-77289,24045,,,24045,-99550,-100594,5961,944830.0,,,867541.0,,1386,-1450
2015-03-03,4,2014,,-33013,-3484,7534,-38765,-2.44,,1418,2,2014年度,-247175,-285940,-245728,-277837,-226621,-19136,3635582,3511555,-124027,-124027,102594,,-5752.0,102594,-247175,-245757,23188,,,,,,-1447,-8103
2015-05-12,1,2015,,-11,7783,663,-11,-0.32,-11.0,3208,-58,2015年01月01日至2015年03月31日,-32724,-32735,-32750,-32761,-32265,2749,594566,579570,-14996,-14996,17269,,,17269,-32724,-29516,5639,,,,,,26,26
2015-08-06,2,2015,-2042.0,0,109765,273,-2042,0.4,0.0,-3257,-8460,2015年第2季,40213,38171,41380,39338,-59456,96412,750487,738986,-11501,-11501,47955,-2042.0,,47955,40213,36956,5166,750487.0,,,738986.0,,-1167,-1167
2015-11-10,3,2015,0.0,0,17149,4238,0,-0.28,0.0,9961,8518,2015年第3季,-36131,-36131,-37046,-37046,-51121,24951,630220,590450,-39770,-39770,11351,0.0,,11351,-36131,-26170,4954,630220.0,,,590450.0,,915,915
2016-02-24,4,2015,-1932.0,-11,215015,7853,-1943,0.03,-11.0,15576,-77,2015年度,3359,1416,3585,1642,-183564,202499,2631045,2534957,-96088,-96088,87476,-1932.0,,87476,3359,18935,20292,,,,,,-226,-226
2016-05-10,1,2016,,0,-88,2214,0,-0.03,0.0,0,0,2016年01月01日至2016年03月31日,-3319,-3319,-3319,-3319,-1248,-2071,456391,465683,9292,9292,10540,,,10540,-3319,-3319,4197,456391.0,2454.0,469331.0,465683.0,1194.0,0,0
2016-08-05,2,2016,0.0,0,-241,2189,0,-0.11,0.0,0,0,2016年第2季,-15192,-15192,-15192,-15192,-12760,-2432,525453,525693,240,240,13000,0.0,,13000,-15192,-15192,4380,525453.0,2577.0,530395.0,525693.0,2125.0,0,0
2016-11-03,3,2016,0.0,0,595,2111,0,-0.18,0.0,0,0,2016年第3季,-23572,-23572,-23572,-23572,-22081,-1491,580962,575631,-5331,-5331,16750,0.0,,16750,-23572,-23572,4197,580962.0,,,575631.0,,0,0
