date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,324293,3694,409,409.0,,105,-28.0,311447,166,-0.04,,,,1230,-12984.0,-250,,2013年01月01日至2013年03月31日,,,-12931,298516,-12931,298516,-10200,-1501,171116,223160,52044,52044,62244,,,27683.0,27683,52520.0,52520,,,-12931,-11701,,,5354,,143433.0,143433,,170535.0,170535,,,
2013-08-08,2,2013,,,102990,42897,90388,90388.0,511.0,511,,120794,-144,0.42,,,,1150,17924.0,-568,,2013年04月01日至2013年06月30日,,,126384,247178,126384,247178,65,127469,179660,246494,66834,66834,66769,,,27890.0,27890,52154.0,52154,,,126384,127534,-24.0,,5248,,151770.0,151770,193829.0,193829.0,193829,,,
2013-11-12,3,2013,,,30894,-9913,82441,82441.0,214.0,214,,16722,216,0.21,,,,1279,-14352.0,3997,,2013年07月01日至2013年09月30日,,,61571,78293,61571,78293,-8267,71117,189588,247481,57893,57893,66160,,,31448.0,31448,54760.0,54760,,,61571,62850,36.0,,5408,,158140.0,158140,192507.0,192507.0,192507,,,
2014-03-17,4,2013,,,628908,39091,192000,192000.0,1068.0,1068,,632265,365,0.55,,,,3599,1691.0,2775,,2013年01月01日至2013年12月31日,,,164396,796661,164396,796661,-33139,201134,758715,1005646,246931,246931,280070,,1363.0,116672.0,116672,216984.0,216984,,,164396,167995,62.0,,32732,,642043.0,642043,787594.0,787594.0,787594,,,
2014-05-06,1,2014,,,5335,3157,544,544.0,126.0,126,,-10,110,-0.04,-0.04,,,62,-5437.0,-285,,2014年01月01日至2014年03月31日,,,-11751,-11761,-11751,-11761,-8911,-2778,204874,273369,68495,68495,77406,,,29917.0,29917,57603.0,57603,-0.04,-0.04,-11751,-11689,18.0,,6194,,174957.0,174957,215640.0,215640.0,215640,,,
2014-07-30,2,2014,,0.0,145636,292,86183,86183.0,,492,,143219,-159,0.25,0.25,0.0,,1145,-2284.0,-330,,2014年第2季,0.0,,74267,217486,74267,217486,-4473,79885,199798,275112,75314,75314,79787,,,30613.0,30613,58003.0,58003,0.25,0.25,74267,75412,-26.0,,6260,0.0,169185.0,169185,216617.0,216617.0,216617,0.0,,
2014-11-11,3,2014,,0.0,-43319,1372,101442,101442.0,,36,,-44646,138,0.27,0.27,0.0,,675,-1442.0,3710,,2014年第3季,0.0,,80442,35796,80442,35796,-18874,99991,214081,270131,56050,56050,74924,,,29677.0,29677,55543.0,55543,0.27,0.27,80442,81117,23.0,,6533,,184404.0,184404,214552.0,214552.0,214552,,,
2015-03-23,4,2014,,0.0,55313,-42904,197983,197983.0,,38051,,57760,445,0.35,0.35,0.0,,3704,3503.0,2715,,2014年度,0.0,,104282,162042,104282,162042,-23037,131023,887518,1176182,288664,288664,311701,,-1425.0,121047.0,121047,211629.0,211629,0.35,0.35,104282,107986,76.0,,26771,,766471.0,766471,926502.0,926502.0,926502,,,
2015-05-12,1,2015,,0.0,22282,-9397,14261,14261.0,,39,,9679,-116,-0.09,-0.09,0.0,9679.0,-910,,-295,-12507.0,2015年01月01日至2015年03月31日,0.0,-910.0,-25483,-15804,-25462,-15783,-22818,-3575,216200,265830,49630,49630,72448,,,29312.0,29312,51615.0,51615,-0.09,-0.09,-25483,-26393,,-20.0,8144,,186888.0,186888,,214176.0,214176,,-21.0,-21.0
2015-08-10,2,2015,,,-154914,-5073,15814,15814.0,,511,,-161693,-73,-0.05,-0.05,,-161693.0,-51,,-592,-6718.0,2015年第2季,,,-21763,-183456,-17684,-179377,-23648,1834,191337,243844,52507,52507,76155,,,,33289,,56649,-0.05,-0.05,-21763,-21814,,-12.0,8315,,,158048,,186684.0,186684,,-4079.0,-4079.0
2015-11-12,3,2015,,,-223958,19757,191834,191834.0,,0,,-217647,175,0.6,0.6,,-217647.0,2723,,2469,6166.0,2015年第3季,,,178379,-39268,178508,-39139,-25131,206233,211438,265975,54537,54537,79668,,,,31088,,61481,0.6,0.6,178379,181102,,30.0,7827,,,180350,,204494.0,204494,,-129.0,-129.0
2016-03-25,4,2015,-1172.0,,-121077,17724,222150,,,788,,-144898,-268,0.39,0.39,,-143726.0,1682,,1271,-22427.0,2015年度,,,111415,-33483,115724,-29174,-95904,209001,904109,1113137,209028,209028,304932,-1172.0,,,129214,,231570,0.39,0.39,111415,113097,,-46.0,32144,,,774895,,,880779,,-4309.0,-4309.0
2016-05-12,1,2016,,,-49226,-10445,166,,,39,,-57632,-32,-0.04,-0.04,,-57632.0,-682,,-297,-8379.0,2016年01月01日至2016年03月31日,,,-16025,-73657,-12292,-69924,1559,-18266,226521,304243,77722,77722,76163,,,,30721,,65222,-0.04,-0.04,-16025,-16707,,-5.0,7690,,,195800,,,238982,,-3733.0,-3733.0
2016-08-04,2,2016,,,-1211,-4780,13045,13045.0,,532,,51879,-178,-0.04,-0.04,,51879.0,-3326,,-460,53237.0,2016年第2季,,,-11152,40727,-10484,41395,-14685,207,242819,309732,66913,66913,81598,,,,44593,,67408,-0.04,-0.04,-11152,-14478,,-31.0,7598,,,198226,,241792.0,241792,,-668.0,-668.0
2016-11-10,3,2016,,,63841,-19410,211281,211281.0,,4,,32451,-202,0.55,0.55,,32451.0,-1910,,4955,-31222.0,2016年第3季,,,162365,194816,164224,196675,-28857,189312,271489,327964,56475,56475,85332,,,,37191,,68036,0.55,0.55,162365,160455,,-34.0,7514,,,234298,,259924.0,259924,,-1859.0,-1859.0
