date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,,8220,-1549,10664,,,43931,8321,42461,-0.03,,2646,17944,2013年01月01日至2013年03月31日,-11143,32788,-11002,32929,-6012,-2485,865085,897470,32385,32385,38397,,,2343,,20453,-11143,-8497,,,6750.0,,,11600,865085.0,897470.0,-141,-141
2013-08-07,2,2013,,,15883,9640,8377,,,40308,4544,29211,-0.03,,1397,16507,2013年04月01日至2013年06月30日,-8739,31569,-8890,31418,-14895,7553,893047,914156,21109,21109,36004,,,2343,,19497,-8739,-7342,1490.0,,4786.0,,,10464,893047.0,914156.0,151,151
2013-11-06,3,2013,,,-4693,29448,52539,,,-20323,3807,-18503,0.16,,1126,15409,2013年07月01日至2013年09月30日,51179,30856,50810,30487,-18390,70695,1090953,1104166,13213,13213,31603,,,2353,,16194,51179,52305,46379.0,,-2873.0,,,11292,1090953.0,1104166.0,369,369
2014-03-27,4,2013,,,15231,188289,118529,41512.0,,83961,19758,83201,0.56,,20767,69699,2013年01月01日至2013年12月31日,176473,260434,176168,260129,-67158,264398,3997384,4088511,91127,91127,158285,,-393.0,9391,0.56,88586,176473,197240,47868.0,,14078.0,,188289.0,42420,3997384.0,4088511.0,305,305
2014-05-12,1,2014,,,-27722,355,8594,,,-35094,6251,-9226,0.04,,5272,18326,2014年01月01日至2014年03月31日,12592,-22502,12498,-22596,19330,-1466,955210,1011480,56270,56270,36940,,,2343,0.04,18614,12592,17864,,,-1854.0,,,10415,955210.0,,94,94
2014-08-11,2,2014,,,150631,17064,13392,,,128706,7698,-26072,0.08,,1862,18702,2014年第2季,24797,153503,24714,153420,7244,19415,944490,995705,51215,51215,43971,,,2533,0.08,25269,24797,26659,3161.0,,-4147.0,,,11041,,,83,83
2014-11-10,3,2014,,,-268012,107200,35101,,-6668.0,-235458,8174,39222,0.33,,15139,16789,2014年第3季,106307,-129151,105462,-129996,-8471,129917,928654,957906,29252,29252,37723,,,3192,,20934,106307,121446,23735.0,,,,,12384,,,845,845
2015-03-24,4,2014,,780.0,33052,183639,66897,0.0,,74162,29069,50917,0.56,,30900,73013,2014年度,177077,251239,175928,250090,4106,203871,3890918,4068018,177100,177100,172994,,-1387.0,10932,0.56,99981,177077,207977,26896.0,,8420.0,,184419.0,46665,3890918.0,4068018.0,1149,1149
2015-05-04,1,2015,,,-149185,39490,6425,,,-161056,3404,-14302,0.28,-161056.0,13023,18594,2015年01月01日至2015年03月31日,88569,-72487,88509,-72547,66561,35031,892371,1003256,110885,110885,44324,,,3021,0.28,25730,88569,101592,,,,-2431.0,,10884,892371.0,1003256.0,60,60
2015-08-05,2,2015,,,-317288,84177,12234,,,-330251,2916,-15618,0.37,-330251.0,21744,18104,2015年第2季,116931,-213320,116876,-213375,52539,86136,888768,975952,87184,87184,34645,,,3018,0.37,16541,116931,138675,6300.0,,,-2655.0,,10275,888768.0,975952.0,55,55
2015-11-02,3,2015,,,-286466,-13065,50742,,,-237181,3266,59379,0.13,-237181.0,6202,20728,2015年第3季,42597,-194584,39298,-197883,22561,26238,896273,961239,64966,64966,42405,,,3025,0.12,21677,42597,48799,44451.0,,,10094.0,,11439,896273.0,961239.0,3299,3299
2016-03-28,4,2015,-2238.0,49341.0,-656577,77083,73944,,,-659088,11103,-329,0.72,-656850.0,46374,78299,2015年度,231081,-428007,227310,-431778,170137,107318,3577195,3924793,347598,347598,177461,-2697.0,,12090,0.72,99162,231081,277455,50751.0,-459.0,,-56.0,126424.0,43709,3577195.0,3924793.0,3771,3771
2016-05-06,1,2016,,25253.0,53471,-25253,7877,,,32648,1155,-25088,-0.07,32648.0,1992,17993,2016年01月01日至2016年03月31日,-20820,11828,-20904,11744,11482,-30310,717449,769048,51599,51599,40117,,,2984,-0.07,22124,-20820,-18828,3738.0,,,-4265.0,,12934,717449.0,769048.0,84,84
2016-08-01,2,2016,,,-101829,1241,18661,,,-129630,1395,-33495,-0.04,-129630.0,1590,16529,2016年第2季,-13680,-143310,-13769,-143399,-18361,6271,637994,658735,20741,20741,39102,,,3054,-0.04,22573,-13680,-12090,14212.0,,,-5694.0,,13631,637994.0,658735.0,89,89
2016-10-28,3,2016,,,66933,-17856,49415,,,29319,1375,-45318,-0.08,29319.0,-4175,16633,2016年第3季,-24440,4879,-24846,4473,-45969,17354,720844,713032,-7812,-7812,38157,,,2995,-0.08,21524,-24440,-28615,45045.0,,,-7704.0,,14205,720844.0,713032.0,406,406
