date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,808854,33758,97392,1255077,481102,0.45,0.45,14439,,359817,,,6045,,938501,2013年01月01日至2013年03月31日,14439,866177,2121254,818637,1923512,1151250,74744,10099147,13265366,3166219,3166219,2014969,348065,,,0.45,0.45,728403,866177,1225994,,34879.0,,62451,47540,197742
2013-08-14,2,2013,,-673821,127841,187690,-855181,-186918,0.56,0.56,0,,410242,,,57720,,1083690,2013年04月01日至2013年06月30日,-2896,1160995,305814,1040258,269810,1261310,309927,11548138,15023036,3474898,3477794,2216484,398255,,,0.56,0.56,734539,1160995,1571237,,-5558.0,,63324,120737,36004
2013-11-14,3,2013,,95894,-101147,303172,-137277,-257161,0.56,0.56,0,,212501,,,54755,,1137475,2013年07月01日至2013年09月30日,2244,1138617,1001340,1038580,910860,1159724,191394,11115111,14562674,3447563,3445319,2285595,391703,,,0.55,0.55,756417,1138617,1351118,,-23990.0,,65386,100037,90480
2014-03-24,4,2013,,692905,3532,858150,774035,71229,2.01,2.01,14439,,1226228,,8998.0,167914,,4317858,2013年01月01日至2013年12月31日,10329,4177256,4951291,3759872,4464419,4625594,777890,43137921,56618537,13480616,13484726,8859132,1547145,,4375.0,2.0,2.0,2994129,4177256,5403484,,3472.0,,251706,417384,486872
2014-05-14,1,2014,,1044089,5069,111886,1301849,286988,0.44,0.44,10330,,372495,,-438.0,88327,,1011889,2014年01月01日至2014年03月31日,9799,951144,2252993,861255,2075166,1180398,143241,10250761,13538420,3287659,3288190,2107792,367351,,,0.44,0.44,728552,951144,1323639,,28790.0,,62041,89889,177827
2014-08-14,2,2014,,1259502,417036,239237,1007897,-279731,0.74,0.74,0,,435920,,3505.0,55359,,1124301,2014年第2季,-863,1567881,2575778,1470149,2465088,1351181,652620,10645965,14236090,3590125,3590988,2239807,397124,,,0.74,0.74,718382,1567881,2003801,,-24621.0,,59012,97732,110690
2014-11-14,3,2014,,-283651,-128749,415262,-103321,202425,0.53,0.53,0,,293360,,-7643.0,106184,,1107054,2014年第3季,523,1126169,1022848,1034208,889993,1085375,334154,10053284,13449780,3396496,3395973,2310598,415822,,0.0,0.52,0.52,787722,1126169,1419529,,14452.0,,58543,91961,132855
2015-03-20,4,2014,,3984367,141062,1185176,4593197,753275,2.06,2.06,10329,,1297704,,-6350.0,215438,,4325062,2014年度,10265,4406231,8999428,4066924,8456178,4396971,1306964,40442637,53820604,13377967,13378031,8981060,1603590,,-75540.0,2.05,2.05,3052408,4406231,5703935,,62555.0,,234712,339307,543250
2015-05-13,1,2015,,-895486,-59340,182502,-1424267,-597690,0.37,0.37,10265,-1424267.0,287384,,,46811,-952.0,954399,2015年01月01日至2015年03月31日,4223,821563,-602704,737106,-621401,986683,122264,8665295,11716314,3051019,3057061,2070378,365936,,,0.37,0.37,750043,821563,1108947,,,-69861.0,47709,84457,18697
2015-08-12,2,2015,,9150,-25533,401031,-217989,-232073,0.46,0.46,0,-217989.0,287378,,,48531,-11902.0,1104996,2015年第2季,1765,993048,775059,912961,715515,902872,377554,9090698,12159518,3068820,3067055,2164183,345767,,,0.46,0.46,713420,993048,1280426,,,-16836.0,46475,80087,59544
