date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,技術服務收入淨額,技術服務費用,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,12654,11771,9902,17830,37756,45862,14891,1.52,1.52,2324474,2582064,,41975,45862,37756,,-1932.0,-1932.0,26205,,,11144,2013年01月01日至2013年03月31日,177078,194908,177078,194908,2324474,2582064,175538,43515,2428752,2725937,297185,297185,121647,-6708.0,,5041,,,1.47,1.47,105462,177078,219053,,1075.0,,4363,66522,,98011,0.0,0.0
2013-08-07,2,2013,,,-7693,-3571,13167,-17826,38764,48332,1457,1.2,1.2,2094976,2292907,,29787,48332,38764,,-3240.0,-3240.0,46232,,,13259,2013年04月01日至2013年06月30日,143769,125943,143769,125943,2094976,2292907,119032,54524,2186221,2408947,222726,222726,103694,-10058.0,,4478,,,1.19,1.19,85957,143769,173556,,-1708.0,,1304,52481,,67708,0.0,0.0
2013-10-30,3,2013,,,24446,2417,23784,17242,33875,49089,-10425,1.18,1.18,2325819,2492695,,30330,49089,33875,,3284.0,3284.0,45734,,,7,2013年07月01日至2013年09月30日,142052,159294,142052,159294,2325819,2492695,101115,71267,2411588,2610784,199196,199196,98081,154.0,,3985,,,1.18,1.18,94089,142052,172382,,217.0,,668,51894,69000.0,69000,0.0,0.0
2014-03-20,4,2013,,,27103,13740,77455,17100,147206,193393,23314,5.06,,8950510,9815851,,133786,193393,147206,,171.0,171.0,128385,,,34260,2013年01月01日至2013年12月31日,614803,631903,614803,631903,8950510,9815851,535361,213228,9281814,10260709,978895,978895,443534,-21447.0,,18736,,-15397.0,4.87,,390538,614803,748589,,-3356.0,,6352,184098,,251465,0.0,0.0
2014-05-07,1,2014,,,17826,16093,17630,33170,42048,48847,8024,1.13,1.13,2202755,2396028,,31433,48847,42048,,-2699.0,-2699.0,42821,,,8737,2014年01月01日至2014年03月31日,139477,172647,139477,172647,2202755,2396028,94376,76534,2276929,2480376,203447,203447,109071,14311.0,,4739,,,1.12,1.12,95595,139477,170910,,4292.0,,10,32126,,35501,0.0,0.0
2014-08-06,2,2014,,,7480,-12413,20145,-21759,49506,66420,-23999,1.04,1.04,2311847,2477486,,43373,66420,49506,,-891.0,-891.0,46779,,,8304,2014年第2季,128993,107234,128993,107234,2311847,2477486,117904,54462,2397128,2621194,224066,224066,106162,-5224.0,,7228,,,1.03,1.03,90630,128993,172366,,-875.0,,49,35775,,77288,0.0,0.0
2014-11-11,3,2014,,,-2956,23410,32130,31394,42545,57728,24841,1.58,1.58,1888315,2122546,,41445,57728,42545,,2875.0,2875.0,43499,,,11867,2014年第3季,195653,227047,195653,227047,1888315,2122546,138087,99011,1946963,2199398,252435,252435,114348,6844.0,,6904,,,1.57,1.57,95577,195653,237098,,210.0,,28,16103,,19124,0.0,0.0
2015-03-24,4,2014,,,35362,57891,103492,116804,185216,223994,55220,5.5,5.5,9037654,9976449,,176884,223994,185216,,-16.0,-16.0,161274,,,44974,2014年度,680646,797450,680646,797450,9037654,9976449,534995,322535,9322991,10351517,1028526,1028526,493531,31769.0,,27705,,3490.0,5.47,5.47,420852,680646,857530,,9021.0,,122,100121,,151074,0.0,0.0
2015-05-05,1,2015,,,19528,-18711,20096,-11008,48072,57651,-15648,1.08,1.08,2188366,2417206,-11008.0,23634,57651,48072,,,,33047,-573.0,,16776,2015年01月01日至2015年03月31日,134138,123130,134138,123130,2188366,2417206,123653,34119,2307650,2562804,255154,255154,131501,,-11965.0,8194,,,1.08,1.08,106531,134138,157772,,,2350.0,313,71212,,87947,0.0,0.0
2015-08-11,2,2015,,,-19999,-13126,17514,-53499,48876,60601,-28253,0.99,0.99,2168002,2385886,-53499.0,27593,60601,48876,,,,27790,-2993.0,,15515,2015年第2季,121725,68226,121725,68226,2168002,2385886,118116,31202,2236765,2469962,233197,233197,115081,,-1421.0,7203,,,0.98,0.98,92363,121725,149318,,,833.0,976,19887,,23475,,
