date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（綜合損益）
2013-05-06,1,2013,,25.0,9990,1790,1750.0,1084,40.0,1306,-0.08,10015.0,0.0,,3376,36458,2013年01月01日至2013年03月31日,-6366,-5282,-6366,-5282,-13275,10285,319226,375028,55802,55802,69077,11192,,,,21427,-6366,-2990,222.0,,1495,
2013-08-12,2,2013,,,4047,624,,281,,339,0.27,,,,4985,31905,2013年04月01日至2013年06月30日,21515,21796,21515,21796,23520,2980,416120,504496,88376,88376,64856,11377,,,,21574,21515,26500,58.0,,1691,
2013-11-11,3,2013,,,-9866,93,,-240,,-290,-0.19,,,,-6600,29409,2013年07月01日至2013年09月30日,-15102,-15342,-15102,-15342,-10083,-11619,453716,510491,56775,56775,66858,13396,,,,24053,-15102,-21702,-50.0,,1846,
2014-03-24,4,2013,,,8234,2906,,1238,,1150,-0.29,,,,-13507,126578,2013年01月01日至2013年12月31日,-22759,-21521,-22759,-21521,-40469,4203,1610219,1838154,227935,227935,268404,48957,,341.0,,92869,-22759,-36266,253.0,,6937,
2014-05-12,1,2014,,,13638,527,527.0,1032,,1243,0.5,,,,7962,27546,2014年01月01日至2014年03月31日,39332,40364,39332,40364,34990,12304,548217,650439,102222,102222,67232,12387,,,,27299,39332,47294,211.0,,1861,0.0
2014-08-12,2,2014,,,-17028,83,,-2042,,-2460,0.12,,,,254,29664,2014年第2季,9534,7492,9534,7492,28961,-19173,569063,661052,91989,91989,63028,10795,,,,22569,9534,9788,-418.0,,2228,
2014-11-11,3,2014,,,19759,4906,,1648,,1987,0.63,,,,10397,30236,2014年第3季,48613,50261,48613,50261,36620,22390,620485,724160,103675,103675,67055,10865,,,,25954,48613,59010,339.0,,2275,
2015-03-23,4,2014,,,55895,8566,,1741,,5127,2.06,,,,33126,119919,2014年度,162324,164065,162324,164065,139588,55862,2277654,2688034,410380,410380,270792,45496,,-3028.0,,105377,162324,195450,358.0,,8599,
2015-05-11,1,2015,,,-10655,299,299.0,-913,,-1100,0.43,,,-913.0,7399,36157,2015年01月01日至2015年03月31日,33774,32861,33774,32861,53418,-12245,542519,667895,125376,125376,71958,10295,,,,25506,33774,41173,,-187.0,1889,0.0
2015-08-11,2,2015,,,-13814,9659,,-1377,,-1659,0.51,,,-1377.0,9255,35347,2015年第2季,40025,38648,40025,38648,55208,-5928,515019,642516,127497,127497,72289,10999,,,,25943,40025,49280,,-282.0,1773,
2015-11-06,3,2015,,,72020,3059,,6818,,8215,1.91,,,6818.0,31713,51522,2015年第3季,150165,156983,150165,156983,108328,73550,768543,973860,205317,205317,96989,11935,,,,33532,150165,181878,,1397.0,1529,
2016-03-21,4,2015,-2334.0,,47120,17759,,3299,,6308,3.59,,,5633.0,72145,158338,2015年度,283152,286451,283152,286451,297641,57656,2273427,2887841,614414,614414,316773,47160,-2334.0,,3.59,111275,283152,355297,,675.0,7223,
2016-05-09,1,2016,,,-22843,2553,2553.0,-3106,,-3742,1.13,,,-3106.0,19825,44097,2016年01月01日至2016年03月31日,89346,86240,89346,86240,130669,-21498,647799,862880,215081,215081,84412,12146,,,,28169,89346,109171,,-636.0,1208,
2016-08-08,2,2016,,,4127,1320,,16,,19,1.11,,,16.0,20030,40572,2016年第2季,87304,87320,87304,87320,103301,4033,628574,810174,181600,181600,78299,10732,,,,26995,87304,107334,,3.0,1414,
2016-11-07,3,2016,,,-32623,822,,-4216,,-5079,0.69,,,-4216.0,13293,44460,2016年第3季,54412,50196,54412,50196,100804,-33099,794959,974989,180030,180030,79226,10434,,,,24332,54412,67705,,-863.0,1298,
