date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息費用,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,26837,6031,26583,31353.0,48677.0,103200,11204.0,223480.0,210357.0,50295,0.23,,0,,26068.0,69835,,412485.0,2013年01月01日至2013年03月31日,124514,227714,123145,226345,33269,91245,2274663,2859195,584532,584532,551263,40992.0,,,0.23,97786.0,124514,124514,,,11204,2019830.0,,2600161.0,1369,1369
2013-08-12,2,2013,,19865,-8708,30601,39559.0,59831.0,68493,6345.0,151692.0,128766.0,14350,0.33,,-698,,34278.0,80035,,509155.0,2013年04月01日至2013年06月30日,180748,249241,177909,246402,84467,95583,2512501,3238358,725857,725857,641390,29987.0,,,0.33,102248.0,180748,180050,,,6345,2321250.0,,3049761.0,2839,2839
2013-11-12,3,2013,,20057,205406,45508,30997.0,53461.0,-5570,3854.0,185116.0,181232.0,-14913,0.39,,0,,-10714.0,53083,,400059.0,2013年07月01日至2013年09月30日,265869,260299,209927,204357,-34274,300143,2055239,2546186,490947,490947,525221,42102.0,,,0.39,83060.0,265869,265869,,,3854,1839126.0,2311493.0,2311493.0,55942,55942
2014-03-26,4,2013,,104244,159682,132502,128360.0,212389.0,231132,28372.0,908460.0,667918.0,80453,0.8,,103520,,74460.0,272780,,1628657.0,2013年01月01日至2013年12月31日,481849,712981,427996,659205,48777,536592,9044294,11122336,2078042,2078042,2029265,146078.0,,-28155.0,0.8,254530.0,481849,585369,,-130.0,28372,8007474.0,,10242029.0,53853,53776
2014-05-14,1,2014,,17170,2485,16701,22853.0,39769.0,52589,3919.0,207067.0,141103.0,10198,0.31,,1868,,25221.0,122211,,380105.0,2014年01月01日至2014年03月31日,162494,215083,161876,214465,26884,137478,2012170,2543884,531714,531714,504830,34917.0,,,0.31,89808.0,162494,164362,,,3919,1782250.0,,2363012.0,618,618
2014-08-11,2,2014,,2190,-5656,18846,31275.0,49395.0,-56901,3629.0,127190.0,167954.0,-24384,0.37,,1285,,-34707.0,116552,,535672.0,2014年第2季,195873,138972,193487,136586,71045,126113,2217039,2942946,725907,725907,654862,38394.0,,,0.37,80796.0,195873,197158,,,3629,2058574.0,,2725597.0,2386,2386
2014-11-14,3,2014,,1908,-6055,32855,30595.0,52716.0,65308,3107.0,145378.0,179213.0,29150,0.47,,1,,34250.0,112357,,354863.0,2014年第3季,240701,306009,237315,302623,104652,136050,2008541,2601467,592926,592926,488274,36474.0,,,0.46,96937.0,240701,240702,,,3107,1832568.0,2369538.0,2369538.0,3386,3386
2015-03-23,4,2014,,26536,-169,82350,109715.0,189544.0,149710,13709.0,626021.0,626406.0,60033,1.25,,26085,,111003.0,424239,,1564170.0,2014年度,643451,793161,640447,789777,176825,492711,8097921,10331141,2233220,2233220,2056395,147600.0,,-47591.0,1.24,344625.0,643451,669536,,271.0,13709,7362185.0,,9515191.0,3004,3384
2015-05-11,1,2015,,2780,-19239,7478,26548.0,50633.0,-41714,2346.0,153578.0,148151.0,-13818,0.29,-41714.0,4578,,,103784,-30676.0,382930.0,2015年01月01日至2015年03月31日,154406,112692,148619,106905,69307,89677,1818994,2388287,569293,569293,499986,35682.0,,,0.29,81374.0,154406,158984,,,2346,1638868.0,,2189503.0,5787,5787
2015-07-31,2,2015,,-1900,-27296,39567,36376.0,56780.0,-43804,5079.0,172759.0,182104.0,-19234,0.38,-43804.0,4547,,,109551,-22670.0,609123.0,2015年第2季,199115,155311,193990,150186,86919,116743,2260381,3080761,820380,820380,733461,36371.0,,,0.38,87967.0,199115,203662,,,5079,2051246.0,,2841877.0,5125,5125
2015-11-12,3,2015,,-10635,-333,18366,,,92053,3139.0,,,69570,0.26,92053.0,2337,,,82392,33118.0,310114.0,2015年第3季,133954,226007,130452,222505,39005,97286,1731565,2190126,458561,458561,419556,35129.0,,,0.26,74313.0,133954,136291,,,3139,,,,3502,3502
2016-03-24,4,2015,-59356.0,-8981,-37863,77776,120069.0,202253.0,-167926,,622361.0,648860.0,-23225,1.0,-108570.0,54345,-4613.0,,345978,-76364.0,,2015年度,522009,354083,505342,338123,205149,371205,7467766,9765655,2297889,2297889,2092740,,-49014.0,,1.0,,522009,576354,5729.0,,14686,6725336.0,,8914542.0,16667,15960
2016-05-11,1,2016,,2425,50725,18202,37563.0,60210.0,-39926,4019.0,167960.0,173552.0,-15308,0.51,-39926.0,12911,,,105331,-27043.0,,2016年01月01日至2016年03月31日,263383,223457,252489,212563,106055,170239,1969442,2647114,677672,677672,571617,,,,0.51,,263383,276294,,,4019,1763919.0,,2413352.0,10894,10894
2016-08-03,2,2016,,-41609,36799,50342,40951.0,68311.0,-107224,3365.0,171110.0,217168.0,4161,0.74,-107224.0,11163,,,159978,-69776.0,,2016年第2季,359151,251927,352701,245477,126560,243754,2312691,3279488,966797,966797,840237,,,,0.74,,359151,370314,,,3365,2100630.0,,2994009.0,6450,6450
2016-11-11,3,2016,,20427,-121538,24972,28967.0,53896.0,-79496,2862.0,166135.0,200881.0,-28712,0.27,-79496.0,28115,,,146733,-71211.0,,2016年第3季,132815,53319,127684,48188,113625,47305,1599058,2150053,550995,550995,437370,,,,0.27,,132815,160930,,,2862,1403956.0,,1895276.0,5131,5131
