date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,38290,1722,2371,-2811,-3386.0,0.52,,9931,,-657,,28431,2013年01月01日至2013年03月31日,66536,63725,66461,63650,37697,38770,349225,431820,82595,82595,47269,5383,,,0.52,13455,66536,76467,,-575.0,,585,75.0,75.0
2013-08-12,2,2013,,1007,4285,2372,642,773.0,0.38,,13296,,-863,,36925,2013年04月01日至2013年06月30日,48869,49511,48869,49511,58361,3804,407054,522260,115206,115206,59217,6195,,,0.38,16097,48869,62165,,131.0,,625,0.0,0.0
2013-11-12,3,2013,,-266375,2332,2371,-1553,-1871.0,-1.63,,-35920,,1586,,19843,2013年07月01日至2013年09月30日,-208055,-209608,-208055,-209608,19366,-263341,320207,369558,49351,49351,32356,5335,,,-1.63,7178,-208055,-243975,,-318.0,,884,0.0,0.0
2014-03-27,4,2013,,3391,11703,9491,5709,,0.29,,16274,-3428.0,-17300,,90087,2013年01月01日至2013年12月31日,36659,42368,36584,42293,58388,-5455,1240882,1450914,210032,210032,161135,21627,,10307.0,0.28,49421,36659,52933,,1170.0,,3249,75.0,75.0
2014-05-09,1,2014,,27265,1100,2381,1263,,0.03,,616,1522.0,-353,,10782,2014年01月01日至2014年03月31日,4126,5389,4126,5389,-22457,27199,187620,188427,807,807,25645,5782,,,0.03,9081,4126,4742,,259.0,,813,0.0,0.0
2014-08-08,2,2014,,-6224,4925,2279,-2115,-2549.0,-0.22,,-9676,,-41956,,22806,2014年第2季,-28080,-30195,-28080,-30195,6319,-44075,302632,346282,43650,43650,39610,5774,,,-0.22,11030,-28080,-37756,,-434.0,,820,0.0,0.0
2014-11-11,3,2014,,2429,2937,2293,1974,2379.0,0.26,,13332,,2562,,23658,2014年第3季,33449,35423,33449,35423,39799,6982,336707,412822,76115,76115,38609,5336,,,0.26,9615,33449,46781,,405.0,,946,0.0,0.0
2015-03-30,4,2014,,35922,5483,9246,750,,0.32,,9431,1352.0,-37452,,75627,2014年度,40857,41607,40857,41607,49886,402,1170819,1350162,179343,179343,138703,22585,,-448.0,0.32,40491,40857,50288,,154.0,,3551,0.0,0.0
2015-05-14,1,2015,,-3916,287,2291,-2754,,0.08,-2754.0,1409,,208,-3318.0,29411,2015年01月01日至2015年03月31日,10337,7583,10337,7583,16169,-4423,341642,401327,59685,59685,45807,6374,,,0.08,10022,10337,11746,,,-564.0,1002,,
2015-08-11,2,2015,,-7151,567,2302,-657,,0.2,-657.0,1672,,2028,-791.0,23945,2015年第2季,25276,24619,25276,24619,32452,-5504,352894,427129,74235,74235,44085,5830,,,0.2,14310,25276,26948,,,-134.0,948,,
2015-10-30,3,2015,,22695,850,2005,3094,,0.44,3094.0,7649,,1904,3727.0,33224,2015年第3季,56095,59189,56095,59189,38957,24787,371506,462141,90635,90635,53683,6576,,,0.44,13883,56095,63744,,,633.0,662,,
2016-03-25,4,2015,-8999.0,22879,1948,8649,-424,,1.67,8575.0,31656,,85585,10331.0,114171,2015年度,213742,213318,213742,213318,138267,107131,1431968,1764654,332686,332686,203068,26580,-10842.0,,1.66,62317,213742,245398,-1843.0,,1756.0,3281,,
2016-05-06,1,2016,,-8331,1031,2005,-3322,,0.35,-3322.0,7142,,3136,-4002.0,30432,2016年01月01日至2016年03月31日,45201,41879,45201,41879,57150,-4807,370120,474156,104036,104036,48891,4554,,,0.35,13905,45201,52343,,,-680.0,643,,
2016-08-11,2,2016,,2043,5324,1936,1171,,0.35,1171.0,15392,,4033,1410.0,36770,2016年第2季,44465,45636,44465,45636,48853,11004,446458,551352,104894,104894,57977,3418,,,0.35,17789,44465,59857,,,239.0,396,,
2016-11-08,3,2016,,-12681,839,2064,-24479,,0.43,-24479.0,7132,,22203,-29492.0,33413,2016年第3季,54485,30006,54485,30006,51597,10020,447097,547951,100854,100854,51321,2788,,,0.43,15120,54485,61617,,,-5013.0,341,,
