date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,-40001,436,29670,,236849,236849,-0.02,,,505,-4026,186997,2013年01月01日至2013年03月31日,,-17376,219473,-17376,219473,58317,-75188,2559533,2885140,325607,325607,296960,24906,,,0.0,85057,-17376,-16871,,,,31597,,
2013-08-08,2,2013,,-12175,676,95,,162879,162879,0.08,,,36884,-12425,210528,2013年04月01日至2013年06月30日,,64201,227080,64201,227080,156393,-55308,3282320,3766470,484150,484150,327852,25296,,,0.08,92028,64201,101085,,,,31384,,
2013-11-08,3,2013,,43661,9164,20,,-81471,-81471,0.29,,,51384,17899,225288,2013年07月01日至2013年09月30日,,242421,160950,242421,160950,253846,39959,2848396,3444848,596452,596452,342626,29548,,,0.28,87790,242421,293805,,,,30765,,
2014-03-18,4,2013,,22476,20420,29745,-303.0,455156,453677,0.55,,,150286,27642,833359,2013年01月01日至2013年12月31日,,459302,914458,459302,914458,662819,-53231,11184607,13141668,1957061,1957061,1323987,113742,,1782.0,0.55,376886,459302,609588,,,,123769,,
2014-04-29,1,2014,,8727,10119,0,,119623,119623,0.17,,,36035,172,212676,2014年01月01日至2014年03月31日,,142503,262126,142503,262126,190971,-12433,2644100,3166644,522544,522544,331573,22649,,,0.17,96248,142503,178538,,,,31451,,
2014-08-06,2,2014,,33283,9039,-39339,0.0,-190269,-190269,0.24,,,114599,-44945,268666,2014年第2季,,197747,7478,197747,7478,348469,-36123,3022004,3794877,772873,772873,385065,21470,,,0.23,94929,197747,312346,,,,33500,0.0,0.0
2014-11-07,3,2014,,-61753,11313,0,0.0,133477,133477,-0.02,,,46427,-7237,226211,2014年第3季,,-19449,114028,-19449,114028,116986,-90008,2313442,2784282,470840,470840,353854,19053,,,-0.02,108590,-19449,26978,,,,32331,0.0,0.0
2015-03-10,4,2014,,16688,39173,-39339,,389686,391199,0.4,,,215593,-47885,932586,2014年度,,334215,723901,334215,723901,667005,-117197,10243154,12356784,2113630,2113630,1407286,91474,,-1823.0,0.0,383226,334215,549808,,-310.0,,125173,0.0,0.0
2015-05-08,1,2015,,116950,9768,0,,-111669,-111669,0.11,,-111669.0,62864,-67911,205126,2015年01月01日至2015年03月31日,,90229,-21440,90229,-21440,120409,32684,2382674,2817128,434454,434454,314045,20765,,,0.0,88154,90229,153093,,,0.0,26123,,
2015-08-10,2,2015,,26701,109030,0,,-73087,-73087,0.37,,-73087.0,75908,-5204,206507,2015年第2季,,311596,238509,311596,238509,285930,101574,2405841,3010421,604580,604580,318650,20219,,,0.0,91924,311596,387504,,,,28953,,
2015-11-10,3,2015,,38388,44335,0,,156875,156875,0.28,,156875.0,97693,-13026,191396,2015年第3季,,230429,387304,230429,387304,287999,40123,1993835,2591194,597359,597359,309360,21189,,,0.0,96775,230429,328122,,,,29574,0.0,
2016-03-22,4,2015,-9496.0,200201,176433,0,,-215181,-205685,0.97,0.0,-205685.0,302898,-106375,766157,2015年度,634.0,810497,595316,810497,595316,954280,159115,8682037,10869998,2187961,2187327,1233047,82708,-11441.0,,0.0,384182,810497,1113395,-1945.0,,0.0,111144,0.0,0.0
2016-05-12,1,2016,,6891,7706,0,,-83629,-83629,0.21,634.0,-83629.0,77421,76873,158314,2016年01月01日至2016年03月31日,543.0,171513,87884,171513,87884,179319,69615,1815864,2270371,454507,454598,275279,21590,,,0.21,95375,171513,248934,,,0.0,21855,,
2016-08-04,2,2016,,8561,445025,0,,-153513,-153513,0.59,0.0,-153513.0,223790,-101899,205155,2016年第2季,161.0,493662,340149,493662,340149,387428,330024,2293561,3027469,733908,733747,346319,25478,,,0.0,115686,493662,717452,,,,21663,,
2016-11-09,3,2016,,21715,11719,0,,-224701,-224701,0.31,0.0,-224701.0,107821,61677,172980,2016年第3季,-110.0,252735,28034,252735,28034,286860,73696,1926127,2505399,579272,579382,292522,19375,,,0.31,100167,252735,360556,,,0.0,21415,0.0,0.0
