date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,1332,22125,21259,26771,25439,0.17,0.17,,23786,,8687,,38502,2013年01月01日至2013年03月31日,94383,121154,94390,121159,77293,40876,1244939,1534849,289910,289910,212617,62714,,,0.17,0.17,111401,94383,118169,,,11195,-7,-5
2013-08-13,2,2013,,6751,5283,136,21493,14742,0.19,0.19,,15697,,8464,,54993,2013年04月01日至2013年06月30日,106194,127687,106186,127678,119909,1982,1348345,1707388,359043,359043,239134,67663,,,0.19,0.19,116478,106194,121891,,,11901,8,9
2013-11-12,3,2013,,266,-4943,9923,-9520,-9786,0.22,0.22,,30944,,5936,,47956,2013年07月01日至2013年09月30日,121451,111931,121460,111940,155103,-2708,1183565,1590115,406550,406550,251447,79892,,,0.22,0.22,123599,121451,152395,,,13624,-9,-9
2014-03-25,4,2013,,10392,12797,37929,53524,44779,0.77,0.77,,98155,806.0,30697,,188813,2013年01月01日至2013年12月31日,420047,473571,420061,473578,487047,31155,4982481,6391594,1409113,1409113,922066,270013,,-2953.0,0.76,0.76,463240,420047,518202,,-500.0,50268,-14,-7
2014-05-07,1,2014,,13666,7671,21963,10378,-3288,0.24,0.24,,59947,,2795,,39699,2014年01月01日至2014年03月31日,128374,138752,128372,138750,170384,17937,1112900,1506017,393117,393117,222733,60307,,,0.24,0.24,122727,128374,188321,,,14492,2,2
2014-08-08,2,2014,,-11190,-11771,13017,-25793,-14603,0.29,0.29,,15625,,1963,,38215,2014年第2季,160281,134488,160280,134488,187723,-11817,1195398,1622867,427469,427469,239746,73144,,,0.29,0.29,128387,160281,175906,,,15026,1,0
2014-11-12,3,2014,,9410,-26017,17274,31814,22404,0.25,0.25,,41160,,11193,,43758,2014年第3季,137131,168945,137130,168942,190885,-12594,1163865,1600443,436578,436578,245693,79465,,,0.25,0.25,122470,137131,178291,,,15044,1,3
2015-03-23,4,2014,,31893,-107011,61010,67439,25203,1.03,1.03,,106059,420.0,25835,,159566,2014年度,561691,629130,561682,629119,746399,-78649,4645461,6317383,1671922,1671922,925523,283256,,11969.0,1.02,1.02,482701,561691,667750,,2046.0,58483,9,11
2015-05-12,1,2015,,19110,-37749,21850,12608,-6384,0.2,0.2,12608.0,32236,,4039,-118.0,39776,2015年01月01日至2015年03月31日,107986,120594,107990,120599,164930,-24708,996862,1381014,384152,384152,219222,63283,,,0.2,0.2,116163,107986,140222,,,12848,-4,-5
2015-08-11,2,2015,,-1720,39161,18002,-10073,-8182,0.27,0.27,-10073.0,33753,,6084,-171.0,33627,2015年第2季,147028,136955,147025,136953,129581,51200,1041955,1409006,367051,367051,237470,67714,,,0.26,0.26,136129,147028,180781,,,12047,3,2
2015-11-10,3,2015,,9371,24310,9923,34148,24287,0.29,0.29,34148.0,30398,,14259,490.0,39391,2015年第3季,158833,192981,158830,192975,152566,36665,945872,1344996,399124,399124,246558,76293,,,0.29,0.29,130874,158833,189231,,,11827,3,6
2016-03-25,4,2015,13654.0,8088,107504,58149,-15516,-37051,1.05,1.05,-29170.0,135903,,25998,-207.0,168982,2015年度,573373,557857,573375,557861,565554,143722,4111004,5630540,1519536,1519536,953982,282029,16479.0,,1.03,1.03,502971,573373,709276,2825.0,,47929,-2,-4
2016-05-12,1,2016,,20114,-28229,21487,20001,-172,0.21,0.21,20001.0,24884,,3068,59.0,35645,2016年01月01日至2016年03月31日,116095,136096,116092,136093,155351,-14372,956034,1356210,400176,400176,244825,77263,,,0.21,0.21,131917,116095,140979,,,10698,3,3
2016-08-11,2,2016,,-52702,164122,6716,-53347,-441,0.5,0.5,-53347.0,29554,,8971,-204.0,61731,2016年第2季,273284,219937,273274,219927,132293,170545,988833,1400607,411774,411774,279481,80602,,,0.5,0.5,137148,273284,302838,,,9264,10,10
2016-11-11,3,2016,,-39984,121235,16968,-41208,-986,0.53,0.53,-41208.0,31343,,0,-238.0,38519,2016年第3季,290499,249291,290494,249288,192003,129839,1037242,1476013,438771,438771,246768,75849,,,0.52,0.52,132400,290499,321842,,,8364,5,3
