date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,重估價之利益（損失）,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）
2013-05-13,1,2013,,,15100,11853,-26345,,70476,70476,-0.73,-0.73,,,40839,149155,2013年01月01日至2013年03月31日,,-405773,-335297,-405773,-335297,-347464,-17470,3780900,3825759,44859,44859,365978,75475,,,141348,-405773,-364934,,,44423,,,3780900.0,3825759.0,0.0
2013-08-09,2,2013,,,45604,11248,-24750,,44995,44995,-0.27,-0.27,,,20516,156009,2013年04月01日至2013年06月30日,,-151071,-106076,-151071,-106076,-141195,10640,4133725,4437778,304053,304053,420498,80333,,,184156,-151071,-130555,,,46212,,,4133725.0,4437778.0,
2013-11-11,3,2013,,,-5834,9027,-18573,,-18617,-18617,-0.09,-0.09,,,50776,140462,2013年07月01日至2013年09月30日,,-48500,-67117,-48500,-67117,46962,-44686,4460091,4921509,461418,461418,395883,85629,,,169792,-48500,2276,,,47879,,,4460091.0,4921509.0,
2014-03-26,4,2013,,,79786,40887,-157757,205.0,127049,128050,-1.57,-1.57,,,215743,624339,2013年01月01日至2013年12月31日,,-874134,-747085,-874134,-747085,-587198,-71193,16565765,17747280,1181515,1181515,1610956,329929,,-1206.0,656688,-874134,-658391,,,191866,,,,,
2014-05-12,1,2014,,,-57129,8399,-35631,-60521.0,320652,25168,-0.41,-0.41,,,-26328,157316,2014年01月01日至2014年03月31日,,-228651,92001,-228651,92001,-141778,-113201,3741615,4045619,304004,304004,410151,85920,,,166915,-228651,-254979,,,64471,356005.0,,3741615.0,4045619.0,0.0
2014-08-12,2,2014,,,-9556,9849,-29461,,-33829,-33829,0.13,0.13,,,53453,179316,2014年第2季,,74791,40962,74791,40962,192872,-64628,4032772,4688831,656059,656059,433726,88662,,,165748,74791,128244,,0.0,64921,0.0,,4032772.0,4688831.0,
2014-11-12,3,2014,,0.0,11989,7120,-25246,,33252,33252,0.63,0.63,0.0,,88289,208982,2014年第3季,0.0,352232,385484,352232,385484,483238,-42717,4376594,5371728,995134,995134,486650,86934,,,190734,352232,440521,,0.0,61826,0.0,,4376594.0,5371728.0,
2015-03-23,4,2014,,,55818,33901,-94653,-60224.0,393776,108860,1.13,1.13,,,231681,784979,2014年度,,628610,1022386,628610,1022386,1023707,-163416,17100030,20084206,2984176,2984176,1865816,354732,,-10865.0,726105,628610,860291,,,253135,356005.0,,,20084206.0,
2015-05-11,1,2015,0.0,,-19988,8693,-1278,,-28401,-28401,0.45,0.45,,-28401.0,-13050,180703,2015年01月01日至2015年03月31日,,249061,220660,249061,220660,308219,-72208,4344516,5153853,809337,809337,499840,99384,,,219753,249061,236011,0.0,,60913,,0.0,4344516.0,5153853.0,0.0
2015-08-10,2,2015,0.0,,9816,9345,13327,,-17964,-17964,-0.16,-0.16,,-17964.0,7876,177181,2015年第2季,,-87641,-105605,-87641,-105605,-45013,-34752,4104963,4480851,375888,375888,434228,94496,,,162551,-87641,-79765,0.0,,53913,,0.0,4104963.0,4480851.0,
2015-11-12,3,2015,0.0,0.0,-100256,8592,-18168,,37398,37398,-0.04,-0.04,0.0,37398.0,35795,173881,2015年第3季,0.0,-21631,15767,-21631,15767,159421,-145257,4234730,4848259,613529,613529,435940,91728,,,170331,-21631,14164,0.0,,53593,,0.0,4234730.0,4848259.0,
2016-03-21,4,2015,-26318.0,,-197824,36892,-33017,,-69742,-43424,0.18,0.18,,-43424.0,91397,704276,2015年度,,101640,31898,101640,31898,582621,-389584,16659242,19141107,2481865,2481865,1866227,371064,-31709.0,,790887,101640,193037,-5391.0,,228652,,0.0,,19141107.0,
2016-05-12,1,2016,,,-46057,8031,-22774,,-18764,-18764,-0.32,-0.32,,-18764.0,-40408,176391,2016年01月01日至2016年03月31日,,-176372,-195136,-176372,-195136,-114592,-102188,3598437,3954389,355952,355952,447770,94476,,,176903,-176372,-216780,,,64162,,,3598437.0,3954389.0,0.0
2016-08-11,2,2016,,0.0,-85377,8597,-12449,,-29524,-29524,0.12,0.12,0.0,-29524.0,29415,172618,2016年第2季,0.0,66085,36561,66085,36561,237235,-141735,4051953,4739050,687097,687097,437413,101303,,,163492,66085,95500,,,64955,,,,,
2016-11-10,3,2016,,,-95323,7923,3078,,-42606,-42606,0.23,0.23,,-42606,36278,191773,2016年第3季,,127774,85168,127774,85168,315668,-151616,4574605,5380391,805786,805786,493196,102750,,,198673,127774,164052,,,64216,,,,,
