date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,,-4201,,-233293,30828,,22278,,26479,-2.53,-2.53,,16785,,,-55190,,390256,2013年01月01日至2013年03月31日,-1248477,-1226199,,-1246489,-1224211,-961569,-270123,658026,977225,319199,319199,1280768,781408,,,-2.53,-2.53,109104,-1248477,-1231692,,,12468,,,,-1988,-1988
2013-08-14,2,2013,,,,-3621,,914238,29193,,35633,,39254,0.43,,,16588,,,-226551,,305232,2013年04月01日至2013年06月30日,211173,246806,,211704,247337,-473367,701128,966321,1480783,514462,514462,987829,520397,,,,,162200,211173,227761,,,15752,,,,-531,-531
2013-10-31,3,2013,,,,-2359,,-534442,38001,,-37356,,-34997,-0.29,-0.29,,17431,,,607053,,284521,2013年07月01日至2013年09月30日,-147613,-184969,,-145143,-182499,-219771,89589,1241489,1734204,492715,492715,712486,318565,,,,,109400,-147613,-130182,,,21023,,,,-2470,-2470
2014-03-27,4,2013,,,,-12977,,686835,142029,,44645,,73966,-2.57,-2.57,,147612,,,48855,,1383472,2013年01月01日至2013年12月31日,-1274096,-1229451,,-1268980,-1224398,-1931573,805089,4157526,6084793,1927267,1927267,3858840,1983457,,-16344.0,,,491911,-1274096,-1126484,,,72630,,,,-5116,-5053
2014-05-06,1,2014,,,,11634,,51448,65434,,35504,880510.0,23870,-0.85,-0.85,,16868,,,-322004,,279069,2014年01月01日至2014年03月31日,-422385,-386881,,-417615,-382111,-180645,-224872,1201846,1685863,484017,484017,664662,309982,,,,,75611,-422385,-405517,,,19750,,1201846.0,805353.0,-4770,-4770
2014-07-29,2,2014,,,,-5505,,6301,54500,,-54528,,-49023,-0.15,-0.15,,26677,,,-127453,,264237,2014年第2季,-77506,-132034,,-74308,-128836,37802,-88631,1320532,2029386,708854,708854,671052,291965,,,,,114850,-77506,-50829,,,21979,,,,-3198,-3198
2014-10-29,3,2014,,,,-30464,,97353,40861,,12162,,42626,-0.76,-0.76,,23468,,,-108906,,267217,2014年第3季,-383637,-371475,,-378071,-365909,-368722,8553,1013682,1359527,345845,345845,714567,352164,,,,,95186,-383637,-360169,,,20755,,,,-5566,-5566
2015-03-16,4,2014,,,,-23873,,136314,231312,,36458,,98580,-3.18,-3.18,,89602,,,-701737,,1136836,2014年度,-1600055,-1563597,,-1568485,-1531948,-1093064,-417389,4765916,6511106,1745190,1745190,2838254,1301397,,-38249.0,,,400021,-1600055,-1510453,,,83278,,,,-31570,-31649
2015-04-22,1,2015,,,,893,,-21166,73087,,-9233,,-10126,-0.76,-0.76,-9233.0,18007,,,9654,,266132,2015年01月01日至2015年03月31日,-378569,-387802,,-375835,-385068,-402539,41977,839526,1133715,294189,294189,696728,342709,,,,,87887,-378569,-360562,,,19598,,839526.0,,-2734,-2734
2015-08-06,2,2015,,,,9459,,449420,45103,,-18191,,-27650,-0.16,-0.16,-18191.0,17309,,,-116303,,281552,2015年第2季,-85465,-103656,,-77548,-99235,-425998,357842,808875,1077185,268310,268310,694308,319584,,,,,93172,-85465,-68156,,,20378,,,,-7917,-4421
