date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,-4288,17725,6559,6559,1.22,1.22,,39922,,-36,,688268,2013年01月01日至2013年03月31日,204616,211175,204650,211209,231137,13401,5484967,6508367,1023400,1023400,792263,,,1.22,1.22,103995,204616,244538,,,,-34,-34
2013-08-09,2,2013,,,-7427,11552,-1220,-1220,0.38,0.38,,51987,,-4441,,689381,2013年04月01日至2013年06月30日,59914,58694,63092,61872,112217,-316,5255015,6144750,889735,889735,777518,,,0.38,0.38,88137,59914,111901,,,,-3178,-3178
2013-11-08,3,2013,,,9628,7549,-38933,-38933,0.96,0.96,,38615,,-10779,,680385,2013年07月01日至2013年09月30日,147053,108120,160993,122060,179270,6398,5538951,6563757,1024806,1024806,845536,,,0.96,0.96,165151,147053,185668,,,0.0,-13940,-13940
2014-03-07,4,2013,,,-77095,66754,-31314,-40276,3.11,3.11,,141667,,-15133,,2886655,2013年01月01日至2013年12月31日,473222,441908,520619,489305,640363,-25474,21678345,25687311,4008966,4008966,3368603,,10798.0,3.1,3.1,481948,473222,614889,,1836.0,0.0,-47397,-47397
2014-05-07,1,2014,,,-1307,9753,17534,17534,1.06,1.06,,37312,,1790,,835514,2014年01月01日至2014年03月31日,156316,173850,177005,194539,183392,10236,5610727,6779147,1168420,1168420,985028,,,1.05,1.05,149514,156316,193628,,,,-20689,-20689
2014-08-08,2,2014,,,-13549,15589,-14152,-14152,0.31,0.31,,23299,,2070,,839323,2014年第2季,21655,7503,51369,37217,40844,4110,5133334,6153798,1020464,1020464,979620,,,0.31,0.31,140297,21655,44954,,,,-29714,-29714
2014-11-05,3,2014,,,-7700,31251,1416,1353,0.56,0.56,,21663,63.0,126,,866992,2014年第3季,68712,70128,93364,94779,66698,23677,5598101,6719231,1121130,1121130,1054432,,,0.56,0.56,187440,68712,90375,,,,-24652,-24651
2015-03-27,4,2014,,-453574.0,-63404,58851,11561,12290,0.66,2.63,,82023,304.0,2207,,2757481,2014年度,-41292,-29731,110642,122195,496651,-2346,19690197,23384140,3693943,3693943,3197292,,-1244.0,0.66,2.63,439811,412282,494305,,-211.0,,-151934,-151926
2015-05-08,1,2015,,-7537.0,2528,7066,-13957,-13876,0.82,0.82,-13957.0,49285,,-1852,-81.0,635324,2015年01月01日至2015年03月31日,122145,108188,137470,123515,171225,7742,5122018,6041991,919973,919973,748748,,,0.82,0.82,113424,129682,178967,,,,-15325,-15327
2015-08-07,2,2015,,0.0,-69849,6008,-4434,-4402,0.19,0.19,-4434.0,13307,,-3799,-32.0,643589,2015年第2季,19673,15239,31122,26689,100620,-67640,4924836,5773661,848825,848825,748205,,,0.19,0.19,104616,19673,32980,,,,-11449,-11450
2015-11-03,3,2015,,0.0,23112,12443,-1015,-1339,0.92,0.92,-1015.0,-9759,,-3575,324.0,673191,2015年第3季,146850,145835,154506,153483,105111,31980,4754799,5638624,883825,883825,778714,,,0.92,0.92,105523,146850,137091,,,,-7656,-7648
2016-03-11,4,2015,-11673.0,-7537.0,-206180,34213,-25600,-13851,1.79,1.79,-13927.0,62041,,-12884,-76.0,2576517,2015年度,257699,232099,299900,274302,512128,-184851,19442678,22980205,3537527,3537527,3025399,-14063.0,,1.79,1.79,448882,265236,327277,-2390.0,,,-42201,-42203
2016-05-06,1,2016,,0.0,-79481,15261,-2036,-1758,1.01,1.01,-2036.0,46168,,-371,-278.0,611009,2016年01月01日至2016年03月31日,156576,154540,168425,166396,267335,-64591,5303376,6290383,987007,987007,719672,,,1.01,1.01,108663,156576,202744,,,,-11849,-11856
2016-08-05,2,2016,,0.0,-9392,5161,2483,2782,0.76,0.76,2483.0,34436,,-3570,-299.0,549142,2016年第2季,125129,127612,125907,128398,167366,-7801,4482069,5315421,833352,833352,665986,,,0.76,0.76,116844,125129,159565,,,,-778,-786
2016-11-04,3,2016,,0.0,-21361,3712,12222,12698,0.64,0.64,12222.0,27401,,-2324,-476.0,616594,2016年第3季,106368,118590,106327,118561,153742,-19973,4604522,5461114,856592,856592,702850,,,0.64,0.64,86256,106368,133769,,,,41,29
