date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業成本,其他綜合損益（淨額）,其他費用,勞務成本合計,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,專櫃銷貨成本（百貨業適用）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資支出（投資公司適用）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,旅遊服務成本（觀光飯店業適用）合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,標準成本差異合計,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,,,232,-7040,2485,2485.0,,,15270,,,,,15038,-0.12,-0.12,,,,23,,,,,,2031,,2013年01月01日至2013年03月31日,,-46051,-30781,,,-40823,-25553,,-41057,-4971,98736,113145,14409,14409,55466,,9090,,,,-0.12,-0.12,44345,-46051,-46028,,,,416,,,98736.0,98736,,,113145.0,113145.0,,,-5228,-5228
2013-08-13,2,2013,,,,,806,10898,2702,2702.0,,,12777,,,,,11971,-0.02,-0.02,,,,68,,,,,,2334,,2013年04月01日至2013年06月30日,,-6095,6682,,,-8739,4038,,-17661,11634,106662,140065,33403,33403,51064,,8475,,,,-0.02,-0.02,40255,-6095,-6027,,,,1966,,,106662.0,106662,,,140065.0,140065.0,,,2644,2644
2013-11-12,3,2013,,,,,1997,48067,3729,3729.0,,,4441,,,,,2444,0.03,0.03,,,,997,,,,,,2999,,2013年07月01日至2013年09月30日,,9960,14401,,,4846,9287,,-39587,50544,131007,143896,12889,12889,52476,,9033,,,,0.03,0.03,40444,9960,10957,,,,1252,,,131007.0,131007,,,143896.0,143896.0,,,5114,5114
2014-03-18,4,2013,,,0.0,,4439,857656,16124,16124.0,87120.0,,63578,,,,,59531,4.4,4.4,,,,14011,,,,,,10854,,2013年01月01日至2013年12月31日,,768007,831585,,,641650,705228,,-86384,868402,452810,516235,63425,63425,236929,,33793,,-392.0,,4.4,4.4,192282,768007,782018,,,,5378,,,452810.0,452810,,516235.0,516235.0,516235.0,,,126357,126357
2014-05-13,1,2014,,,,,521,-1614,8872,8872.0,,,25827,,,,,25306,-0.07,-0.07,,,,-1347,,,,,,4950,,2014年01月01日至2014年03月31日,,-6884,18943,,,-10139,15688,,-15489,7258,69959,94818,24859,24859,40348,,3082,,,,-0.07,-0.07,32316,-6884,-8231,,,,0,,,69959.0,69959,,,94818.0,94818.0,,,3255,3255
2014-08-12,2,2014,,,,,1288,6340,10206,10206.0,,,-12936,,,,,-14224,-0.51,-0.51,,,,64475,,,,,,5622,,2014年第2季,,-73584,-86520,,,-72668,-85604,,-25602,16493,72247,88660,16413,16413,42015,,5448,,,,-0.51,-0.51,30945,-73584,-9109,,,,53,,,72247.0,72247,,,88660.0,88660.0,,,-916,-916
2014-11-12,3,2014,,,,,-1564,38463,12884,12884.0,,,-5330,,,,,-3766,-0.19,-0.19,,,,49502,,,,,,3795,,2014年第3季,,-33459,-38789,,,-28123,-33453,,-35176,51219,54768,74471,19703,19703,54879,,2927,,,,-0.19,-0.19,48157,-33459,16043,,,,128,,,54768.0,54768,,74471.0,74471.0,74471.0,,,-5336,-5336
2015-03-20,4,2014,,,0.0,,506,71259,53543,53543.0,0.0,,37729,,,,,37223,-0.86,-0.86,,,,115072,,,,,,15120,,2014年度,,-128046,-90317,,,-124892,-87163,,-137364,124390,294721,347360,52639,52639,190003,,14298,,0.0,,-0.86,-0.86,160585,-128046,-12974,,,,412,,,294721.0,294721,,347360.0,347360.0,347360.0,,,-3154,-3154
2015-05-12,1,2015,,,,,950,-17375,7019,,,,-40934,,,,,-41884,-0.53,-0.53,,,-40934.0,530,,,,,,4121,,2015年01月01日至2015年03月31日,,-78880,-119814,,,-77652,-118586,,-67780,-10570,67139,63255,-3884,-3884,63896,,3640,,,,-0.53,-0.53,56135,-78880,-78350,,,,214,,,67139.0,67139,,63255.0,63255.0,63255.0,,,-1228,-1228
2015-08-12,2,2015,0.0,0.0,,,-1599,9506,6322,,0.0,,-8103,,,0.0,0.0,-6504,-0.29,-0.29,,0.0,-8103.0,-15962,,0.0,0.0,,0.0,6023,,2015年第2季,0.0,-44166,-52269,,0.0,-42714,-50817,,-75758,15630,123618,106011,-17607,-17607,58151,0.0,3855,0.0,,,-0.29,-0.29,48273,-44166,-60128,0.0,0.0,,198,0.0,,123618.0,123618,,106011.0,106011.0,106011.0,,,-1452,-1452
2015-11-11,3,2015,0.0,0.0,,0.0,-648,-11381,6627,,,,29015,,,,,29663,-0.5,-0.5,,0.0,29015.0,27,,0.0,0.0,,,7282,,2015年第3季,0.0,-74553,-45538,,0.0,-72500,-43485,,-69590,-4936,173781,163346,-10435,-10435,59155,,3106,0.0,,,-0.5,-0.5,48767,-74553,-74526,0.0,,0.0,182,0.0,,,173781,0.0,,163346.0,163346.0,0.0,,-2053,-2053
2016-03-29,4,2015,0.0,0.0,,,5715,-39003,36923,,0.0,,-40999,,,0.0,0.0,-46714,-1.65,-1.65,,0.0,-40999.0,-15376,,0.0,0.0,,0.0,26476,,2015年度,0.0,-244061,-285060,,0.0,-239990,-280989,,-256597,-2840,533965,477588,-56377,-56377,200220,0.0,14402,0.0,,,-1.65,-1.65,159342,-244061,-259437,0.0,0.0,,760,0.0,,,533965,,,477588.0,477588.0,,,-4071,-4071
2016-05-10,1,2016,0.0,0.0,0.0,,1780,5334,3694,,,,-3801,,,,,-5581,-0.32,-0.32,,,-3801.0,34,,0.0,0.0,,,13739,,2016年01月01日至2016年03月31日,,-47007,-50808,,0.0,-46770,-50221,,-54105,7132,135613,128035,-7578,-7578,46527,,5026,0.0,,,-0.32,-0.32,27762,-47007,-46973,0.0,,0.0,1896,0.0,,135613.0,135613,,128035.0,128035.0,128035.0,,,-237,-587
2016-08-13,2,2016,,,,,2024,-660,3671,,,,-33795,,,,,-35819,-0.45,-0.45,,,-33795.0,48,,,,,,15734,,2016年第2季,,-65932,-99727,,,-65551,-98149,,-68769,2885,154803,133735,-21068,-21068,47701,,6570,,,,-0.45,-0.45,25397,-65932,-65884,,,,126,,,,154803,,,,,,,-381,-1578
2016-11-09,3,2016,0.0,0.0,,,-184,-2502,5061,,0.0,0.0,-26603,0.0,0.0,,,-26419,-0.42,-0.42,0.0,0.0,-26603.0,32,0.0,0.0,0.0,0.0,,12445,0.0,2016年第3季,0.0,-61417,-88020,0.0,0.0,-60727,-85846,0.0,-63834,2449,165943,146954,-18989,-18989,44845,,6878,0.0,,0.0,-0.42,-0.42,25522,-61417,-61385,0.0,,0.0,110,0.0,0.0,,165943,,,,146954.0,,0.0,-690,-2174
