date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他減損損失,其他綜合損益（淨額）,其他費損,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,手續費收入合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,2958,2094,2094,-477,9598,23394,477,0,1846,23394,0.63,0.63,12556,,12616,0,0,263,-263,47832,2013年01月01日至2013年03月31日,,115426,138820,115431,138825,9598,0,125099,2943,1264059,1545833,281774,281774,156198,12616,41226,,,0.63,0.63,67140,115426,128042,1846,1264059,,1561930,1561930,1545833,16097,-5,-5
2013-08-09,2,2013,,,8857,4073,4073,1785,334.0,17141,,,1581,17141,0.52,0.52,9191,,14005,,,0,0,74146,2013年04月01日至2013年06月30日,,95282,112423,95272,112413,334.0,,97938,11349,1380272,1654345,274073,274073,177920,14005.0,51741,,,0.52,0.52,52033,95282,109287,1581,1380272.0,771.0,1664319.0,1664319.0,1654345.0,9203.0,10,10
2013-11-12,3,2013,,-3232.0,1540,1981,1981,-69,0.0,-8232,,,2391,-8232,0.42,0.42,-1692,,4488,0.0,,0,0,63989,2013年07月01日至2013年09月30日,,76211,67979,76205,67973,0.0,0.0,79569,1130,1433905,1699151,265246,265246,185608,4488.0,49099,,,0.42,0.42,72520,76211,80699,2391,1433905.0,257.0,1700101.0,1700101.0,1699151.0,693.0,6,6
2014-03-24,4,2013,,5823.0,14906,25306,25306,494,9134.0,48623,,,6917,46821,1.9,1.9,29863,,42902,0.0,,263,-263,261235,2013年01月01日至2013年12月31日,,347614,396237,347604,396227,9134.0,0.0,357484,33032,5521951,6591869,1069918,1069918,712928,42902.0,188933,,1802.0,1.9,1.9,262760,347614,390516,6917,5521951.0,1259.0,6619435.0,6619435.0,6591869.0,26307.0,10,10
2014-05-13,1,2014,,,3055,9752,9752,-59,895.0,11815,59.0,0.0,590,11815,0.46,0.46,3950,,13334,0.0,0.0,99,-99,50807,2014年01月01日至2014年03月31日,,83466,95281,83474,95289,895.0,0.0,84682,12118,1286437,1527961,241524,241524,156783,13334.0,47252,,,0.46,0.46,58724,83466,96800,590,1286437.0,,1552445.0,1552445.0,1527961.0,24484.0,-8,-8
2014-08-11,2,2014,,,-12565,6501,6501,-105,2448.0,-18641,,,401,-18641,0.49,0.49,-10117,,23641,,,206,-206,67187,2014年第2季,,89531,70890,89531,70890,2448.0,,119843,-6671,1447398,1757039,309641,309641,189693,23641.0,60126,,,0.49,0.49,62380,89531,113172,401,1447398.0,0.0,1775296.0,1775296.0,1757039.0,18257.0,0,0
2014-11-05,3,2014,,,15800,3885,3885,-1127,1788.0,17475,,,614,17475,0.61,0.61,17588,,16908,,,-137,137,68671,2014年第3季,,112078,129553,112105,129580,1788.0,,109778,19208,1410177,1746369,336192,336192,225287,16908.0,84185,,,0.61,0.61,72431,112078,128986,614,1410177.0,0.0,1747078.0,1747078.0,1746369.0,709.0,-27,-27
2015-03-27,4,2014,,6621.0,32676,30692,30692,-1745,0.0,22325,,,1782,55445,2.09,2.09,39297,,65264,,,431,-431,270049,2014年度,,380931,403256,380950,403283,0.0,,385040,61155,5650420,6863936,1213516,1213516,826731,65264.0,291964,,-33120.0,2.08,2.08,264718,380931,446195,1782,5650420.0,0.0,6929490.0,6929490.0,6863936.0,65554.0,-19,-27
2015-05-13,1,2015,,,-6149,8601,8601,-62,1663.0,-22400,62.0,,80,-22400,0.63,0.63,-4486,-22400.0,20746,,,205,-205,62221,2015年01月01日至2015年03月31日,20746.0,114764,92364,114771,92389,1663.0,,133343,2167,1439484,1769392,329908,329908,196503,,73155,,,0.63,0.63,61127,114764,135510,80,1439484.0,,1774835.0,1774835.0,1769392.0,5443.0,-7,-25
2015-08-12,2,2015,,,-10190,7119,7119,-1327,1476.0,-3132,,,1202,-3132,0.62,0.62,-8714,-3132.0,20116,,,490,-490,71312,2015年第2季,20116.0,118697,115565,118699,115579,1476.0,,143576,-4763,1545211,1906625,361414,361414,216511,,73102,,,0.62,0.62,72097,118697,138813,1202,1545211.0,0.0,1925576.0,1925576.0,1906625.0,18951.0,-2,-14
