date,season,year,不重分類至損益之項目總額,佣金收入,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,51840,2608,,,32752,27072,,32752,0.17,,-2352,14245,2013年01月01日至2013年03月31日,23714,56466,23726,56478,-26999,48361,186126,218719,32593,32593,59592,3094,,42253,23714,21362,,6087,,,191647,-12,-12
2013-08-14,2,2013,,,0.0,5302,2241,2241.0,0.0,11444,14625,,11444,-0.16,,-2027,16365,2013年04月01日至2013年06月30日,-22132,-10688,-22345,-10901,-21898,-2261,231298,264560,33262,33262,55160,3001,,35794,-22132,-24159,,9804,231298.0,231298.0,249935,213,213
2013-11-14,3,2013,,1270.0,,11564,36074,36074.0,,-38427,1270,1270.0,-38427,-0.3,,-4664,31363,2013年07月01日至2013年09月30日,-41527,-79954,-41210,-79637,-85041,38850,519872,509095,-10777,-10777,74264,2929,,39972,-41527,-46191,,8788,,519872.0,507825,-317,-317
2014-03-18,4,2013,,,,111138,51527,51527.0,,13328,48155,,13328,-0.16,,1312,78052,2013年01月01日至2013年12月31日,-21448,-8120,-21809,-8481,-148081,127945,1240578,1345606,105028,105028,253109,11431,,163626,-21448,-20136,,34720,,1240578.0,1297451,361,361
2014-05-15,1,2014,,,,20926,6380,,,33290,9839,,33290,-0.18,,5743,13993,2014年01月01日至2014年03月31日,-24654,8636,-24932,8358,-35855,16944,207244,230615,23371,23371,59226,933,,44300,-24654,-18911,,10362,,,220776,278,278
2014-08-14,2,2014,,,0.0,-18632,6113,6113.0,0.0,-31370,5409,,-31370,-0.42,,-2100,16776,2014年第2季,-56304,-87674,-56888,-88258,-34888,-23516,258339,281545,23206,23206,58094,3709,,37609,-56304,-58404,,10997,258339.0,258339.0,276136,584,584
2014-11-14,3,2014,,5121,,-7392,3269,3269,,27877,5121,5121,27877,-0.02,,6549,14739,2014年第3季,-5918,21959,-3394,24483,13255,-12624,378893,448674,69781,69781,56526,2474,,39313,-5918,631,,8501,,378893,443553,-2524,-2524
2015-03-26,4,2014,,,,-9668,18598,18598.0,,90186,16564,,90186,-0.87,,12695,63279,2014年度,-124509,-34323,-120266,-30080,-80357,-31457,1117414,1272684,155270,155270,235627,8863,,163485,-124509,-111814,,40387,,1117414.0,1256120,-4243,-4243
2015-05-12,1,2015,,,,-3165,3817,,,-27897,4073,,-27897,-0.2,-27897.0,4473,14058,2015年第1季,-32548,-60445,-29330,-57227,-19712,-8363,216269,248618,32349,32349,52061,2666,,35337,-32548,-28075,,9015,,,244545,-3218,-3218
2015-08-11,2,2015,,,,-2247,9407,9407.0,,-22408,4134,,-22408,-0.17,-22408.0,1181,13340,2015年第2季,-25615,-48023,-24206,-46614,-22958,-1476,247252,270529,23277,23277,46235,2507,,30388,-25615,-24434,,8636,247252.0,247252.0,266395,-1409,-1409
2015-11-10,3,2015,,6311.0,,9823,3937,3937.0,,81403,6311,6311.0,81403,0.09,81403.0,14651,15871,2015年第3季,10422,91825,12655,94058,19856,5217,337443,414870,77427,77427,57571,2452,,39248,10422,25073,,8543,,337443.0,408559,-2233,-2233
2016-03-24,4,2015,212.0,,,-5319,20489,20489.0,,15111,17561,,14899,-0.55,14899.0,-7275,62675,2015年度,-87769,-72658,-79237,-64126,-75957,-19087,1022895,1174065,151170,151170,227127,10302,290.0,154150,-87769,-95044,78.0,34257,,1022895.0,1156504,-8532,-8532
2016-05-11,1,2016,,,,-1902,2541,,,-22356,1968,,-22356,-0.24,-22356.0,-749,10081,2016年01月01日至2016年03月31日,-38177,-60533,-37227,-59511,-32409,-6517,240381,270563,30182,30182,62591,2199,,50311,-38177,-38926,,7156,,,268595,-950,-1022
2016-08-11,2,2016,,,,1156,14158,14158.0,,-9910,2634,,-9910,0.01,-9910.0,7820,10409,2016年第2季,15168,5258,15056,5288,20302,2686,419255,505741,86486,86486,66184,2224,,53551,15168,22988,,12628,419255.0,419255.0,503107,112,-30
2016-11-10,3,2016,,3575.0,,-433,8650,8650.0,,-52095,3575,3575.0,-52095,-0.08,-52095.0,3991,16092,2016年第3季,-11024,-63119,-13170,-59778,-5573,-1460,618378,686941,68563,68563,74136,2023,,56021,-11024,-7033,,9677,,618378.0,683366,2146,-3341
