date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額
2013-05-08,1,2013,,-1025,9162,1318,,,796,60019,60079,1647,0.0,0.0,,226,2013年01月01日至2013年03月31日,120,916,120,916,-9487,9833,278463,313138,34675,34675,44162,,,0.0,0.0,120,346,,-174.0,,647,218444,253059
2013-08-09,2,2013,,-9228,-389,2222,2222.0,1569.0,-7179,62328,66967,480,0.04,0.04,,800,2013年04月01日至2013年06月30日,2876,-4303,2876,-4303,2752,924,319319,361823,42504,42504,39752,,,0.04,0.04,2876,3676,,,,909,256991,294856
2013-11-12,3,2013,,6382,206,2620,2620.0,-1085.0,4530,66229,69253,-767,0.03,0.03,,726,2013年07月01日至2013年09月30日,2106,6636,2106,6636,958,1874,301162,339088,37926,37926,36968,,,0.03,0.03,2106,2832,,,,952,234933,269835
2014-03-20,4,2013,,-3288,23363,10143,10143.0,312.0,13,298887,319662,1536,0.44,0.44,,6938,2013年01月01日至2013年12月31日,30900,30913,30900,30913,7732,30106,1285010,1453600,168590,168590,160858,,1453.0,0.44,0.44,30900,37838,,,,3400,986123,1133938
2014-05-09,1,2014,,-429,1120,2678,,,278,95367,103128,1193,0.11,0.11,,1728,2014年01月01日至2014年03月31日,7913,8191,7913,8191,6490,3151,362085,407116,45031,45031,38541,,,0.11,0.11,7913,9641,,486.0,,647,266718,303988
2014-08-01,2,2014,,2243,-279,2478,2478.0,103.0,-2308,61724,61672,-4654,-0.01,-0.01,,935,2014年第2季,-603,-2911,-603,-2911,-1372,1704,314824,350126,35302,35302,36674,,,-0.01,-0.01,-603,332,,,,495,253100,288454
2014-11-07,3,2014,,538,3602,2453,2453.0,-495.0,948,81646,96199,905,0.17,0.17,,2202,2014年第3季,11338,12286,11338,12286,7929,5611,328782,373637,44855,44855,36926,,,0.17,0.17,11338,13540,,,,444,247136,277438
2015-03-20,4,2014,,2948,9432,13472,13472.0,-993.0,1898,307967,335787,-143,0.6,0.6,,10164,2014年度,42038,43936,42038,43936,30972,21230,1347766,1531413,183647,183647,152675,,86.0,0.6,0.6,42038,52202,,,,1674,1039799,1195626
2015-05-06,1,2015,,-872,-1247,3272,,,-1431,68788,81126,-707,0.09,0.09,-1431.0,1523,2015年01月01日至2015年03月31日,6090,4659,6090,4659,5593,2020,276335,318856,42521,42521,36928,,,0.09,0.09,6090,7613,,,-148.0,5,207547,237730
2015-08-04,2,2015,,-2432,-986,3137,3137.0,,-3112,62519,74526,-1094,0.2,0.2,-3112.0,1308,2015年第2季,14071,10959,14071,10959,13232,2147,315345,364611,49266,49266,36034,,,0.2,0.2,14071,15379,,,-414.0,4,252826,290085
2015-11-09,3,2015,,-4615,4150,3557,3557.0,,-1148,74474,86392,2683,0.19,0.19,-1148.0,1784,2015年第3季,13317,12169,13317,12169,7399,7702,290577,337065,46488,46488,39089,,,0.19,0.19,13317,15101,,,-784.0,5,216103,250673
2016-03-22,4,2015,-4189.0,-6806,1514,13584,,,-8772,276625,334697,1066,0.82,0.82,-4583.0,7216,2015年度,57316,48544,57316,48544,49452,15080,1244769,1454524,209755,209755,160303,-5047.0,,0.81,0.81,57316,64532,-858.0,,-1157.0,18,968144,1119827
2016-05-10,1,2016,,899,-1699,2772,,,231,73621,83576,-515,0.1,0.1,231.0,1683,2016年01月01日至2016年03月31日,7106,7337,7106,7337,7720,1069,266333,311562,45229,45229,37509,,,0.1,0.1,7106,8789,,,153.0,4,192712,227986
2016-08-05,2,2016,,2976,-2062,2900,,,2637,74801,89867,167,0.22,0.22,2637.0,3965,2016年第2季,15524,18161,15524,18161,18655,834,301060,356459,55399,55399,36744,,,0.22,0.22,15524,19489,,,506.0,4,226259,266592
2016-11-07,3,2016,,1222,-1849,2853,,,-950,91998,103584,-1965,0.1,0.1,-950.0,1808,2016年第3季,6808,5858,6808,5858,7616,1000,293403,337963,44560,44560,36944,,,0.1,0.1,6808,8616,,,207.0,4,201405,234379
