date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,其他費損,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,714,14,8322,24497,7153,,817,141949,,17344,141879,0.2,0.2,,6768.0,0.0,,30540,,56.0,56.0,,,14378,,,,,,55450,2013年01月01日至2013年03月31日,58148,200097,49600,170026,42033,46655,738302,963503,225201,225201,183985,25149,,,0.2,0.2,103386,58148,88688,,,,282.0,2293,,542,257.0,0.0,8548,30071
2013-08-13,2,2013,,,1367,13,2436,29210,8708,,802,62297,,16900,62456,0.44,0.44,,1361.0,0.0,,22249,,-172.0,-172.0,,,9465,,,,,,64448,2013年04月01日至2013年06月30日,125778,188075,108360,159239,107119,40908,871801,1176455,304654,304654,198337,31458,,,0.44,0.44,102431,125778,148027,3602.0,,,58.0,2165,,203,335.0,0.0,17418,28836
2013-11-13,3,2013,,,722,75,-10491,22056,2301,444.0,399,-75036,45.0,16222,-75438,0.35,0.35,,,8524.0,,53961,,327.0,,,,6637,,,,,,64860,2013年07月01日至2013年09月30日,105854,30818,85545,22059,141827,17988,921789,1261744,339955,339955,198527,29542,,,0.35,0.35,104125,105854,159815,3533.0,,93.0,0.0,67,0.0,214,0.0,1405.0,20309,8759
2014-03-18,4,2013,,,4022,19,5222,97400,22146,2499.0,2318,192212,181.0,68061,189441,1.41,1.41,,1494.0,0.0,,157372,,77.0,474.0,429.0,-826.0,37184,,,,,,255679,2013年01月01日至2013年12月31日,410358,602570,345197,504586,429226,138504,3356134,4579741,1223607,1223607,796699,138439,,6794.0,1.41,1.41,402581,410358,567730,7193.0,4119.0,,1009.0,4660,,1302,4099.0,,65161,97984
2014-05-08,1,2014,,,209,-11,3471,19938,72,,315,-5362,,19317,-6350,0.37,0.37,549.0,3495.0,0.0,,43428,,999.0,608.0,391.0,,5599,,,,,,58233,2014年01月01日至2014年03月31日,105666,100304,90803,88221,120557,28537,814501,1127611,313110,313110,192868,30097,,,0.37,0.37,104538,105666,149094,,,391.0,0.0,309,,471,0.0,515.0,14863,12083
2014-08-05,2,2014,,,1480,101,-17079,33734,15836,366.0,321,-83100,45.0,17541,-82886,0.42,0.42,357.0,0.0,16295.0,,44034,,-315.0,238.0,-553.0,,9000,,,,,,58144,2014年第2季,127219,44119,101605,31944,145894,25359,856616,1195313,338697,338697,193124,30173,,,0.41,0.41,104807,127219,171253,0.0,,0.0,183.0,419,,296,460.0,0.0,25614,12175
2014-11-10,3,2014,,,4484,36,12302,20908,8144,381.0,335,104109,46.0,12799,104086,0.53,0.53,-108.0,15957.0,0.0,,45551,,-13.0,,,,2935,,,,,,60274,2014年第3季,135412,239521,111505,198547,144954,36009,910577,1252992,342415,342415,197796,28245,,,0.52,0.52,109277,135412,180963,73.0,,109.0,0.0,1319,,136,0.0,599.0,23907,40974
2015-03-18,4,2014,,,7073,-25,8716,103191,32361,1494.0,1310,142192,184.0,61775,136544,1.74,1.74,1778.0,12538.0,,,197445,,638.0,,,,24271,,,,,,234205,2014年度,465381,607573,383392,504842,528135,134691,3434307,4741800,1307493,1307493,780668,117993,,5035.0,1.73,1.73,428470,465381,662826,7277.0,0.0,497.0,0.0,3251,0.0,1487,0.0,497.0,81989,102731
2015-05-08,1,2015,0.0,0.0,251,39,2498,20306,5518,,333,-57701,,14232,-57687,0.36,0.36,556.0,4253.0,,-57701.0,37238,,,,,,2628,,-53.0,,,,52025,2015年第1季,78165,20464,64205,14274,90753,24650,827313,1100733,273420,273420,183000,28677,,,0.35,0.35,102298,78165,115403,,,0.0,1237.0,32,,782,,299.0,13960,6190
2015-08-12,2,2015,,,459,-37,-3233,20116,6531,371.0,325,-68208,46.0,13320,-67562,0.45,0.45,265.0,0.0,3070.0,-68208.0,57456,,,,,,1299,,-609.0,-71.0,-538.0,,54700,2015年第2季,98361,30153,81787,24045,138479,17338,867832,1197906,330074,330074,191920,29431,,,0.45,0.45,107789,98361,155817,0.0,,855.0,0.0,286,,844,0.0,845.0,16574,6108
