date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,-11804,-242554,258308,,581108,786964,0.1,,,17619,,43681,,,,,,3922834,2013年01月01日至2013年03月31日,,85126,666234,85126,666234,43358,59387,34106365,42788517,8682152,8682152,8638794,-194052.0,,3168075,,,0.1,1547885,85126,102745,,48,0.0,0.0
2013-07-30,2,2013,,,-21,97507,251228,,533716,533737,1.5,,,275331,,128041,,,,,,10268551,2013年04月01日至2013年06月30日,,1249511,1783227,1249511,1783227,1049891,474951,54290241,70666915,16376674,16376674,15326783,0.0,,3441468,,,1.5,1616764,1249511,1524842,,1825,0.0,0.0
2013-11-05,3,2013,,,62,113984,447235,,-527397,-527459,-3.58,0.0,,-585,,-24927,,,,,,7554445,2013年07月01日至2013年09月30日,0.0,-2973736,-3501133,-2973736,-3501133,-3504093,529772,37471576,47047567,9575991,9575991,13080084,0.0,,2857192,,,-3.58,2668447,-2973736,-2974321,,6520,0.0,0.0
2014-02-28,4,2013,,,-11738,2421266,1164948,1794.0,1428310,1649412,-1.6,,,1128141,,197069,,,,,,26467742,2013年01月01日至2013年12月31日,,-1323785,104525,-1323785,104525,-3970522,3774878,161131895,203402648,42270753,42270753,46241275,-194052.0,,12543452,,-17106.0,-1.6,7230081,-1323785,-195644,,8405,0.0,0.0
2014-05-06,1,2014,,,-31,67188,106962,,594635,594666,-2.28,,,0,,-2859,,,,,,4464754,2014年01月01日至2014年03月31日,,-1881263,-1286628,-1881263,-1286628,-2047691,166428,26157178,33120843,6963665,6963665,9011356,0.0,,3006710,,,-2.28,1539892,-1881263,-1881263,,4863,,
2014-07-31,2,2014,,,-3,137449,205797,,-599597,-604436,2.74,,,500054,,-2971,,,,,,7641960,2014年第2季,,2257417,1657820,2257417,1657820,2425831,331640,50596366,65060395,14464029,14464029,12038198,4842.0,,3057495,,,2.74,1338743,2257417,2757471,,8635,,
2014-10-31,3,2014,,,-22,322373,166222,,-86238,-110601,0.78,,,0,,-2354,,,,,,4835532,2014年第3季,,640683,554445,640683,554445,157207,483476,32279957,41863914,9583957,9583957,9426750,24385.0,,3217781,,,0.78,1373437,640683,640683,,2765,,
2015-02-06,4,2014,,,-146,506194,834124,4010.0,873654,903136,1.8,,,500380,,-8679,,,,,,21834286,2014年度,,1483046,2356700,1483046,2356700,668770,1314656,147156105,187911200,40755095,40755095,40086325,0.0,,13047251,,-33346.0,1.8,5204788,1483046,1983426,,16983,,
2015-04-28,1,2015,0.0,0.0,-17,372246,125593,,-1157121,-1162620,0.43,,-1157121.0,154198,0.0,-2568,0.0,0.0,0.0,0.0,0.0,3499418,2015年01月01日至2015年03月31日,,360057,-797064,360057,-797064,20473,493782,33361501,41524272,8162771,8162771,8142298,,5516.0,3443425,,,0.43,1199455,360057,514255,0.0,1489,,
2015-07-24,2,2015,,,-32,-2896725,126212,,-46881,-47594,-9.7,,-46881.0,116257,,-3481,,,,,,6541320,2015年第2季,,-8034245,-8081126,-8034245,-8081126,-5141141,-2776847,26648085,33009698,6361613,6361613,11502754,,745.0,3610019,,,-9.7,1351415,-8034245,-7917988,,2853,,
