date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程收入合計,營建收入,營建收入退回及折讓,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分投資利益,處分投資損失,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,0.0,-750.0,2723,268,,,,-382,,,,368.0,0.52,,64887,,,,1597,,100643,2013年01月01日至2013年03月31日,,231251,230869,,231251,230869,,,,,302087,-5949,1670294,2127341,457047,457047,154960,,,,,,,0.45,54317,231251,296138,,,,,,10537,,,,,,,,,,,,,,0.0,0.0
2013-08-04,2,2013,,,,0.0,323.0,-3109,3758,,,,400,,,,77.0,0.37,,12289,,,,-1269,,42228,2013年04月01日至2013年06月30日,,167284,167684,,167284,167684,,,,,186490,-6917,2573086,2867930,294844,294844,108354,,,,,,,0.34,66126,167284,179573,,,,,,6297,,,,,0.0,,,,,,,,0.0,0.0,0.0
2013-11-11,3,2013,,,,,1695.0,598,68714,,0.0,,622,,,,-1073.0,0.03,,5872,,,,-1961,,615,2013年07月01日至2013年09月30日,,15286,15908,,15286,15908,,,,,-45054,66212,10404,14666,4262,4262,49316,,,,,,,0.03,48701,15286,21158,,,,,,1139,,,,,,,,,,,,,,0.0,0.0
2014-03-24,4,2013,,,,,6739.0,1068,80693,,,,8185,,,,350.0,3.39,,63754,,,-603.0,-16392,,398752,2013年01月01日至2013年12月31日,,1687977,1696162,,1687977,1696162,,,,,1712336,39395,8236472,10616898,2380426,2380426,668090,,,,1699.0,,,2.96,269338,1687977,1751731,,,,,,25974,,,,,,,,,,,,,,,
2014-05-07,1,2014,,,6804.0,0.0,,-25225,3677,2402.0,,-6749.0,-6749,1275.0,,,,0.18,,7554,,,,1434,,35236,2014年01月01日至2014年03月31日,,92254,85505,,92254,85505,748540.0,751302.0,2762.0,748540.0,126115,-26307,521669,749882,228213,228213,102098,,7554.0,,,1342.0,1342.0,0.17,66862,92254,99808,,,,1602.0,,6193,18080.0,0.0,1943.0,,,,,,,,,,,0.0,0.0
2014-08-11,2,2014,,,,,593.0,-13229,21251,,,,-1193,,,,-1786.0,-0.02,,-14925,,,,-9267,,36639,2014年第2季,,-8875,-10068,,-8875,-10068,,,,,-14277,-9523,220513,301930,81417,81417,95694,,,,,,,0.0,59055,-8875,-23800,,,,,,8278,,,,,,220513.0,220513.0,,301930.0,301930.0,301930.0,,,,
2014-11-13,3,2014,,,,,1397.0,-4177,7274,,,,4213,,,,2816.0,0.05,,7332,,,,-9111,,34871,2014年第3季,,25771,29984,,25771,29984,,,,,47508,-14405,249759,391504,141745,141745,94237,,,,,,,0.05,59366,25771,33103,,,,,,8391,,,,,,249759.0,249759.0,0.0,391504.0,391504.0,391504.0,0.0,,0.0,0.0
2015-05-11,1,2015,0.0,0.0,417.0,0.0,0.0,124,2739,2535.0,,,-913,204.0,-913.0,0.0,0.0,-0.2,-913.0,0,0.0,0.0,,-14,0.0,38049,2015年01月01日至2015年03月31日,0.0,-102994,-103907,0.0,-102994,-103907,62619.0,62619.0,0.0,62619.0,-94669,-8325,44414,63882,19468,19468,114137,0.0,,0.0,,1263.0,1263.0,-0.2,76088,-102994,-102994,0.0,0.0,,0.0,,11174,0.0,541.0,0.0,0.0,,,,,,,,,,0.0,0.0
2015-08-10,2,2015,-1139.0,-1139.0,,,-1727.0,-740,5061,,,,-2866,,,,,0.68,-1727.0,7064,,,,-2319,,128149,2015年第2季,,379909,377043,,379909,377043,,,,,394404,-7431,1238722,1835172,596450,596450,202046,,,,,,,0.66,73897,379909,386973,,,,,,9433,,,,,,1238722.0,1238722.0,,1835172.0,1835172.0,1835172.0,,,,
2015-11-09,3,2015,0.0,0.0,,,-1892.0,-231,11585,,,,3079,,,,4971.0,-0.01,3079.0,0,0.0,0.0,,-1935,,-10112,2015年第3季,,-5428,-2349,0.0,-5428,-2349,,,,,-12535,7107,346751,391864,45113,45113,57648,,,0.0,,,,-0.01,67760,-5428,-5428,0.0,,0.0,,,2312,,,,0.0,,346751.0,346751.0,0.0,391864.0,391864.0,391864.0,0.0,,0.0,0.0
