date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,0.0,-188,168,0.0,,0.0,,0.0,-0.6,-0.6,,0.0,,,8,2013年01月01日至2013年03月31日,-4207,-4207,-4207,-4207,-3176,-1031,88,164,76,76,3252,,,3244,-4207,-4207,0.0,1011,0,0
2013-08-12,2,2013,,,,0.0,-187,105,0.0,,0.0,,0.0,-0.51,,,0.0,,,7,2013年04月01日至2013年06月30日,-6530,-6530,-6529,-6529,-5446,-1084,88,120,32,32,5478,,-0.51,5471,-6530,-6530,0.0,1002,-1,-1
2013-11-12,3,2013,,,,,0,20,,,,,,-1.15,,,0.0,,,1,2013年07月01日至2013年09月30日,-16061,-16061,-16062,-16062,-15122,-939,53642,56329,2687,2687,17809,,0.0,17808,-16061,-16061,,959,1,1
2014-03-27,4,2013,,,,,182,492,,,,,,7.91,,,0.0,,,4141,2013年01月01日至2013年12月31日,200051,200051,200004,200004,208963,-8912,227189,507048,279859,279859,70896,,,66755,200051,200051,,9586,47,47
2014-05-07,1,2014,,,,,-400,357,,,,,,-0.45,,,,,,17975,2014年01月01日至2014年03月31日,-43410,-43410,-43410,-43410,-41010,-2400,189864,198605,8741,8741,49751,,,31776,-43410,-43410,,2357,0,0
2014-08-13,2,2014,,,0.0,,421,442,,0.0,0.0,,,0.77,,,2000.0,,,21863,2014年第2季,74854,74854,74853,74853,80195,-3341,178919,315154,136235,136235,56040,,,34177,74854,76854,,4204,1,1
2014-11-07,3,2014,,,0.0,,-43,391,,0.0,0.0,,,0.74,,,0.0,,,24680,2014年第3季,71362,71362,71362,71362,78236,-6874,150053,291665,141612,141612,63376,,,38696,71362,71362,,7222,0,0
2015-03-25,4,2014,,,,,-29,3514,,,,,,0.73,,,617.0,,,86695,2014年度,77123,77123,77124,77124,95704,-17964,822550,1150490,327940,327940,232236,,,145541,77123,77740,,21449,-1,-1
2015-05-07,1,2015,,,,,159,984,,,,,,0.21,,,8000,,,20817,2015年01月01日至2015年03月31日,31166,31166,31166,31166,44535,-5369,108324,207876,99552,99552,55017,,,34200,31166,39166,,6512,0,0
2015-08-10,2,2015,,0.0,0.0,,-334,803,,,0.0,,,0.02,,0.0,-7303.0,0.0,0.0,17554,2015年第2季,2323,2323,2323,2323,2168,-7148,124340,178265,53925,53925,51757,,,34203,2323,-4980,,7617,0,0
2015-11-09,3,2015,0.0,0.0,0.0,,0,2361,,,0.0,0.0,,0.41,,0.0,11335.0,0.0,0.0,15595,2015年第3季,59428,59428,59428,59428,78347,-7584,25325,157220,131895,131895,53548,,,37953,59428,70763,,9945,0,0
2016-03-28,4,2015,,,,,4169,2359,,,,,,1.46,,,36440.0,,,73156,2015年度,214675,214675,214675,214675,284266,-33151,334500,838336,503836,503836,219570,,,146414,214675,251115,,39679,0,0
2016-05-11,1,2016,,,,,42,222,,,,,,0.04,,,5665.0,,,14654,2016年01月01日至2016年03月31日,5706,5706,5706,5706,34482,-23111,25663,107951,82288,82288,47806,,,33152,5706,11371,,23375,0,0
2016-08-09,2,2016,,0.0,0.0,,146,395,,,0.0,,,0.27,,0.0,26551.0,0.0,0.0,13020,2016年第2季,40066,40066,40066,40066,96014,-29397,40056,185062,145006,145006,48992,143.0,0.27,35829,40066,66617,,29938,0,0
2016-11-11,3,2016,0.0,0.0,0.0,,898,235,,,0.0,0.0,,1.06,,0.0,35253.0,0.0,0.0,20686,2016年第3季,155877,155877,155877,155877,216897,-25767,190697,466860,276163,276163,59266,475.0,1.06,38105,155877,191130,,26900,0,0
