date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,15600,77074,23552,16291,691,6.45,,628436,-1406.0,723513,2013年01月01日至2013年03月31日,3819216,3835507,3808532,3824823,4440153,7499,9005256,14373796,5368540,5368540,928387,,,6.44,204874,3819216,4447652,,,91721,10684,10684
2013-08-13,2,2013,,-11440,12471,27303,-11143,297,1.11,,514783,-226.0,482316,2013年04月01日至2013年06月30日,641292,630149,657900,646757,1209547,-53472,2890342,4775290,1884948,1884948,675401,,,1.11,193085,641292,1156075,,,93020,-16608,-16608
2013-11-13,3,2013,,5275,35616,16104,5149,-126,1.54,,77871,317.0,345611,2013年07月01日至2013年09月30日,904108,909257,907843,912992,1014975,-32996,3149359,4701879,1552520,1552520,537545,,,1.54,191934,904108,981979,,,85033,-3735,-3735
2014-03-25,4,2013,,14410,203205,107591,13421,1043,10.85,,1356688,-1315.0,1803703,2013年01月01日至2013年12月31日,6459108,6472529,6407447,6420868,7840408,-24612,17827671,28310296,10482625,10482625,2642217,,-2032.0,10.82,838514,6459108,7815796,,,334093,51661,51661
2014-05-06,1,2014,,-1730,7431,16754,-1461,269,1.11,,34678,0.0,144014,2014年01月01日至2014年03月31日,664049,662588,652815,651354,757084,-58357,1817675,2920786,1103111,1103111,346027,,,1.1,202013,664049,698727,,,82542,11234,11234
2014-08-06,2,2014,,6922,-12184,32543,5750,-1172,3.69,,302037,0.0,355508,2014年第2季,2196431,2202181,2182496,2188246,2559325,-60857,4909003,8087897,3178894,3178894,619569,,,3.68,264061,2196431,2498468,,,81216,13935,13935
2014-11-11,3,2014,,631,8644,76562,1378,747,6.72,,185362,0.0,841606,2014年第3季,6188210,6189588,5952238,5953616,6364775,8797,11122797,18655009,7532212,7532212,1167437,,,6.71,325831,6188210,6373572,,,76409,235972,235972
2015-03-20,4,2014,,10548,61095,152182,11019,471,11.44,,425141,0.0,1873089,2014年度,10746861,10757880,10132936,10143955,11275095,-103093,23312300,37515171,14202871,14202871,2927776,,0.0,11.41,1054687,10746861,11172002,,,316370,613925,613925
2015-05-13,1,2015,-17460.0,6974,88197,44016,-10677,-191,3.05,6783.0,184700,,258153,2015年01月01日至2015年03月31日,2818767,2808090,2705735,2695058,2914495,88972,5973563,9413009,3439446,3439446,524951,-17460.0,,3.05,266798,2818767,3003467,,,43241,113032,113032
2015-08-11,2,2015,0,225,-82197,65504,139,-86,-0.32,139,257177,,227867,2015年第2季,-314676,-314537,-282339,-282200,-8657,-48842,1020445,1469493,449048,449048,457705,0,,-0.32,229838,-314676,-57499,,,32149,-32337,-32337
2015-11-05,3,2015,0.0,-16728,-276952,229288,-16493,235,-0.09,-16493.0,45830,,249498,2015年第3季,458848,442355,-105304,-121797,599108,-94430,3045572,4148672,1103100,1103100,503992,0.0,,-0.09,254494,458848,504678,,,46766,564152,564152
2016-03-24,4,2015,-13510.0,-9288,-305616,602210,-23017,-219,7.06,-9507.0,918977,0.0,1673012,2015年度,8954895,8931878,8120691,8097674,9815058,58814,21833114,34638039,12804925,12804925,2989867,-13510.0,,7.04,1316855,8954895,9873872,,,237780,834204,834204
2016-05-11,1,2016,0.0,8449,16281,130114,8417,-32,2.48,8417.0,79157,,545923,2016年01月01日至2016年03月31日,2793874,2802291,2831759,2840176,2808985,64046,5476444,9130633,3654189,3654189,845204,0.0,,2.48,299281,2793874,2873031,0.0,0.0,82349,-37885,-37885
2016-08-11,2,2016,0.0,-8449,47904,107511,-8627,-178,0.52,-8627.0,108793,,382039,2016年第2季,794684,786057,593993,585366,853832,49645,2963437,4499563,1536126,1536126,682294,0.0,,0.52,300255,794684,903477,0.0,0.0,105770,200691,200691
2016-11-11,3,2016,0.0,3062,-52907,137799,2851,-211,1.72,2851.0,251994,,821004,2016年第3季,2391363,2394214,1961424,1964275,2704231,-60874,9666313,13479196,3812883,3812883,1108652,0.0,,1.72,287648,2391363,2643357,0.0,0.0,145766,429939,429939
