date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,0,-27768,7596,,476360,476360,0.51,0.51,,23255,2013年01月01日至2013年03月31日,459930,936290,287965,707279,546254,-63069,701897,1294474,592577,592577,46323,,,0.51,0.51,46323,459930,483185,,,42897,171965,229011
2013-08-13,2,2013,,0,-8889,37760,71161.0,105475,105475,0.49,0.49,,83519,2013年04月01日至2013年06月30日,431027,536502,276797,370415,527393,-12847,778082,1284845,506763,506763,50531,,,0.49,0.49,50531,431027,514546,,,41718,154230,166087
2013-11-11,3,2013,,15151,11183,5468,144.0,-252876,-252876,0.31,0.3,,16036,2013年07月01日至2013年09月30日,311503,58627,175998,-46688,333280,-20892,780221,1156983,376762,376762,43626,,,0.31,0.3,43626,296352,312388,,,37543,135505,105315
2014-03-28,4,2013,,236321,-36520,59173,71209.0,472167,472139,1.93,1.72,,74667,2013年01月01日至2013年12月31日,1701230,2173397,1099224,1516922,1673795,-134219,2975934,4763653,1787719,1787719,185133,,34.0,1.93,1.72,185133,1464909,1539576,,6.0,156872,602006,656475
2014-05-14,1,2014,,0,-19392,22289,,398017,398017,0.55,0.55,,4881,2014年01月01日至2014年03月31日,432571,830588,311952,664774,467344,-29892,758046,1274468,516422,516422,49078,,,0.55,0.55,49078,432571,437452,,,32789,120619,165814
2014-08-13,2,2014,,0,19062,15042,0.0,-371664,-371664,0.32,0.32,,88125,2014年第2季,275599,-96065,184722,-143627,360930,2794,765336,1176530,411194,411194,50264,,,0.32,0.32,50264,275599,363724,,,31310,90877,47562
2014-11-13,3,2014,,51865,-22731,3854,0.0,341842,341842,0.33,0.24,,796,2014年第3季,288981,630823,186096,487784,287243,-49331,859731,1198696,338965,338965,51722,,,0.33,0.24,51722,237116,237912,,,30454,102885,143039
2015-03-27,4,2014,,155982,-86296,37704,,1080854,1081743,1.51,1.24,,131874,2014年度,1290182,2371036,858476,1868136,1443488,-177414,2832412,4468377,1635965,1635965,192477,,-1072.0,1.51,1.24,192477,1134200,1266074,,-183.0,128822,431706,502900
2015-05-14,1,2015,,40490,16618,5881,,-224871,-224871,0.45,0.38,-224871.0,51292,2015年01月01日至2015年03月31日,359580,134709,254101,55552,381838,-11456,824314,1253441,429127,429127,47289,,,0.45,0.38,47289,319090,370382,,,33955,105479,79157
2015-08-13,2,2015,,-358,19630,24394,,-284903,-284903,0.33,0.33,-284903.0,107095,2015年第2季,267089,-17814,189176,-61666,362963,11579,769179,1179313,410134,410134,47171,,,0.33,0.33,47171,267447,374542,,,32445,77913,43852
2015-11-12,3,2015,,413,-95562,6170,,1304552,1304552,0.52,0.52,1304552.0,11592,2015年第3季,415341,1719893,293331,1440317,549237,-122717,760899,1352751,591852,591852,42615,,,0.52,0.52,42615,414928,426520,,,33325,122010,279576
2016-03-30,4,2015,-1668.0,41082,-57156,46444,,766013,767681,1.66,1.59,767681.0,269437,2015年度,1364205,2130218,944393,1618929,1736088,-143528,3139208,5063606,1924398,1924398,188310,-2010.0,,1.66,1.59,188310,1323123,1592560,-342.0,,132816,419812,511289
2016-05-13,1,2016,,0,39851,9423,,-434897,-434897,0.48,0.48,-434897.0,37432,2016年01月01日至2016年03月31日,387744,-47153,270795,-115394,410004,15172,732331,1189886,457555,457555,47551,,,0.48,0.48,47551,387744,425176,,,34102,116949,68241
2016-08-13,2,2016,,0,-540,8311,49271.0,60411,60411,0.23,0.23,60411.0,90688,2016年第2季,211182,271593,132396,185538,328442,-26572,728694,1057699,329005,329005,49834,,,0.23,0.23,49834,211182,301870,,,34343,78786,86055
2016-11-09,3,2016,,-7346,33294,6951,-526.0,-590770,-590770,0.15,0.16,-590770.0,5926,2016年第3季,127561,-463209,86019,-437886,134286,6547,723264,897147,173883,173883,39071,,,0.15,0.16,39071,134907,140833,,,33698,41542,-25323
