date,season,year,不重分類至損益之項目,以成本衡量之金融資產及負債利益,以成本衡量之金融資產及負債損失,佣金費用,保費收入,保險負債淨變動,保險賠款與給付,備供出售金融資產已實現利益,備供出售金融資產未實現評價利益（損失）,兌換利益,兌換損失,共同控制下前手權益,其他保險負債淨變動,其他支出,其他收入,其他綜合損益淨額,其他綜合損益－其他,再保佣金收入,分離帳戶保險商品收益,分離帳戶保險商品費用,利息收入,利息費用,勞務成本,勞務收入,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外匯價格變動準備淨變動,工程成本,後續可能重分類至損益之項目,所得稅費用（利益）,手續費收入,承保費用,投資性不動產利益,持有至到期日金融資產已實現利益,持有至到期日金融資產已實現損失,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,推銷費用,支出合計,收入合計,會計項目,本期淨利（淨損）,本期綜合損益總額,減損損失,無活絡市場之債券投資利益,無活絡市場之債務工具投資利益,無活絡市場之債務工具投資損失,營建工程收入,營業費用合計,研究發展費用,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃收入,管理及總務費用,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,繼續營業單位稅後淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,透過損益按公允價值衡量之金融資產及負債利益,透過損益按公允價值衡量之金融資產及負債損失,銷貨成本,銷貨折讓,銷貨收入,銷貨收入淨額,銷貨退回,非控制股權
2013-05-15,1,2013,,2138.0,,2800021,32410066,29515413.0,4391109,1207656,50393,2846205.0,4784.0,,,63949,128601,73295,,622341,4133687,4133687,3631627,29446,48191,244650,22902,-0.07,39733,,,-162743,119886,8168,0,0.0,,57056,,305314,49919632,49979710,2013年01月01日至2013年03月31日,222821,296116,0.0,40172.0,,,,2591806,28974,,,2846,9818,2257518,222821,60078,,,,,43.0,34.0,50.0,619.0,6871.0,3313688.0,3015871,1245,4487270,4479110,6915,
2013-08-14,2,2013,,-3976.0,,1902304,21930338,18684141.0,4837431,1852183,-4065303,-420141.0,4721.0,,,54381,11865,-4029499,,472797,-1236918,-1236918,3491441,29213,15773,136925,35804,0.63,-49455,,,261050,131973,9088,117565,0.0,,34783,,382846,29858528,31036607,2013年04月01日至2013年06月30日,917029,-3112470,0.0,41351.0,,,,2689155,28602,,,3106,7214,2277707,917029,1178079,,,,,-39.0,1579.0,134.0,81.0,3573.0,-113766.0,2978239,964,4530301,4514994,14343,
2013-11-14,3,2013,,4846.0,,2363733,27863748,24326532.0,4854417,1263355,-776372,0.0,1319843.0,,,110716,67796,-792271,,522670,3963595,3963595,3582271,30281,12348,119405,-15899,0.24,-3416,,,-19193,119115,10518,62507,0.0,0.0,32568,,281955,43141047,43624397,2013年07月01日至2013年09月30日,502543,-289728,0.0,27892.0,,,,2784919,27048,,,2976,17274,2475916,502543,483350,,,,,,7010.0,134.0,0.0,996818.0,0.0,3354159,902,4989395,4983819,4674,
2014-03-28,4,2013,,0.0,331.0,9874355,116907685,102633933.0,21145867,5315700,-6246796,2507084.0,0.0,-2132906.0,,326894,276095,-5368370,-4163.0,2214672,9937185,9937185,15028676,134873,13786,459876,62442,1.43,-196419,119705.0,,70907,488857,38446,1116185,0.0,,114567,,1689236,171672626,173585978,2013年01月01日至2013年12月31日,1842445,-3525925,52.0,163070.0,,,78319.0,11176539,124924,,135962.0,12988,58601,9362379,1842445,1913352,,,-684185.0,,0.0,17621.0,207100.0,,20680.0,3778463.0,12461588,4973,18906574,18888045,13556,923561.0
2014-05-14,1,2014,,0.0,,2968428,34265492,,8830910,1067490,2059006,3049626.0,,,27775626.0,74682,44067,1937503,,476099,3668714,3668714,4599795,36936,3446,111519,-14971,-0.47,-36733,4453.0,,145985,119531,10503,99069,,,49736,,380933,52881406,52451047,2014年01月01日至2014年03月31日,-576344,1361159,,8102.0,,,4616.0,2739751,33670,,,1326,16158,2325148,-576344,-430359,,,106532.0,,17.0,,,52.0,,3558059.0,3208520,403,4910408,4907749,2256,
2014-08-14,2,2014,,0.0,0.0,2282270,24148600,,8853801,2150544,496631,0.0,2760663.0,,16801668.0,46018,29511,438533,,380785,2612019,2612019,4151133,32988,3446,91420,-13886,1.23,98178,3689.0,,165903,127320,10821,115895,,,54788,,354535,39412400,41152396,2014年第2季,1574093,2012626,,179123.0,,,3828.0,2832988,34875,,,5547,19135,2443578,1574093,1739996,,,44212.0,,,943.0,40338.0,0.0,2079632.0,0.0,3165539,870,4889345,4870147,18328,
2014-11-14,3,2014,,1480.0,,3069401,31451066,,7725375,1886027,-2461340,1826106.0,0.0,,25046977.0,65713,35609,-2403685,,380482,91803,91803,4895044,36903,3446,71277,30953,1.16,-88359,19558.0,,78219,118611,12277,125664,,,7220,,326136,44518641,46059128,2014年第3季,1462268,-941417,,0.0,,,19796.0,3025538,26932,,,4159,17216,2672470,1462268,1540487,,,-26702.0,,,382.0,53.0,0.0,0.0,2081924.0,3335185,1313,5238682,5220033,17336,
2015-03-31,4,2014,,,12822.0,11018701,119726527,,53409848,5825025,1968588,9429846.0,,,74345037.0,255799,130137,1419865,,1621709,8575449,8575449,19406225,149447,14793,411410,35873,1.96,-211671,53919.0,,26480,484868,46045,466758,,,145716,,1834518,184208897,186870139,2014年度,2634762,4054627,80276.0,501782.0,,,54888.0,11754117,139311,,-251131.0,14905,83179,9780288,2634762,2661242,1.96,,333465.0,,,460.0,41738.0,,8857.0,11361926.0,13115353,2284,20217739,20167696,47759,
2015-05-14,1,2015,,1312.0,,3465000,38594359,,33177338,1496445,912166,0.0,2879981.0,,6698373.0,139610,64176,895571,,37759,2495891,2495891,5284382,39507,3446,108695,-10099,0.52,-55996,11811.0,895571.0,741533,120097,11860,126561,,,34628,,482372,55419693,56902876,2015年01月01日至2015年03月31日,741650,1637221,,,782432.0,,11984.0,3188562,35768,,,3722,43557,2670422,741650,1483183,0.52,,,6496.0,0.0,2550.0,345.0,,2622770.0,0.0,3302042,295,5136506,5133479,2732,
2015-08-14,2,2015,,0.0,0.0,2394056,25560646,,8039533,2117012,-2658748,0.0,2397573.0,,19320968.0,90356,87719,-2710200,,10467,1004699,1004699,5564576,39619,3447,82335,-16975,1.68,198052,27901.0,-2710200.0,267740,131378,13178,127836,,,8768,,485519,39686465,42132005,2015年第2季,2177800,-532400,,,14643.0,,28390.0,2947165,35397,,,3819,14181,2426249,2177800,2445540,1.68,,,34477.0,,13209.0,16592.0,0.0,1873969.0,0.0,3390942,332,5304856,5290742,13782,
2015-11-13,3,2015,,0.0,,2700576,31067353,,10307755,482703,-3788651,14503386.0,,,22718017.0,110570,58526,-3619979,,5875,-736607,-736607,5885990,39074,3446,75245,43028,1.01,-875012,42988.0,-3619979.0,-111617,121758,15679,118384,,,0,25470.0,232593,55125074,56340703,2015年第3季,1327246,-2292733,,,0.0,,41882.0,3139408,35705,,,3770,26300,2871110,1327246,1215629,1.01,,,-125644.0,,1168.0,90.0,,,13132065.0,3621695,325,5567332,5564830,2177,
2016-03-31,4,2015,-170894.0,1715.0,0.0,11156666,126890145,,65865655,4974128,-2856257,8518773.0,,,69451977.0,491848,226556,-3051527,,102662,5987868,5987868,22606523,158440,13786,352121,-11343,2.3,-583958,112835.0,-2880633.0,1084057,495399,55513,509910,,,61771,,1703621,188750328,192967661,2015年度,3133276,81749,0.0,,826758.0,,112978.0,12463765,150159,-171491.0,,14990,140189,10609985,3133276,4217333,2.3,-597.0,,13033.0,,14889.0,4780.0,,,8869339.0,14092757,2252,21859695,21739343,118100,
2016-05-13,1,2016,,0.0,,3379031,38551662,,11928508,1499684,1893699,,6161104.0,,28446374.0,116660,19974,2068707,,5478,2195624,2195624,6112088,41978,3453,81429,-9120,0.37,67968,11270.0,2068707.0,911698,118961,12302,125132,,,30999,,552398,59152443,60406712,2016年01月01日至2016年03月31日,342571,2411278,,,85143.0,,11387.0,3171016,38571,,,3825,38972,2580047,342571,1254269,0.37,,,-184128.0,,111.0,76.0,,5704019.0,,3681187,370,5761777,5758116,3291,
2016-08-12,2,2016,,360.0,,2285417,26695598,,11401915,1866415,-1651404,,759416.0,,17846399.0,109303,49385,-1588223,,9029,2101024,2101024,6430140,38606,3737,86653,-521,1.74,224157,13997.0,-1588223.0,-334958,123562,11625,123455,,,23975,,354872,41498181,43585969,2016年第2季,2422746,834523,,,73443.0,,14443.0,3297484,35249,,,3655,20024,2907363,2422746,2087788,1.74,,,-63702.0,,464.0,0.0,54.0,116301.0,,3625085,1056,5630787,5628005,1726,
2016-11-14,3,2016,,284.0,,2827532,33707111,,10761592,2000388,1236671,0.0,8957675.0,,25517603.0,120709,63617,1274221,,5959,2711592,2711592,6620466,35352,3446,74891,-12991,1.29,432865,18763.0,1274221.0,-261600,119252,15017,122838,,,115234,0.0,568663,57980439,59396366,2016年第3季,1677527,2951748,,,0.0,14525.0,15755.0,3186873,36502,,,3920,30992,2581708,1677527,1415927,1.29,,,-50541.0,58.0,2616.0,148.0,,7472840.0,0.0,3803224,979,5905917,5902076,2862,
