date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,-745,,,5435,22593,,110437,,,111182,0.68,0.68,,,29438,,,1094,,,111175,2013年01月01日至2013年03月31日,,209434,319871,,209434,319871,219869,19003,1805270,2326980,521710,521710,301841,,98941,,,0.65,0.65,91725,209434,238872,,,10119,,1805270.0,2326980.0,0.0,0.0
2013-08-12,2,2013,,,-3084,,,9685,15960,,51029,,,54113,0.71,0.71,,,34276,,,2156,,,129326,2013年04月01日至2013年06月30日,,219770,270799,,219770,270799,237848,16198,1764826,2330874,566048,566048,328200,,103710,,,0.68,0.68,95164,219770,254046,,,11603,,1764826.0,2330874.0,,
2013-11-07,3,2013,,,7882,,0.0,13645,37272,,-50911,,,-58793,0.85,0.85,,,31081,,,3461,,,101924,2013年07月01日至2013年09月30日,,263820,212909,,263820,212909,252398,42503,1888243,2445669,557426,557426,305028,,113872,,,0.81,0.81,89232,263820,294901,,,11875,,1888243.0,2445669.0,,0.0
2014-03-24,4,2013,,,13105,0.0,0.0,51025,91970,3432.0,179040,,,172667,3.02,3.02,,,126604,,,13446,,,441526,2013年01月01日至2013年12月31日,,935161,1114201,,935161,1114201,951154,110611,7309553,9503583,2194030,2194030,1242876,,429642,,-10164.0,2.82,2.82,371708,935161,1061765,,,45830,,7309553.0,9503583.0,0.0,0.0
2014-05-05,1,2014,,,1124,0.0,0.0,6965,38376,,60513,,,59389,0.72,0.72,,,30936,,,4982,,,104625,2014年01月01日至2014年03月31日,,222112,282625,,222112,282625,214156,38892,1656129,2165532,509403,509403,295247,,99845,,,0.68,0.68,90777,222112,253048,,,11431,,1656129.0,2165532.0,0.0,0.0
2014-08-12,2,2014,,,-2946,0.0,0.0,-1404,18101,,-92952,,,-90006,0.78,0.78,,,22718,,,6045,,,125646,2014年第2季,,242062,149110,,242062,149110,254094,10686,1779454,2358351,578897,578897,324803,,119716,,,0.75,0.75,79441,242062,264780,,,12056,,1779454.0,2358351.0,0.0,0.0
2014-11-06,3,2014,,,2707,0.0,0.0,28033,16830,,85201,,,82494,0.86,0.86,,,36957,,,5300,,,137343,2014年第3季,,267857,353058,,267857,353058,266407,38407,1910522,2519309,608787,608787,342380,,109241,,,0.82,0.82,95796,267857,304814,,,11756,,1910522.0,2519309.0,0.0,0.0
2015-03-23,4,2014,,,800,,,73985,95433,2350.0,255984,,,266660,3.21,3.21,,,150581,,,19304,,,517442,2014年度,,995174,1251158,,995174,1251158,1004022,141733,7195094,9526243,2331149,2331149,1327127,,435683,,-13826.0,3.04,3.04,374002,995174,1145755,,,46989,,7195094.0,9526243.0,0.0,0.0
2015-05-04,1,2015,-73090.0,0.0,-662,0.0,0.0,13807,21409,,-73090,0.0,0.0,-72428,0.71,0.71,0.0,-73090.0,22546,0.0,0.0,2520,0.0,,121339,2015年01月01日至2015年03月31日,0.0,221065,147975,0.0,221065,147975,216792,26819,1601849,2135069,533220,533220,316428,0.0,106750,0.0,,0.68,0.68,88339,221065,243611,-73090.0,0.0,10917,0.0,,,0.0,0.0
2015-08-10,2,2015,,,1534191,0.0,0.0,27428,15689,,1525443,,,-12746,0.57,0.57,,1525443.0,39676,,,2410,3998.0,,114449,2015年第2季,,176978,1702421,,176978,1702421,181399,35255,1728959,2219467,490508,490508,309109,,106043,,,0.54,0.54,88617,176978,216654,,,10272,,1728959.0,2219467.0,0.0,0.0
2015-11-09,3,2015,,,-432688,,,89575,18785,,-333808,,,98675,0.92,0.92,,-333808.0,49965,,,3131,205.0,,129557,2015年第3季,,285853,-47955,,285853,-47955,235288,100530,1836069,2416808,580739,580739,345451,,123512,,,0.87,0.87,92382,285853,335818,,,10961,,1836069.0,2416808.0,,0.0
2016-03-29,4,2015,,-15645.0,1789392,,,133547,79237,,1680945,,,-93862,3.03,3.03,,1696590.0,149407,,,9815,1060.0,1060.0,497711,2015年度,,938203,2619148,,938203,2619148,908335,179275,7030481,9265656,2235175,2235175,1326840,,455535,-18849.0,,2.86,2.86,373594,938203,1087610,-3204.0,,43324,,7030481.0,9265656.0,,
2016-04-25,1,2016,,,-516098,,,-37080,23327,,-560362,,,-46268,0.73,0.73,,-560362.0,30721,,,-892,2004.0,,122905,2016年01月01日至2016年03月31日,,226166,-334196,,226166,-334196,280581,-23694,1498958,2108973,610015,610015,329434,,114646,,,0.71,0.71,91883,226166,256887,,,9049,,1498958.0,2108973.0,,
2016-08-08,2,2016,,,13931,,,7767,25107,,-127918,,,-140779,0.68,0.68,,-127918.0,43980,,,1003,-1070.0,,126788,2016年第2季,,211539,83621,,211919,84001,227944,27575,1713080,2283921,570841,570841,342897,,122716,,,0.68,0.68,93393,211539,255519,,,6302,,1713080.0,2283921.0,-380.0,-380.0
2016-11-03,3,2016,,0.0,-26992,,,-17788,18872,,-212327,,,-181784,0.87,0.87,,-212327.0,37592,,0.0,3152,-3551.0,,133735,2016年第3季,,268106,55779,,269731,57404,307695,-1997,1921782,2600359,678577,678577,370882,,140149,,,0.87,0.87,96998,268106,305698,,,6233,,1921782.0,2600359.0,-1625.0,-1625.0
