date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,11618,2464,2964,2964,2.45,2.45,,30995,,41112,2013年01月01日至2013年03月31日,140511,143475,141424,144388,157424,14082,223922,497982,274060,274060,116636,53026,,,2.44,2.44,22498,140511,171506,,,,-913,-913
2013-08-09,2,2013,,10158,2955,389,389,2.48,2.48,,30152,,56004,2013年04月01日至2013年06月30日,156256,156645,157472,157861,173295,13113,260245,593511,333266,333266,159971,72907,,,2.45,2.45,31060,156256,186408,,,,-1216,-1216
2013-11-07,3,2013,,0,3465,-1669,-1669,2.36,2.36,,30536,,56773,2013年07月01日至2013年09月30日,149548,147879,150235,148573,176619,3465,277106,606551,329445,329445,152826,67512,,,2.35,2.35,28541,149548,180084,,,,-687,-694
2014-03-20,4,2013,,32064,12421,-256,1425,9.15,9.15,,122420,,211899,2013年01月01日至2013年12月31日,578815,578559,582189,581943,656750,44485,1016519,2257972,1241453,1241453,584703,260801,,-2025.0,9.1,9.1,112003,578815,701235,,-344.0,,-3374,-3384
2014-05-12,1,2014,,18099,3006,3214,3214,2.33,2.33,,27230,,58061,2014年01月01日至2014年03月31日,148016,151230,148418,151630,154141,21105,242359,544530,302171,302171,148030,60849,,,2.32,2.32,29120,148016,175246,,,,-402,-400
2014-08-12,2,2014,,-17050,4521,-3194,-3194,1.48,1.48,,22260,,71232,2014年第2季,103322,100128,103780,100585,138111,-12529,269150,565894,296744,296744,158633,60603,,,1.47,1.47,26798,103322,125582,,,,-458,-457
2014-11-07,3,2014,,-11554,3010,3898,3898,1.58,1.58,,21816,,55563,2014年第3季,110050,113948,110361,114261,140410,-8544,264810,553254,288444,288444,148034,61319,,,1.57,1.57,31152,110050,131866,,,,-311,-313
2015-03-20,4,2014,,10205,20003,17953,19273,7.0,7.0,,100177,,256369,2014年度,488652,506605,489784,507737,558621,30208,1044396,2222014,1177618,1177618,618997,246186,,-1591.0,6.95,6.95,116442,488652,588829,,-271.0,,-1132,-1132
2015-04-27,1,2015,,-40656,4374,-8138,-8138,1.12,1.12,-8138.0,15353,,64088,2015年01月01日至2015年03月31日,78299,70161,78536,70407,129934,-36282,248199,531191,282992,282992,153058,58784,,,1.11,1.11,30186,78299,93652,,,,-237,-246
2015-08-03,2,2015,,1772,7397,-3710,-3710,1.19,1.19,-3710.0,17117,,73708,2015年第2季,82770,79060,82961,79250,90718,9169,257918,512563,254645,254645,163927,56276,,,1.17,1.17,33943,82770,99887,,,,-191,-190
2015-10-28,3,2015,,76533,3252,23748,23748,1.67,1.67,23748.0,28482,-2084.0,68286,2015年第3季,129358,153106,128736,152491,80139,77701,290550,542420,251870,251870,171731,67805,,,1.66,1.66,35640,129358,157840,,,,622,615
2016-03-23,4,2015,-1638.0,28728,17235,9314,10952,4.58,4.58,10952.0,77532,-6872.0,263423,2015年度,352391,361705,352408,361736,390849,39074,1077011,2114572,1037561,1037561,646712,244909,-1974.0,,4.54,4.54,138380,352391,429923,-336.0,,17.0,-17,-31
2016-05-03,1,2016,,-21835,2091,-9002,-9002,0.61,0.61,-9002.0,8799,-5624.0,70011,2016年01月01日至2016年03月31日,44557,35555,47227,38264,78887,-25531,259419,495166,235747,235747,156860,65178,,,0.61,0.61,21671,44557,53356,,,163.0,-2670,-2709
2016-08-08,2,2016,,-45,2752,621,621,0.69,0.69,621.0,17220,-4015.0,80741,2016年第2季,49547,50168,52970,53588,68614,-1847,265032,500373,235341,235341,166727,64859,,,0.68,0.68,21127,49547,66767,,,539.0,-3423,-3420
2016-11-04,3,2016,,-46645,2406,-10963,-10963,0.12,0.12,-10963.0,7046,-3858.0,65631,2016年第3季,5394,-5569,9340,-1581,61595,-49155,251200,466568,215368,215368,153773,68472,,,0.12,0.12,19670,5394,12440,,,1058.0,-3946,-3988
