date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,6345,1687,,503,,503,-0.49,,,,-310,,-1739,7593,2013年01月01日至2013年03月31日,-38625,-38122,-38625,-38122,,-42248,3313,58501,68353,9852,9852,52100,,29845,,,,,14662,-38625,-38935,0,2980,,,,,,,
2013-08-09,2,2013,,542,513,,245,3029.0,245,-0.49,,880.0,,-14303.0,-1161.0,-1161.0,10071,2013年04月01日至2013年06月30日,-38522,-38277,-38522,-38277,1422.0,-49690,-3135,97495,102671,5176,5176,54866,-14303.0,33579,,,,,11216,-38522,-52825,0.0,3029,97495.0,97495.0,102671.0,102671.0,0.0,,
2013-11-08,3,2013,,-1402,427,,-124,,-124,-0.39,,,,0.0,,-1161.0,9584,2013年07月01日至2013年09月30日,-30528,-30652,-30528,-30652,,-25846,-4682,96691,124358,27667,27667,53513,,32570,,,,,11359,-30528,-30528,0.0,2546,,,124380.0,124358.0,22.0,,
2014-03-21,4,2013,,3872,3171,,227,,905,-1.48,,,,-14613.0,,-5222.0,34517,2013年01月01日至2013年12月31日,-116090,-115863,-116090,-115863,,-122570,-8133,328143,419984,91841,91841,214411,,131854,,-524.0,,,48040,-116090,-130703,154.0,9954,,,421299.0,419984.0,1315.0,,
2014-04-25,1,2014,,2662,620,,14,,17,0.05,,,,736,,0,7565,2014年01月01日至2014年03月31日,3593,3607,3593,3607,,2350,1979,135710,189727,54017,54017,51667,,30573,,,,,13529,3593,4329,3,1303,,,189793,189727,66,,
2014-08-08,2,2014,,-2141,270,,-198,,-238,0.12,,,,2024.0,,0.0,8019,2014年第2季,9575,9377,9575,9377,,14937,-3338,102515,171306,68791,68791,53854,,32047,,,0.12,,13788,9575,11599,-40.0,1467,,,176541.0,171306.0,5235.0,,
2014-11-07,3,2014,,7459,-16,,289,,289,-0.05,-0.05,,,0.0,,0.0,5808,2014年第3季,-3747,-3458,-3747,-3458,,-9648,5901,95465,136914,41449,41449,51097,,34480,,,-0.05,-0.05,10809,-3747,-3747,,1542,,95465.0,,136914.0,,,
2015-03-20,4,2014,,13167,1345,,-254,,475,-0.46,-0.46,,,5794.0,,0.0,28787,2014年度,-36507,-36761,-36507,-36761,,-38700,7987,558092,740537,182445,182445,221145,,141805,,-729.0,-0.46,-0.46,50553,-36507,-30713,0.0,6525,,558092.0,,740537.0,,,
2015-05-08,1,2015,,-3348,335,,-427,,-427,0.1,0.1,,-427.0,0.0,,,11239,2015年01月01日至2015年03月31日,8028,7601,8028,7601,,13392,-5364,236049,309622,73573,73573,60181,,36056,,,0.1,0.1,12886,8028,8028,,2351,,236049.0,,309622.0,,,
2015-08-07,2,2015,,-4974,413,,-278,,-278,-0.08,-0.08,,-278.0,0.0,,,5809,2015年第2季,-6301,-6579,-6301,-6579,,646,-6947,90401,142442,52041,52041,51395,,33487,,,-0.08,-0.08,12099,-6301,-6301,,2386,,90401.0,,142442.0,,,
2015-11-06,3,2015,,14692,224,,517,,517,0.08,0.08,,517.0,0.0,,,6507,2015年第3季,6542,7059,6542,7059,,-5847,12389,119764,167561,47797,47797,53644,,34674,,,0.08,0.08,12463,6542,6542,,2527,,119764.0,,167561.0,,0.0,0.0
2016-03-25,4,2015,-786.0,6502,1209,,-1552,,-766,0.67,0.67,,-766.0,0.0,,,34062,2015年度,52884,51332,52884,51332,,55833,-2949,727747,1023814,296067,296067,240234,,145872,-786.0,,0.62,0.62,60300,52884,52884,,10660,,727747.0,,1023814.0,,,
2016-05-06,1,2016,,-5095,237,,-492,,-492,-0.25,-0.25,,-492.0,,,,9331,2016年01月01日至2016年03月31日,-19283,-19775,-19283,-19775,,-11431,-7852,189432,232759,43327,43327,54758,,33865,,,-0.25,-0.25,11562,-19283,-19283,,2994,,189432.0,,232759.0,,,
2016-08-05,2,2016,,-35072,281,-6082.0,-803,,-803,-0.21,-0.21,,-803.0,,,,6665,2016年第2季,-16684,-17487,-16684,-17487,,20601,-37285,264271,352499,88228,88228,61545,,38127,,,-0.21,-0.21,16753,-16684,-16684,,2494,,264271.0,,352499.0,,,
2016-11-11,3,2016,,-19364,610,-10629.0,-1231,,-1231,-0.57,-0.57,,-1231.0,,,,6322,2016年第3季,-44661,-45892,-44661,-45892,,-22987,-21674,203308,247782,44474,44474,56832,,36567,,,-0.57,-0.57,13943,-44661,-44661,,2920,,203308.0,,247782.0,,,
