date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,已實現銷貨（損）益,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產減損損失,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,-1793,,100444,13096,6909,2801,-50530,104651,4108,4207,-1.29,-1.29,12088,,,,,,,471,-471,,99950,2013年01月01日至2013年03月31日,,-599557,-494906,,-592765,-488114,,0.0,-589248,-10309,2886468,2591788,-294680,-294680,244038,50529,,-1.29,-1.29,93559,-599557,-599557,,,,,,29843,785,,,,,2886468.0,,-6792,-6792
2013-08-07,2,2013,,,389,,-145191,19611,17574,11456,-88950,-141687,6118,3504,0.64,0.64,21142,,,,1372,,,505,-505,,120016,2013年04月01日至2013年06月30日,,335129,193442,,330615,188928,,,72945,263556,3619418,4076461,457043,457043,295148,77504,,0.64,0.64,97628,335129,336501,,,,,,39708,1142,,,266584,,,,4514,4514
2013-11-06,3,2013,,,842,,-33770,2104,18743,8879,0,-67730,2664,-33960,0.74,0.74,-4543,,,,-8326.0,,,268,-268,,102619,2013年07月01日至2013年09月30日,12432.0,464671,396941,,464898,397168,,,502378,-46033,5470874,6386387,915513,903081,400703,134917,,0.74,0.74,163167,464671,456345,7200.0,,,,,66612,-7489,,,0.0,,5470874.0,,-227,-227
2014-03-18,4,2013,,,5330,,-36727,307477,68341,41912,-139511,5724,19229,42451,0.86,0.86,37869,,,,-16026.0,,,1582,-1582,,342464,2013年01月01日至2013年12月31日,,515445,521169,,502480,508204,,,314357,185062,18374388,20084253,1709865,1709865,1255997,407519,,0.85,0.85,506014,515445,499419,7200.0,,,,266584.0,189174,-8354,,,,,18374388.0,,12965,12965
2014-05-06,1,2014,,,1632,,-5330,62343,6520,3564,0,-10577,2956,-5247,0.52,0.52,70592,,,,-839.0,,,0,0,,152823,2014年01月01日至2014年03月31日,,384390,373813,,407245,396668,,0.0,368890,14661,6486312,7277299,790987,790987,422097,113633,,0.51,0.51,155641,384390,383551,,,,,,54202,6617,,,,,6486312.0,,-22855,-22855
2014-07-24,2,2014,,,3083,,-7410,14588,103405,97710,32699,-80157,5695,-72747,0.49,0.49,-16849,,,,-6391.0,,,6,-6,,119996,2014年第2季,,385106,304949,,386701,306544,,,313446,65269,6717868,7386905,669037,669037,388290,117399,,0.48,0.48,150895,385106,378715,,,,,28582.0,52718,-5938,,,,6717868.0,6717868.0,7386905.0,-1595,-1595
2014-11-04,3,2014,,,8935,,-14970,3997,47783,43977,44015,100097,3806,115067,-0.23,-0.23,16671,172243.0,,,-10164.0,,,27030,-27030,,127630,2014年第3季,0.0,-152842,-52745,,-182667,-91076,,,-118392,-44614,5832101,5886514,54413,226656,389063,111657,,-0.23,-0.23,149776,-152842,-163006,0.0,,,,-2401.0,69364,1338,,,,,5832101.0,,29825,38331
2015-03-17,4,2014,,,22022,,-40457,87202,175195,154143,37294,121446,21052,161903,0.28,0.28,151656,,,,-22400.0,,,42694,-42694,,519499,2014年度,-207582.0,244389,365835,,218562,332094,,,247524,-25535,26000535,27580249,1579714,1787296,1577066,451574,,0.27,0.27,605993,244389,221989,0.0,,,,-14072.0,245238,28360,,,,,26000535.0,27580249.0,25827,33741
2015-05-06,1,2015,,,746,0.0,-9624,-19505,7957,4385,0,-59106,3572,-49482,-0.55,-0.55,-59291,10601.0,,-59106.0,-4779.0,,,525,-525,,107582,2015年01月01日至2015年03月31日,,-492225,-551331,,-466905,-522730,,0.0,-422720,-74284,4740267,4630335,-109932,-99331,323389,85585,,-0.55,-0.55,130222,-492225,-497004,,,,,-955.0,62211,-41487,,,,,4740267.0,4630335.0,-25320,-28601
2015-08-11,2,2015,,,-1172,,-20853,13968,15267,4287,-16224,-91860,9898,-71007,-0.9,-0.9,17401,27849.0,1082.0,-91860.0,-1156.0,,,2282,-2282,,336673,2015年第2季,,-783858,-875718,,-767042,-853641,,,-751051,-33963,5180992,4987462,-193530,-165681,569146,97333,,-0.9,-0.9,135140,-783858,-785014,,,,,0.0,60916,4605,,,,5180992.0,5180992.0,4987462.0,-16816,-22077
