date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-7533,,,27091,12527,,52305,59532,-1.63,,,0,2400.0,-2320,,,13632,2013年01月01日至2013年03月31日,-680060,-627755,-188201,-144576,-658714,-21346,3296131,2791586,-504545,-504545,154169,46124,,,94413,-680060,-680060,,2094.0,,58644,794,,2800885,2791586,8505,-491859,-483179
2013-08-13,2,2013,,39747,,,83507,15590,,88440,57200,-1.25,-1.25,,-20729,1474.0,-21636,,,14522,2013年04月01日至2013年06月30日,-599806,-511366,-144313,-100688,-618701,-1834,3775920,3286966,-488954,-488954,129747,13600,,,101625,-599806,-620535,,9981.0,,79295,3967,,3290933,3286966,0,-455493,-410678
2013-11-12,3,2013,,-16765,0.0,0.0,79180,13021,,-40295,-27622,-1.25,,,42736,-604.0,2060,,,19347,2013年07月01日至2013年09月30日,-472933,-513228,-144039,-166149,-450786,20589,3861763,3569721,-292042,-292042,158744,25384,,,114013,-472933,-430197,,-4696.0,,73672,556,,3589405,3569721,19128,-328894,-347079
2014-03-27,4,2013,,2638,-3427.0,-3427.0,-65235,95103,,148373,132115,-5.57,,,43052,9096.0,-32684,,,71928,2013年01月01日至2013年12月31日,-2451836,-2303463,-644435,-600164,-2123877,-284907,15390879,13885630,-1505249,-1505249,618628,115775,,22907.0,430925,-2451836,-2408784,,18383.0,,282091,6646,,13951131,13885630,58855,-1803974,-1699872
2014-05-08,1,2014,,7413,0.0,0.0,-88570,7067,,39937,37662,-0.4,,,43020,1265.0,273,,,36269,2014年01月01日至2014年03月31日,-154922,-114985,-45740,-16600,26356,-138258,3764697,3969256,204559,204559,178203,26336,,,115598,-154922,-111902,,6403.0,,57028,149,,3972300,3969256,2895,-109182,-98385
2014-08-06,2,2014,,-13276,0.0,0.0,81366,17194,10581.0,-66315,-58919,-0.43,,,-1411,-4701.0,14,,,14326,2014年第2季,-236116,-302431,-49218,-81037,-275946,38419,3740191,3631955,-108236,-108236,167710,28807,,,124577,-236116,-237527,,,,60155,1031,,3633002,3631955,16,-186898,-221394
2014-11-10,3,2014,,-39530,0.0,0.0,-52649,13647,,23812,54272,-1.35,,,-18683,22064.0,-5153,,,23847,2014年第3季,-641390,-617578,-155330,-160760,-538844,-121229,4306023,3969770,-336253,-336253,202591,37000,,,141744,-641390,-660073,,12994.0,,77074,581,3970351.0,3970351,3969770,0,-486060,-456818
2015-03-25,4,2014,,-54327,0,0,-686725,51265,,101674,168919,-4.91,,,11040,22672,-5833,,,96821,2014年度,-2167127,-2065453,-567121,-517255,-1226733,-929354,16471289,15948182,-523107,-523107,703626,120539,,-4311,486266,-2167127,-2156087,,31279,,288061,16996,,16060794,15948182,95616,-1600006,-1548198
2015-05-13,1,2015,,-39042,0.0,0.0,66048,34345,,-77859,-45654,-0.92,,-77859.0,1760,,-4448,-924.0,,23800,2015年01月01日至2015年03月31日,-431315,-509174,-106433,-167467,-446562,17007,4412267,4142217,-270050,-270050,176512,30131,,,122581,-431315,-429555,,,-7761.0,78938,2220,,4144453,4142217,16,-324882,-341707
2015-08-07,2,2015,0.0,-67729,0.0,0.0,45206,11295,,-92394,-28927,-1.67,,-92394.0,2362,,2318,-655.0,,23401,2015年第2季,-614602,-706996,-193438,-251513,-604820,-7420,3924011,3491928,-432083,-432083,172737,32886,,,116450,-614602,-612240,0.0,,-4917.0,66239,2862,,3537647,3491928,42857,-421164,-455483
2015-11-11,3,2015,0.0,-94620,0.0,0.0,-265648,22605,,-23940,84786,-1.61,,-23940.0,9108,,-11433,307.0,,36330,2015年第3季,-607276,-631216,-186139,-232598,-274518,-323650,3932708,3853137,-79571,-79571,194947,28816,,,129801,-607276,-598168,0.0,,14413.0,69174,888,,3892888,3853137,38863,-421137,-398618
2016-03-29,4,2015,8016,-217396,0,0,-539280,96686,,-279958,-70126,-8.31,,-287974,12582,,-19353,-10100,,284830,2015年度,-2155032,-2434990,-960416,-1158573,-1396082,-746368,16305772,15807590,-498182,-498182,897900,125734,9658,,487336,-2155032,-2142450,1642,,-9648,284421,6211,,15909708,15807590,95907,-1194616,-1276417
2016-05-10,1,2016,,-10159,0.0,0.0,45729,42521,,-42149,-44214,0.66,,-42149.0,5553,,-3539,4707.0,,36204,2016年01月01日至2016年03月31日,350225,308076,76853,52727,342198,13580,4801685,5343923,542238,542238,200040,39065,,,124771,350225,355778,,,-7517.0,71131,830,,5346609,5343923,1856,273372,255349
2016-08-05,2,2016,0.0,3749,0.0,0.0,8969,17027,,-52918,-68774,0.05,,-52918.0,4847,,-1292,416.0,416.0,37802,2016年第2季,125978,73060,5722,-16836,170565,-39740,4508740,4873412,364672,364672,194107,36754,,,119551,125978,130825,0.0,,-11691.0,64444,15960,,4925065,4873412,35693,120256,89896
2016-11-09,3,2016,,90324,,,-149096,10250,,19459,-90431,-4.65,,19459.0,-27039,,13973,1876.0,,82381,2016年第3季,-1211640,-1192181,-538095,-538181,-1055773,-182906,3474458,2646949,-827509,-827509,228264,33552,,,112331,-1211640,-1238679,,,-17690.0,58033,7,,2646956,2646949,0,-673545,-654000
