date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,0.0,,,22171,1553,,18244,18244,-0.99,-0.99,,-7923,52262,2013年01月01日至2013年03月31日,-109951,-91707,-109951,-91707,-124446,6572,2023434,2096875,73441,73441,197887,72988,,,72637,-109951,-117874,17152,2023434,2096875,0.0,0.0
2013-08-12,2,2013,,0.0,,,64305,2874,2874.0,10083,10083,0.26,0.26,,8675,44497,2013年04月01日至2013年06月30日,35177,45260,35177,45260,-6534,50386,3117098,3294706,177608,177608,184142,76652,,,62993,35177,43852,16793,3117098,3294706,,
2013-11-06,3,2013,,0.0,,,1831,2301,2301.0,-6080,-6080,-0.96,-0.96,,3499,59668,2013年07月01日至2013年09月30日,-132365,-138445,-132365,-138445,-113010,-15856,1687083,1809372,122289,122289,235299,78968,,,96663,-132365,-128866,19988,1687083,1809372,,
2014-03-24,4,2013,,0.0,,,194173,10217,10217.0,29712,29492,-2.96,-2.96,,20850,192872,2013年01月01日至2013年12月31日,-388416,-358704,-388416,-358704,-499054,131488,8085191,8440496,355305,355305,854359,307462,,220.0,354025,-388416,-367566,72902,8085191,8440496,,
2014-05-12,1,2014,,,,,18400,2604,,7390,7390,-2.34,-2.34,,6306,29166,2014年01月01日至2014年03月31日,-321763,-314373,-321763,-314373,-314168,-1289,1300427,1183472,-116955,-116955,197213,89132,,,78915,-321763,-315457,22293,1300427,1183472,,
2014-08-08,2,2014,,,,,-17742,2863,2863.0,-5862,-5862,-1.49,-1.49,,7481,47261,2014年第2季,-204785,-210647,-204785,-210647,-159729,-37575,2816578,2824578,8000,8000,167729,92840,,,27628,-204785,-197304,22696,2816578,2824578,,
2014-11-03,3,2014,,,,,67642,2671,2671.0,4865,4865,0.23,0.23,,7906,55659,2014年第3季,32088,36953,32088,36953,-2797,42791,2951754,3153244,201490,201490,204287,82274,,,66354,32088,39994,27522,2951754,3153244,,
2015-03-20,4,2014,,,,,170900,11729,11729.0,12737,18074,-3.4,,,22311,173682,2014年度,-468004,-455267,-468004,-455267,-528795,83102,9655097,9875885,220788,220788,749583,330322,,-5337.0,245579,-468004,-445693,99527,9655097,9875885,,
2015-05-05,1,2015,,,0.0,0.0,-6316,4699,,-2236,-2236,-2.78,-2.78,-2236.0,1066,24188,2015年01月01日至2015年03月31日,-390460,-392696,-390460,-392696,-364880,-24514,1308446,1086744,-221702,-221702,143178,55511,,,63479,-390460,-389394,22897,1308446,1086744,0.0,0.0
2015-08-11,2,2015,,,,,-2891,2738,2738.0,-2421,-2421,-2.61,-2.61,-2421.0,18688,31892,2015年第2季,-367706,-370127,-367706,-370127,-328253,-20765,1574234,1419265,-154969,-154969,173284,55672,,,85720,-367706,-349018,20612,1574234,1419265,,
2015-11-09,3,2015,,,,,-75552,3012,3012.0,7592,7592,-3.01,-3.01,7592.0,2644,35700,2015年第3季,-423431,-415839,-423431,-415839,-328388,-92399,1298622,1128580,-170042,-170042,158346,41442,,,81204,-423431,-420787,19859,1298622,1128580,,
2016-06-21,4,2015,-6428.0,,,,-965253,14119,14119.0,16005,22433,-18.63,,22433.0,34526,172893,2015年度,-2618755,-2602750,-2618755,-2602750,-1553981,-1030248,5022177,4191042,-831135,-831135,722846,183055,-6428.0,,366898,-2618755,-2584229,79114,5022177,4191042,,
2016-08-10,1,2016,,,0.0,0.0,-731615,2404,,-8110,-8110,-7.39,-7.39,-8110.0,108309,10133,2016年01月01日至2016年03月31日,-1032311,-1040421,-1032311,-1040421,-183869,-740133,188862,118456,-70406,-70406,113463,16356,,,86974,-1032311,-924002,10922,188862,118456,0.0,0.0
2016-08-10,2,2016,,,,,-721430,4674,4674.0,-21564,-21564,-8.08,-8.08,-21564.0,109400,14313,2016年上半年度,-1128430,-1149994,-1128430,-1149994,-280587,-738443,408763,279153,-129610,-129610,150977,28036,,,108628,-1128430,-1019030,21687,408763,279153,,
