date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,0.0,,,,9366,1736,244,244,1.09,,15100,,66621,2013年01月01日至2013年03月31日,73733,73977,73733,73977,79523,9310,1839132,2183758,344626,344626,265103,176150,,,1.06,22332,73733,88833,,,,1792,0.0,0.0
2013-08-06,2,2013,,,-2286.0,,,10017,2075,-2111,175,1.51,,21365,,68920,2013年04月01日至2013年06月30日,102752,100641,102752,100641,114161,9956,2321912,2715662,393750,393750,279589,184918,,,1.46,25751,102752,124117,,,,2136,,
2013-11-12,3,2013,,0.0,-795.0,,,-8800,2396,-926,-131,0.52,,7500,,60392,2013年07月01日至2013年09月30日,37230,36304,37230,36304,52913,-8183,2055829,2365045,309216,309216,256303,173203,,,0.52,22708,37230,44730,,,,1779,,
2014-03-13,4,2013,,,-4102.0,,,26106,7653,48,501,3.0,,50291,,272650,2013年01月01日至2013年12月31日,213817,213865,213817,213865,237436,26672,8321046,9628256,1307210,1307210,1069774,702665,,4396.0,2.92,94459,213817,264108,,747.0,,7087,,
2014-05-06,1,2014,,0.0,10506.0,,,16572,1224,10440,-66,1.1,,11465,,62644,2014年01月01日至2014年03月31日,78369,88809,78369,88809,73658,16176,1848178,2199383,351205,351205,277547,184773,,,1.08,30130,78369,89834,,,,1620,0.0,0.0
2014-08-06,2,2014,,0.0,-2001.0,0.0,0.0,-13692,1691,-2249,-248,1.24,,5807,,77624,2014年第2季,88334,86085,88334,86085,107317,-13176,1926779,2324887,398108,398108,290791,188274,,,1.22,24893,88334,94141,,,,1175,0.0,0.0
2014-11-06,3,2014,,,-2502.0,0.0,0.0,30491,2118,-2123,379,2.5,,25867,,78297,2014年第3季,178848,176725,178848,176725,172853,31862,2325258,2824414,499156,499156,326303,214619,,,2.46,33387,178848,204715,,,,747,0.0,0.0
2015-03-19,4,2014,,,6003.0,,,56792,9225,6529,594,6.67,,62252,,366768,2014年度,476061,482590,476061,482590,476539,61774,8276907,10049614,1772707,1772707,1296168,808290,,-82.0,6.5,121110,476061,538313,,-14.0,,4243,,
2015-05-12,1,2015,,0.0,-2506.0,,,-4585,2259,-2675,-169,1.16,-2675.0,12237,,71061,2015年01月01日至2015年03月31日,83448,80773,83448,80773,99081,-3396,1571763,1973909,402146,402146,303065,203509,,,1.13,28495,83448,95685,,,,1070,0.0,0.0
2015-08-06,2,2015,,,-3126.0,0.0,0.0,-5038,1754,-1331,1795,0.56,-1331.0,6162,,72369,2015年第2季,40530,39199,40530,39199,51858,-5166,1598283,1945826,347543,347543,295685,193048,,,0.55,30268,40530,46692,,,,1882,0.0,0.0
2015-11-05,3,2015,,,1167.0,0.0,0.0,37944,1227,18016,16849,1.4,18016.0,14443,0.0,79059,2015年第3季,100502,118518,100502,118518,78491,36454,1694768,2116530,421762,421762,343271,227848,,,1.39,36364,100502,114945,,,0.0,2717,0.0,0.0
2016-03-17,4,2015,-496.0,,-1901.0,,,42383,10900,991,3388,4.45,1487.0,46961,,317232,2015年度,319149,320140,319149,320140,321048,45062,6618217,8272431,1654214,1654214,1333166,873914,-598.0,,4.33,142020,319149,366110,-102.0,,,8221,,
2016-05-06,1,2016,,0.0,0.0,,,-23244,1319,-1929,-1929,0.3,-1929.0,5799,,72530,2016年01月01日至2016年03月31日,21280,19351,21280,19351,50661,-23582,1368115,1738640,370525,370525,319864,214321,,,0.29,33013,21280,27079,,,,1657,0.0,0.0
