date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-11-12,3,2013,,-26656,,,26859,25127,-115108,-60303,0.10,0.10,,-3437,,-28149,45784,,106449,2013年07月01日至2013年09月30日,75742,-39366,75870,-39238,-24131,96436,1416991,1704326,287335,287335,311466,142247,,,0.10,0.10,62770,75742,72305,,,1334,-128,-128
2014-05-14,1,2014,,-12369,,,35644,74277,217556,198258,-0.05,-0.05,,41540,,31667,191192,,445030,2014年01月01日至2014年03月31日,-37927,179629,-37931,179625,-289727,293340,7309613,8498811,1189198,1189198,1478925,658393,,,,,375502,-37927,3613,,,7773,4,4
2014-08-11,2,2014,,3899,,,-14709,83822,-223683,-306417,0.42,0.42,,98398,,78835,280320,,440259,2014年第2季,311693,88010,311753,88070,73575,336516,10166276,11745022,1578746,1578746,1505171,713041,,,0.42,0.42,351871,311693,410091,,0,12917,-60,-60
2014-11-13,3,2014,,-136310,,,3240,169883,113891,347312,0.29,0.29,,65254,,-97111,304181,,408970,2014年第3季,218402,332293,218463,332354,-182747,466403,8639635,9989217,1349582,1349582,1532329,760513,,,0.29,0.29,362846,218402,283656,,,10901,-61,-61
2015-03-23,4,2014,,-94686,,,-148370,390563,782609,889391,1.03,1.03,,289903,,23350,1213705,,1671976,2014年度,760920,1543529,761086,1543695,-360929,1411752,36356436,42060342,5703906,5703906,6064835,2919197,,-42706,1.02,1.02,1473662,760920,1050823,,-7260,44146,-166,-166
2015-05-08,1,2015,,7098,,,-6700,54491,-260588,-286412,0.58,0.58,-260588,136554,,,358030,18726,364627,2015年01月01日至2015年03月31日,432008,171420,432008,171420,173656,394906,11917009,13413852,1496843,1496843,1323187,617013,,,0.57,0.57,341547,432008,568562,,,10915,0,0
2015-08-07,2,2015,,29551,,,-23026,64410,-302754,-157380,0.69,0.69,-302754,118044,,,313876,-174925,328217,2015年第2季,520689,217935,520689,217935,296309,342424,15039466,16625857,1586391,1586391,1290082,603072,,,0.69,0.69,358793,520689,638733,,,12836,0,0
2015-11-10,3,2015,,-197382,,,46067,182175,874193,1103148,0.64,0.64,874193,129173,,,300524,-31573,331819,2015年第3季,491221,1365414,491221,1365414,100771,519623,8758687,10177575,1418888,1418888,1318117,586571,,,0.64,0.64,399727,491221,620394,,,9143,0,0
2016-03-25,4,2015,-32865,-184940,,,-7205,375910,-116247,400893,2.32,2.32,-83382,260011,-5185,,1380981,-299335,1357072,2015年度,1754092,1637845,1754092,1637845,296470,1717633,44470901,50054765,5583864,5583864,5287394,2356604,-33349,,2.30,2.30,1573718,1754092,2014103,-5669,,32053,0,0
2016-05-11,1,2016,,91503,,,-89818,52335,-331791,-310414,0.22,0.22,-331791,48230,,,316999,-112880,324108,2016年01月01日至2016年03月31日,163328,-168463,163328,-168463,-66191,277749,8001698,9141065,1139367,1139367,1205558,570767,,,0.21,0.21,310683,163328,211558,,,1767,,
2016-08-10,2,2016,,28874,,,19150,49444,-74593,-110274,0.81,0.81,-74593,24311,,,334371,6807,318792,2016年第2季,617962,543369,617962,543369,242507,399766,10129236,11613613,1484377,1484377,1241870,616034,,,0.81,0.81,307044,617962,642273,,,3199,,
2016-11-09,3,2016,,226415,0,0,1049,142139,-460251,-602171,1.01,1.01,-460251,68253,,,434435,-84495,295535,2016年第3季,798918,338667,798918,338667,294819,572352,11158876,12650022,1491146,1491146,1196327,529836,,,1.00,1.00,370956,798918,867171,,,5271,0,0
