date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備損失,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,,14163,6954,170872,6954,2636.0,170872,0.8,0.8,,,40229,,-3123,,66136,2013年01月01日至2013年03月31日,121361,292233,122222,293094,,146232,15358,1686824,2038005,351181,351181,204949,15598,,,0.8,0.8,123215,121361,161590,,2636,1686824,2038005,-861,-861
2013-08-12,2,2013,,,,-50347,10325,129346,10325,,129159,0.23,0.23,,,61706,187.0,-7343,,69122,2013年04月01日至2013年06月30日,35407,164753,35514,164860,,147356,-50243,1783056,2153334,370278,370278,222922,18767,,,0.23,0.23,135033,35407,97113,,2878,1783056,2153334,-107,-107
2013-11-05,3,2013,,,,-9930,11001,-64254,11001,,-64778,1.13,1.13,,,42045,524.0,-1251,,95873,2013年07月01日至2013年09月30日,171320,107066,171531,107277,,216585,-3220,2161256,2619829,458573,458573,241988,16222,,,1.12,1.12,129893,171320,213365,,3040,2161256,2619829,-211,-211
2014-03-25,4,2013,,,,-51673,37134,344903,37134,11635.0,344268,3.27,3.27,,,170945,511.0,-12350,,323058,2013年01月01日至2013年12月31日,497173,842076,498501,843404,,706642,-38524,7912721,9555626,1642905,1642905,936263,74779,,124.0,3.26,3.26,538426,497173,668118,,11635,7912721,9555626,-1328,-1328
2014-05-13,1,2014,,,,44244,12494,94261,12494,,94637,1.04,1.04,,,35426,-376,-2949,,83881,2014年01月01日至2014年03月31日,158202,252463,158318,252579,,143686,49942,1948162,2321792,373630,373630,229944,22095,,,1.03,1.03,123968,158202,193628,,3847,1948162,2321792,-116,-116
2014-08-12,2,2014,,,,-19151,13494,-141707,13494,,-141820,0.26,0.26,,,50034,113.0,-4845,,92763,2014年第2季,39131,-102576,39249,-102458,,102839,-13674,2016199,2352941,336742,336742,233903,16138,,,0.26,0.26,125002,39131,89165,,3172,2016199,2352941,-118,-118
2014-11-11,3,2014,,,,23712,13354,130592,13354,2506.0,130829,0.74,0.74,,,57582,-237.0,-9934,,107501,2014年第3季,112957,243549,113049,243641,,145913,24626,2098216,2501651,403435,403435,257522,15287,,,0.74,0.74,134734,112957,170539,,2506,2098216,2501651,-92,-92
2015-03-24,4,2014,,,,67452,51371,415717,51371,12698.0,414177,2.59,2.59,,,142605,1615.0,-19086,,403709,2014年度,393411,809128,393741,809458,,448977,87039,8001757,9440661,1438904,1438904,989927,72613,,-75.0,2.57,2.57,513605,393411,536016,,12698,8001757,9440661,-330,-330
2015-05-12,1,2015,,,,8283,9946,-111248,9946,,-109806,-0.26,-0.26,,-111248.0,11456,,4956,-1442.0,98250,2015年01月01日至2015年03月31日,-40264,-151512,-40301,-151549,,-49096,20288,1703932,1881576,177644,177644,226740,11761,,,-0.26,-0.26,116729,-40264,-28808,,2897,1703932,1881576,37,37
2015-08-12,2,2015,,,,-11993,12121,-73849,12121,,-72491,-0.25,-0.25,,-73849.0,36407,,8338,-1358.0,92873,2015年第2季,-38589,-112438,-38626,-112475,,-8953,6771,1579720,1791045,211325,211325,220278,12679,,,-0.25,-0.25,114726,-38589,-2182,,1695,1579720,1791045,37,37
2015-11-12,3,2015,276905.0,,8989.0,-196980,12908,187993,12908,,188715,-2.27,-2.27,88914.0,187993.0,56374,,1593,-722.0,112363,2015年第3季,-345510,-157517,-345547,-157554,276905.0,-105009,-184127,1469421,1618553,149132,149132,254141,14723,,,-2.27,-2.27,127055,-345510,-289136,,1648,1469421,1618553,37,37
2016-03-22,4,2015,,0,49511,-275667,54420,-129974,54420,10847,-137580,-3.49,-3.49,121996,-129974,96178,,16210,7606,381055,2015年度,-531432,-661406,-529762,-659736,281703,-219370,-215884,6309112,7035332,726220,726220,945590,57428,0,,-3.49,-3.49,507107,-531432,-435254,66449,10847,6309112,7035332,-1670,-1670
2016-05-09,1,2016,,,1428.0,-17578,13798,-109818,13798,2859.0,-104590,0.6,0.6,-16150.0,-109818.0,12066,,8402,-5228.0,75655,2016年01月01日至2016年03月31日,86270,-23548,87522,-22296,,96573,1763,1255808,1556582,300774,300774,204201,12367,,,0.59,0.59,116179,86270,98336,,2859,1255808,1556582,-1252,-1252
