date,season,year,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,利息收入合計,利息費用,基本每股盈餘合計,已實現銷貨（損）益,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營建成本,營建收入,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,33.0,115,13826,10774.0,3052.0,138.0,19.72,,8640,4108.0,-4108,2600,2013年01月01日至2013年03月31日,,4894455,4894455,4894444,4894444,2070375,6989000,2070375,,6989000,4893400,9695,2071118,6995283,4924165,4924165,30765,743,6283,19.61,28165,4894455,4903095,138,148.0,11,11
2013-08-13,2,2013,,-7231,9655,,,,-0.96,,239871,,688,3638,2013年04月01日至2013年06月30日,250.0,-239434,-239434,-239437,-239437,55967,84453,55967,,84453,-2675,3112,57237,90564,33327,33077,35752,1270,6111,-0.96,32114,-239434,437,0,,3,3
2013-11-14,3,2013,,-23023,13882,,,,0.75,,-85,,-9771,21311,2013年07月01日至2013年09月30日,380.0,187351,187351,187353,187353,240621,497689,240621,,497689,213944,-26678,241334,504448,263114,262734,48790,713,6759,0.75,27479,187351,187266,7766,,-2,-2
2014-03-24,4,2013,,-5678,8766,,,,20.36,-921.0,257852,14387.0,-14387,45897,2013年01月01日至2013年12月31日,,5062992,5062992,5063002,5063002,2662360,8207574,2662360,8207574.0,8207574,5358007,-37163,2666789,8233267,5566478,5565557,207550,4429,25693,20.28,161653,5062992,5320844,25864,,-10,-10
2014-05-12,1,2014,0.0,8478,75,,75.0,,-0.2,-617.0,20918,3525.0,-3525,3590,2014年01月01日至2014年03月31日,,-49422,-49422,-49432,-49432,41166,46071,41166,,46071,-19891,-8613,41709,52048,10339,9722,29613,543,5977,-0.2,26023,-49422,-28504,13641,8478.0,10,10
2014-08-11,2,2014,,5490,376,,,,0.06,-432.0,239443,,-5331,289788,2014年第2季,,14346,14346,14328,14328,454248,1028519,454248,,1028519,255717,-1928,454897,1033815,578918,578486,322769,649,5296,0.06,32981,14346,253789,2463,,18,18
2014-11-12,3,2014,,2880,31,,,,1.72,,39404,,-5481,55969,2014年第3季,394.0,449320,449320,449444,449444,609955,1190784,609955,,1190784,500389,-11665,610117,1195589,585472,585078,84689,162,4805,1.63,28720,449320,488724,9095,,-124,-124
2015-03-26,4,2014,,16252,982,,,,7.22,,94320,13856.0,-13856,388461,2014年度,2338.0,1885541,1885541,1885665,1885665,2611447,5187827,2611447,5187827.0,5187827,2023529,-43668,2613886,5208686,2594800,2592462,568933,2439,20859,6.88,180472,1885541,1979861,47046,,-124,-124
2015-05-13,1,2015,,3130,18,,,,0.0,,29507,,-3653,73610,2015年01月01日至2015年03月31日,301.0,1160,1160,1048,1048,194516,330715,194516,,330715,40781,-10114,194890,336867,141977,141676,100895,374,6152,0.0,27285,1160,30667,9609,3130.0,112,112
2015-08-06,2,2015,,5648,401,,,,-0.02,,43116,,-2726,36494,2015年第2季,1000.0,-4671,-4671,-4554,-4554,350933,468701,350933,,468701,53225,-14780,363239,478026,114787,113787,60562,12306,9325,-0.02,24068,-4671,38445,18103,,-117,-117
2015-11-11,3,2015,,798,16,,,,1.28,,12629,,-7275,27963,2015年第3季,511.0,349935,349935,349922,349922,566480,975708,566480,,975708,383295,-20731,569427,1008832,439405,438894,55599,2947,33124,1.21,27636,349935,362564,14270,,13,13
2016-03-29,4,2015,,8089,1156,,,,2.44,,100177,11410.0,-11410,149914,2015年度,2057.0,670424,670424,670582,670582,1941044,3034767,1941044,3034767.0,3034767,835989,-65388,1974809,3116204,1141395,1139338,303349,33765,81437,2.33,153435,670424,770601,63223,,-158,-158
2016-05-12,1,2016,,6398,80,,,,2.3,,42484,,-5172,13533,2016年01月01日至2016年03月31日,180.0,630344,630344,630347,630347,2179169,2856394,2179169,,2856394,674562,-1734,2182005,2899139,717134,716954,42392,2836,42745,2.18,28859,630344,672828,3040,6398.0,-3,-3
2016-08-10,2,2016,,5481,874,,,,0.86,,21429,,-13666,5273,2016年第2季,161.0,248801,248801,248814,248814,523307,803995,523307,,803995,277541,-7311,541731,853583,311852,311691,34150,18424,49588,0.86,28877,248801,270230,0,,-13,-13
2016-11-10,3,2016,,7586,16,,,,4.73,,12104,,1180303,19438,2016年第3季,-250.0,1386955,1386955,1386956,1386956,589414,818004,589414,,818004,211156,1187903,592299,860800,268501,268751,57595,2885,42796,4.72,38157,1386955,1399059,2,,-1,-1
