date,season,year,不重分類至損益之項目總額（稅後）,以成本衡量之金融資產淨利益（損失）,保險業務淨收益,保險負債準備淨變動合計,停業單位損益合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換損益,其他不重分類至損益之項目,其他什項淨利益（損失）,其他利息以外淨損益,其他業務及管理費用,出售承受擔保品淨利益（損失）,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金淨收益,投資性不動產損益,折舊及攤銷費用,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額合計,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財產交易利益淨利益（損失）,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權
2013-05-24,1,2013,,,570642,679725,,353287,-474988.0,,1552393,,151191,373788,1294037,,2907983,12195980,6846810,5349170,964812,3647651,98905,0.3,,-447708,1000729,,312031,,0.0,,1786,2013年01月01日至2013年03月31日,,-403735.0,2408829,2005094,9754793,5253719,,,0.3,2408829,2856537.0,,,-27652.0,,222597.0,20831.0,,-965473,31942,-20298
2013-08-28,2,2013,,205107.0,31970,82903,,273146,-845995.0,,902268,,186537,395538,1333307,4063.0,2190210,12090856,6699399,5391457,630703,3853791,43322,0.27,,-393646,1107966,,322932,,0.0,,2206,2013年04月01日至2013年06月30日,,-801023.0,2272327,1471304,8889609,5510030,,,0.27,2272327,2665973.0,,,1650.0,,-169.0,24948.0,,-547832,23276,-191918
2013-11-25,3,2013,,55536.0,210279,215949,,96166,-1110344.0,,-213048,,88879,175659,1419471,12037.0,1888310,12271956,6858480,5413476,464609,3695794,-29511,0.26,,-418283,1020902,,318837,,0.0,,2736,2013年07月01日至2013年09月30日,,-1083187.0,2213847,1130660,8746790,5434102,,,0.26,2213847,2632130.0,,,56668.0,,19207.0,9774.0,,585842,-11534,-193408
2014-03-28,4,2013,,260673.0,-788591,-585998,,818301,-1811209.0,,2293412,,397531,953458,5618303,53605.0,7435801,49143883,27418883,21725000,3476057,15049929,219179,1.0,,-1432169,4526423,,1281563,,0.0,,11402,2013年01月01日至2013年12月31日,,-1246831.0,8582661,7335830,34854684,21949795,,330047.0,1.0,8582661,10014830.0,,,15152.0,,241649.0,48834.0,,-427438,85994,-211689
2014-05-26,1,2014,,,-1418458,-1333122,,307700,124137.0,,161806,,91282,750497,1247991,,1723802,12817010,7040296,5776714,2001229,3640340,115335,0.28,,-386938,1297431,,327665,,,,1574,2014年01月01日至2014年03月31日,,225998.0,2493057,2719055,8764098,5215996,,,0.28,2493057,2879995.0,,,-13474.0,,659215.0,,-23691.0,646943,60645,30027
2014-08-25,2,2014,,208809.0,-1506398,-1611814,,369771,-117670.0,,-281905,,102099,310908,1394910,0.0,781275,13266817,7355324,5911493,759632,3849317,-176129,0.31,,-568265,1309348,,324250,,-223.0,,3269,2014年第2季,,-268011.0,2852039,2584028,8136599,5568477,,,0.31,2852039,3420304.0,,,26011.0,,0.0,,-50.0,576332,29336,42160
2014-11-27,3,2014,,44241.0,-2004777,-2078507,,193597,-1168218.0,,1046813,,77133,2142767,1921225,0.0,2454880,13516262,7689329,5826933,2650580,4028620,37366,0.32,,-367323,1510703,,330445,,0.0,,5001,2014年第3季,,-1110922.0,2924523,1813601,10144209,6280290,,,0.32,2924523,3291846.0,,,19930.0,,2021393.0,,45.0,-439269,26563,-117354
2015-03-23,4,2014,,252973.0,-6096977,-6319674,,944787,36359.0,,955021,,-73170,2860787,6574542,0.0,5715644,52927408,29770829,23156579,6426454,15430175,252775,1.13,,-1651340,5436442,,1310640,,-591.0,,15018,2014年度,,268558.0,10412996,10681554,35486473,23315357,,-34287.0,1.13,10412996,12064336.0,,,14302.0,,2680984.0,,-21236.0,1621802,176644,310084
2015-05-25,1,2015,0.0,,-467415,-599771,,332093,,665846.0,1352361,0.0,62804,62804,1736340,,1731233,13250986,7773202,5477784,724193,3989076,-429467,0.3,300759.0,-476144,1457319,,327430,,,,3013,2015年01月01日至2015年03月31日,300759.0,,2851023,3151782,9504435,6052846,,,0.3,2851023,,3327167.0,0.0,,64380.0,0.0,,-1892.0,-1007050,118713,276495
2015-08-24,2,2015,50809.0,188158.0,-222347,-429718,,303707,,-362821.0,257638,,254037,442195,1771127,,2406159,13197793,7822421,5375372,453403,4156946,-31030,0.3,-361273.0,-519780,1543563,,328408,50809.0,,-17.0,4332,2015年第2季,-310464.0,,3428634,3118170,10228580,6256481,,,0.3,3428634,,3948414.0,,,32595.0,0.0,,2148.0,74923,141310,44525
