date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,-8,2865,2865.0,2690,0.89,0.89,,12257,,2690.0,12889.0,,18277,2013年01月01日至2013年03月31日,71997,74687,68410,71100,70301,13953,86891,205274,118383,118383,48082,12257.0,,,0.89,0.89,29805,71997,84254,1793,86891.0,205274.0,3587,3587
2013-08-12,2,2013,,,-10540,15053,15053.0,-3054,0.89,0.89,,17280,,-3054.0,23560.0,,17039,2013年04月01日至2013年06月30日,70665,67611,68585,65531,65729,22216,87262,207258,119996,119996,54267,17280.0,,,0.81,0.81,37228,70665,87945,5857,87262.0,207258.0,2080,2080
2013-11-11,3,2013,,,191,6903,6903.0,5973,0.66,0.66,,9506,,5973.0,10690.0,,19538,2013年07月01日至2013年09月30日,58496,64469,56075,62048,57090,10912,92688,204935,112247,112247,55157,9506.0,,,0.55,0.55,35619,58496,68002,6872,92688.0,204935.0,2421,2421
2014-03-07,4,2013,,,6095,32937,,-1553,3.03,,,54349,,-2289.0,59643.0,,70816,2013年01月01日至2013年12月31日,279464,277911,257043,255490,257121,76692,362501,821729,459228,459228,202107,,,736.0,2.72,,131291,279464,333813,21983,,,22421,22421
2014-03-26,4,2014,,,93323,29823,,-71882,3.7,,,71242,,-72435.0,46252.0,,79965,2014年度,349856,277974,327729,255847,281615,139483,425562,934923,509361,509361,227746,,,553.0,3.16,,147781,349856,421098,29915,,,22127,22127
2014-04-24,1,2014,,,-6251,4481,,-1300,0.71,,,12753,,-1300.0,10572.0,,16617,2014年01月01日至2014年03月31日,60023,58723,59771,58471,70936,1840,92234,213080,120846,120846,49910,,,,0.58,,33293,60023,72776,6962,,,252,252
2014-05-05,1,2015,,4427.0,-8875,5110,,4427,0.78,,4427.0,27714,,,0.0,0.0,42007,2015年01月01日至2015年03月31日,99333,103760,101721,104765,143195,-16148,175148,409350,234202,234202,91007,,,,0.7,,49000,99333,127047,12383,,,-2388,-1005
2014-07-21,2,2014,,,-7388,17896,,-4895,0.94,,,14719,,-4895.0,16014.0,,13822,2014年第2季,73277,68382,79762,74867,68513,19483,95786,219220,123434,123434,54921,,,,0.78,,41099,73277,87996,7039,,,-6485,-6485
2014-11-10,3,2014,,,37650,3119,,1053,0.96,,,16900,,1053.0,13495.0,,16502,2014年第3季,94891,95944,81275,82328,64156,47635,100485,219130,118645,118645,54489,,,,0.79,,37987,94891,111791,6629,,,13616,13616
2015-07-30,2,2015,,-10719.0,15121,57301,,-10719,1.22,,-10719.0,27407,,,0.0,0.0,42382,2015年第2季,154976,144257,160138,152768,124337,58046,192672,412479,219807,219807,95470,,,,1.08,,53088,154976,182383,14376,,,-5162,-8511
2015-11-03,3,2015,,32979.0,6303,12751,,32979,0.47,,32979.0,15704,,,0.0,0.0,56405,2015年第3季,55846,88825,61699,84375,65507,6043,238460,416019,177559,177559,112052,,,,0.44,,55647,55846,71550,13011,,,-5853,4450
2016-03-15,4,2015,-3966.0,,24827,81902,,-3966,2.33,2.33,,84206,0.0,,0.0,,223297,2015年度,270138,266172,305556,301590,301391,52953,928296,1671576,743280,743280,441889,,-3966.0,,2.13,2.13,218592,270138,354344,53776,,,-35418,-35418
2016-04-20,1,2016,,-1290.0,-26726,5194,,-1290,-0.66,-0.66,-1290.0,11614,,,,,92946,2016年01月01日至2016年03月31日,-114008,-115298,-86142,-87029,-60845,-41549,322613,423315,100702,100702,161547,,,,-0.66,-0.66,68601,-114008,-102394,20017,,,-27866,-28269
2016-08-04,2,2016,,-6132.0,-7870,41562,,-6132,-0.38,-0.38,-6132.0,8182,,,,,87021,2016年第2季,-73342,-79474,-49708,-53924,-81043,15883,339900,400173,60273,60273,141316,,,,-0.38,-0.38,54295,-73342,-65160,17809,,,-23634,-25550
2016-11-09,3,2016,,-13353.0,690,7063,,-13353,-0.22,-0.22,-13353.0,621,,,,,51928,2016年第3季,-43858,-57211,-31895,-41077,-35832,-7405,333489,402136,68647,68647,104479,,,,-0.22,-0.22,52551,-43858,-43237,15158,,,-11963,-16134
