date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-24,1,2013,,,17199,5401,21796,5401,21796,0.67,,,23673,,,4973,,,,,,,,26630,2013年01月01日至2013年03月31日,8999.0,151125,172921,,150447,172167,147225,27573,485159,892829,407670,398671,251446,146767,,,0.66,78049,151125,174798,,,,,,485159,892829,678,754
2013-07-24,2,2013,,,11095,6177,11413,6177,11413,0.97,,,34445,,,21135,,,,,,,,21710,2013年04月01日至2013年06月30日,8848.0,219225,230638,,217441,228836,215263,38407,554345,1046284,491939,483091,267828,159499,,,0.96,86619,219225,253670,,,,,,554345,1046284,1784,1802
2013-10-25,3,2013,,,388,5916,-9194,5916,-9194,0.87,105.0,,30848,,,17065,,,,,,,,22092,2013年07月01日至2013年09月30日,,195761,186567,,195147,186052,203240,23369,504557,969322,464765,464870,261630,155972,,,0.86,83566,195761,226609,,0.0,,,,504557,969322,614,515
2014-01-27,4,2013,,,41980,23211,36453,23211,37307,3.32,,,134232,,,61252,,,,,,,,93717,2013年01月01日至2013年12月31日,20115.0,747800,784253,,744945,781291,755589,126443,2071023,3894361,1823338,1803223,1047634,623336,,6016.0,3.28,330581,747800,882032,,6870.0,,,,2071023,3894361,2855,2962
2014-04-25,1,2014,,,1975,6371,-1414,6371,-1414,0.73,,,25865,,,7332,,,,,,,,18514,2014年01月01日至2014年03月31日,7584.0,165833,164419,,165101,163541,176020,15678,460130,884215,424085,416501,240481,146402,,,0.72,75565,165833,191698,,0.0,,,,460130,884215,732,878
2014-07-24,2,2014,,,-3045,7037,-14901,7037,-14901,0.92,,,32770,,,12233,,,,,,,,20718,2014年第2季,-415.0,209055,194154,,207224,192516,225600,16225,540111,1031154,491043,491458,265858,169835,,,0.91,75305,209055,241825,,0.0,,,,540111,1031154,1831,1638
2014-10-28,3,2014,,,19469,6421,18297,6421,18297,0.9,,,38433,,,18327,,,,,,,,22241,2014年第3季,-870.0,206691,224988,,204412,222735,200907,44217,513871,979845,465974,466844,265937,164215,,,0.9,79481,206691,245124,,0.0,,,,513871,979845,2279,2253
2015-01-26,4,2014,,,37104,26480,30596,26480,35989,3.5,,,139935,,,57440,,,,,,,,84369,2014年度,4815.0,798584,829180,,791556,822225,817495,121024,2041772,3930519,1888747,1883932,1066437,658023,,888.0,3.46,324045,798584,938519,,6281.0,,,,2041772,3930519,7028,6955
2015-04-27,1,2015,,,-2838,6671,-4446,6671,-4446,0.71,,-4446.0,28318,,,6104,,,,,,,,20622,2015年01月01日至2015年03月31日,5564.0,161707,157261,,160549,156103,180088,9937,443652,878241,434589,429025,248937,150778,,,0.7,77537,161707,190025,,,,,,443652,878241,1158,1158
2015-07-27,2,2015,,,2796,7902,-13279,7902,-13279,0.97,,-13279.0,38908,,,19045,,,,,,,,24148,2015年第2季,4079.0,222220,208941,,220005,206726,231385,29743,534210,1036154,501944,497865,266480,158161,,,0.96,84171,222220,261128,,,,,,534210,1036154,2215,2215
2015-10-27,3,2015,,,22031,5831,31041,5831,31041,0.97,,31041.0,39481,,,21186,,,,,,,,25953,2015年第3季,-1109.0,227002,258043,,219622,250663,217435,49048,508550,1013868,505318,506427,288992,176908,,,0.96,86131,227002,266483,,,0.0,,,508550,1013868,7380,7380
2016-01-25,4,2015,,-12504.0,16300,26759,-25886,26759,-16122,3.57,0.0,-13382.0,128382,,,57094,,,,,,,,99150,2015年度,-258.0,818321,792435,,806806,780920,846550,100153,2019362,3967840,1948478,1948736,1102186,659417,-15066.0,,3.52,343619,818321,946703,-2562.0,,-2740.0,,,2019362,3967840,11515,11515
2016-04-25,1,2016,0.0,0.0,10044,5240,-4366,5240,-3703,0.74,0.0,-4366.0,26014,0.0,0.0,6749,-663.0,-663.0,0.0,0.0,0.0,0.0,0.0,20447,2016年01月01日至2016年03月31日,5920.0,169120,164754,0.0,168076,163710,173101,22033,460491,908086,447595,441675,268574,170126,0.0,,0.74,78001,169120,195134,0.0,,0.0,0.0,0.0,460491,908086,1044,1044
2016-07-25,2,2016,,,-10324,4825,-21954,4825,-20467,0.89,,-21954.0,36757,,,22522,-1487.0,-1487.0,,,,,,26386,2016年第2季,-1544.0,204220,182266,,201959,180005,223954,17023,558360,1093602,535242,536786,312832,201076,,,0.88,85370,204220,240977,,,0.0,,,558360,1093602,2261,2261
2016-10-31,3,2016,,,-3693,2875,-28925,2875,-27147,0.92,,-28925.0,31375,,,21078,-1778.0,-1778.0,,,,,,26231,2016年第3季,-6007.0,209077,180152,,206996,178071,220192,20260,557046,1071178,514132,520139,299947,185633,,,0.91,88083,209077,240452,,,0.0,,,557046,1071178,2081,2081
