date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,4948,4507,11847,11847,1.0,1.0,,30205,17181,2013年01月01日至2013年03月31日,79608,91455,79608,91455,101869,7944,187994,363591,175597,175597,73728,24303,,,0.98,0.98,32244,79608,109813,,,1511,,
2013-08-09,2,2013,,2234,13289,7242,7242,1.3,1.3,,25699,15506,2013年04月01日至2013年06月30日,103819,111061,103819,111061,115191,14327,177474,366366,188892,188892,73701,26161,,,1.28,1.28,32034,103819,129518,,,1196,,
2013-11-08,3,2013,,-3782,11516,-5278,-5278,1.15,1.15,,18339,22042,2013年07月01日至2013年09月30日,91701,86423,91701,86423,103456,6584,202460,386931,184471,184471,81015,29238,,,1.13,1.13,29735,91701,110040,,,1150,,
2014-03-20,4,2013,,7101,41953,23852,21926,4.72,4.72,,90051,76276,2013年01月01日至2013年12月31日,377285,401137,377285,401137,422547,44789,766186,1496174,729988,729988,307441,106343,,1739.0,4.65,4.65,124822,377285,467336,,-187.0,4265,,
2014-05-07,1,2014,,3158,6096,-1203,-1203,1.07,1.07,,18260,21373,2014年01月01日至2014年03月31日,85940,84737,85940,84737,95341,8859,186030,365097,179067,179067,83726,30219,,,1.07,1.07,32134,85940,104200,,,395,,
2014-08-08,2,2014,,-9278,8947,-8458,-8458,1.5,1.5,,29207,21028,2014年第2季,120041,111583,120041,111583,150008,-760,219899,456713,236814,236814,86806,30306,,,1.49,1.49,35472,120041,149248,,,429,,
2014-11-07,3,2014,,5626,10661,13075,13075,1.19,1.19,,20312,17925,2014年第3季,95442,108517,95442,108517,99980,15774,224976,403097,178121,178121,78141,24910,,,1.19,1.19,35306,95442,115754,,,513,,
2015-03-20,4,2014,,15162,31718,17823,17856,5.01,5.01,,83105,81834,2014年度,400681,418504,400681,418504,437626,46160,840857,1606737,765880,765880,328254,112683,,-39.0,4.95,4.95,133737,400681,483786,,-6.0,720,,
2015-05-13,1,2015,,-3618,8481,-5167,-5167,1.24,1.24,-5167.0,24028,19518,2015年01月01日至2015年03月31日,99441,94274,99441,94274,118710,4759,177051,381934,204883,204883,86173,31762,,,1.23,1.23,34893,99441,123469,,,104,,
2015-08-11,2,2015,,-5847,9542,-7171,-7171,1.67,1.67,-7171.0,29870,21444,2015年第2季,133272,126101,133272,126101,159483,3659,198061,444819,246758,246758,87275,29599,,,1.65,1.65,36232,133272,163142,,,36,,
2015-11-11,3,2015,,13307,12645,20983,20983,1.6,1.6,20983.0,28532,21436,2015年第3季,128368,149351,128368,149351,130910,25990,205445,424494,219049,219049,88139,30351,,,1.59,1.59,36352,128368,156900,,,-38,,
2016-03-19,4,2015,-1314.0,-533,42071,-4818,-3504,5.83,5.83,-3504.0,86338,88167,2015年度,466526,461708,466526,461708,511428,41436,800411,1673936,873525,873525,362097,125021,-1583.0,,5.75,5.75,148909,466526,552864,-269.0,,102,,
2016-05-12,1,2016,,-7784,7848,-10041,-10041,1.04,1.04,-10041.0,16325,21139,2016年01月01日至2016年03月31日,83692,73651,83453,73412,99953,64,188807,371569,182762,182762,82809,25602,,,1.03,1.03,36068,83692,100017,,,0,239.0,239.0
2016-08-11,2,2016,,-6413,14504,34775,34775,1.52,1.52,34775.0,10003,23916,2016年第2季,119932,154707,121406,156181,121844,8091,216284,430322,214038,214038,92194,29613,,,1.51,1.51,38665,119932,129935,,,0,-1474.0,-1474.0
2016-11-11,3,2016,,-14698,11932,-20023,-20023,1.36,1.36,-20023.0,21947,27819,2016年第3季,106901,86878,109047,89024,131626,-2778,220267,453588,233321,233321,101695,34654,,,1.35,1.35,39222,106901,128848,,,12,-2146.0,-2146.0
