date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,勞務收入合計,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費收入合計,投資收入合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,旅遊服務收入合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程收入合計,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,育樂收入淨額,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）,餐旅服務收入淨額
2013-04-30,1,2013,,,1738,0.0,,,22057,9385,3038,0.0,0.0,41795,6347,2630,0.0,,50512,2.0,2.0,41757.0,0.0,0.0,,47226,0.0,0.0,0.0,,0.0,0.0,,40344,0.0,2013年01月01日至2013年03月31日,,325203,366998,325203,366998,0.0,0.0,343617,28812,1256801,1766173,509372,509372,165755,47226.0,19429,,,0.0,1.99,1.99,105982,325203,372429,0.0,,8717.0,,2630,0.0,17962.0,0.0,6347,1256801,1256801,44834,1817375,1817375,1766173,6368,0.0,0.0,0.0,0.0
2013-07-31,2,2013,,,1442,0.0,0.0,0.0,21322,10503,2471,0.0,0.0,9071,8032,2985,0.0,,10708,2.03,2.03,22050.0,0.0,0.0,,96757,0.0,0.0,0.0,,0.0,0.0,,41992,0.0,2013年04月01日至2013年06月30日,,331273,340344,331273,340344,0.0,0.0,399190,28840,1333429,1913212,579783,579783,180593,96757.0,21475,,,0.0,2.02,2.02,117126,331273,428030,0.0,,1637.0,,2985,,-714.0,0.0,8032,1333429,1333429,14793,1935070,1935070,1913212,7065,0.0,0.0,0.0,0.0
2013-10-31,3,2013,,,172,,,,-3342,12438,4423,,,-21171,8015,3335,,,-25831,3.16,3.16,0.0,6996.0,,,77942,,,,,,,,47720,,2013年07月01日至2013年09月30日,,514332,493161,514332,493161,,,586513,5761,1470629,2238500,767871,767871,181358,77942.0,21428,,,,3.15,3.15,112210,514332,592274,,,-4660.0,,3335,3826.0,0.0,,8015,1470629,1470629,14186,2261998,2261998,2238500,9312,,,,
2014-02-26,4,2013,,,3433,0.0,0.0,0.0,58280,44205,12458,0.0,0.0,18049,31747,13298,0.0,,48653,9.72,9.72,78945.0,0.0,0.0,,280430,0.0,0.0,0.0,,0.0,0.0,,177676,0.0,2013年01月01日至2013年12月31日,,1583473,1601522,1583473,1601522,0.0,0.0,1774716,89187,5452342,7929440,2477098,2477098,702382,280430.0,84893,,-27007.0,0.0,9.65,9.65,439813,1583473,1863903,0.0,,3597.0,,13298,0.0,17232.0,0.0,31747,5452342,5452342,88488,8053281,8053281,7929440,35353,0.0,0.0,0.0,0.0
2014-05-08,1,2014,,,0,0.0,0.0,0.0,16105,12233,2660,0.0,0.0,30391,9573,3809,0.0,,37547,1.92,1.92,19160.0,0.0,0.0,,57131,0.0,0.0,0.0,,0.0,0.0,,46254,0.0,2014年01月01日至2014年03月31日,,313497,343888,313497,343888,0.0,0.0,346099,24529,1342423,1867127,524704,524704,178605,57131.0,20678,,,0.0,1.91,1.91,111673,313497,370628,0.0,,7156.0,,3809,0.0,3055.0,0.0,9573,1342423,1342423,14335,1885515,1885515,1867127,4053,0.0,0.0,0.0,0.0
2014-08-13,2,2014,,,3690,0.0,0.0,0.0,-16236,14101,1856,0.0,0.0,-26346,12245,7720,0.0,,-32861,2.25,2.25,0.0,20595.0,0.0,,91217,0.0,0.0,0.0,,0.0,0.0,,51424,0.0,2014年第2季,,366121,339775,366121,339775,0.0,0.0,467193,-9855,1540636,2205339,664703,664703,197510,91217.0,25158,,,0.0,2.24,2.24,120928,366121,457338,0.0,,-6515.0,,7720,8049.0,0.0,0.0,12245,1540636,1540636,11355,2224899,2224899,2205339,8205,0.0,0.0,0.0,0.0
2014-10-31,3,2014,,,980,0.0,0.0,0.0,20456,14121,2167,0.0,0.0,23426,11954,11914,0.0,,29402,3.04,3.04,32140.0,0.0,0.0,,90181,0.0,0.0,0.0,,0.0,0.0,,55751,0.0,2014年第3季,,495215,518641,495215,518641,0.0,0.0,562733,22663,1557914,2339341,781427,781427,218694,90181.0,21878,,,0.0,2.83,2.83,141065,495215,585396,0.0,,5976.0,,11914,0.0,10704.0,0.0,11954,1557914,1557914,13714,2360307,2360307,2339341,7252,0.0,0.0,0.0,0.0
2015-02-26,4,2014,,,4993,0.0,0.0,0.0,63403,59407,8074,0.0,0.0,71192,51333,37700,0.0,,97431,9.27,9.27,91183.0,0.0,0.0,,289319,0.0,0.0,0.0,,0.0,0.0,,204281,0.0,2014年度,,1510642,1581834,1510642,1581834,0.0,0.0,1714851,85110,5848552,8337547,2488995,2488995,774144,289319.0,100580,,-7684.0,0.0,8.91,8.91,469283,1510642,1799961,0.0,,18555.0,,37700,0.0,22787.0,0.0,51333,5848552,5848552,61458,8450565,8450565,8337547,51560,0.0,0.0,0.0,0.0
2015-05-15,1,2015,0.0,0.0,2242,0.0,0.0,0.0,-1772,14279,1128,0.0,0.0,-13402,13151,13785,0.0,0.0,-17171,1.28,1.28,0.0,7306.0,0.0,-13402.0,36801,,0.0,0.0,0.0,,0.0,0.0,38545,0.0,2015年01月01日至2015年03月31日,36801.0,209142,195740,209142,195740,0.0,0.0,247221,-1278,1386030,1800816,414786,414786,167565,,23546,,,0.0,1.22,1.22,105474,209142,245943,0.0,0.0,,-3769.0,13785,7776.0,0.0,0.0,13151,1386030,1386030,6308,1823617,1823617,1800816,16493,0.0,0.0,0.0,0.0
2015-08-13,2,2015,0.0,0.0,45,0.0,0.0,0.0,-5455,18838,2945,0.0,0.0,-16722,15893,12879,0.0,0.0,-21460,1.13,1.13,,6907.0,0.0,-16722.0,86126,,0.0,0.0,0.0,,0.0,0.0,43274,0.0,2015年第2季,86126.0,184611,167889,184611,167889,0.0,0.0,270233,504,1487903,1938779,450876,450876,180643,,25982,,,0.0,1.12,1.12,111387,184611,270737,0.0,0.0,,-4738.0,12879,1497.0,,0.0,15893,1487903,1487903,4754,1975616,1975616,1938779,32083,0.0,0.0,0.0,0.0
2015-11-05,3,2015,0.0,0.0,338,0.0,0.0,0.0,63740,16111,4758,0.0,0.0,74373,11353,12729,0.0,0.0,96017,2.44,2.44,89327.0,,0.0,74373.0,72215,,0.0,0.0,0.0,,0.0,0.0,51163,0.0,2015年第3季,72215.0,397196,471569,397196,471569,0.0,0.0,402289,67122,1539495,2137908,598413,598413,196124,,22987,,,0.0,2.27,2.27,121974,397196,469411,0.0,0.0,,21644.0,12729,,25249.0,0.0,11353,1539495,1539495,18762,2173905,2173905,2137908,17235,0.0,0.0,0.0,0.0
2016-03-04,4,2015,0.0,3393.0,4008,0.0,0.0,0.0,57879,64802,10300,0.0,0.0,45688,54502,51625,0.0,0.0,54948,6.39,6.39,79046.0,,0.0,42295.0,241630,,0.0,0.0,0.0,,0.0,0.0,173048,0.0,2015年度,241630.0,1041411,1087099,1041411,1087099,0.0,0.0,1211985,71056,5857711,7771904,1914193,1914193,702208,,97631,4088.0,,0.0,6.03,6.03,431529,1041411,1283041,0.0,695.0,,12653.0,51625,,17159.0,0.0,54502,5857711,5857711,44791,7894816,7894816,7771904,78121,0.0,0.0,0.0,0.0
2016-05-06,1,2016,0.0,0.0,560,0.0,0.0,0.0,-26406,31204,21093,0.0,0.0,-22209,10111,12530,0.0,0.0,-29102,1.39,1.39,,25894.0,0.0,-22209.0,42474,,0.0,0.0,0.0,,0.0,0.0,47250,0.0,2016年01月01日至2016年03月31日,42474.0,225698,203489,225698,203489,0.0,0.0,275904,-7732,1447080,1916650,469570,469570,193666,,20905,,,0.0,1.3,1.3,125511,225698,268172,0.0,0.0,,-6893.0,12530,48.0,,0.0,10111,1447080,1447080,13449,1938511,1938511,1916650,8412,0.0,0.0,0.0,0.0
2016-08-12,2,2016,,,2361,,,,-7417,17793,7057,,,3278,10736,11800,,,4248,1.62,1.62,,7784.0,,3278.0,60171,,,,,,,,50030,,2016年第2季,60171.0,263597,266875,263597,266875,,,325192,-1424,1537145,2055341,518196,518196,193004,,24309,,,,1.6,1.6,118665,263597,323768,,,,970.0,11800,2728.0,,,10736,1537145,1537145,9406,2074819,2074819,2055341,10072,,,,
2016-11-11,3,2016,0.0,0.0,191,0.0,0.0,0.0,-29112,10834,2181,0.0,0.0,-30539,8653,11964,0.0,0.0,-40392,1.39,1.39,0.0,35413.0,0.0,-30539.0,43380,,0.0,0.0,0.0,,0.0,0.0,44510,0.0,2016年第3季,43380.0,226762,196223,226762,196223,0.0,0.0,300384,-30242,1579815,2064363,484548,484548,184164,,24446,,,0.0,1.33,1.33,115208,226762,270142,0.0,0.0,,-9853.0,11964,6492.0,0.0,0.0,8653,1579815,1579815,6955,2080599,2080599,2064363,9281,0.0,0.0,0.0,0.0
