date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,354,52,6737,2334,425,0,5.0,85769,1909,7427,85739,0.38,0.38,7091.0,0.0,,10244,28068,2013年01月01日至2013年03月31日,57253,143022,58924,142919,65853,1644,395543,556362,160819,160819,94966,19273,,-27.0,0.37,0.37,47625,57253,67497,,,0.0,7427,,,395543,231,556759,556362,166,-1671,103
2013-08-13,2,2013,,402,-51,7716,5914,3072,175,,62898,2842,7837,63012,0.48,0.48,8118.0,0.0,,33476,25035,2013年04月01日至2013年06月30日,77713,140611,75131,136761,105396,5793,463775,669411,205636,205636,100415,19852,,-76.0,0.47,0.47,55528,77713,111189,,-13.0,0.0,7837,,,463775,193,670007,669411,403,2582,3850
2013-11-11,3,2013,,366,-159,4416,7223,3334,-526,,-29581,3889,8468,-29359,0.51,0.51,4782.0,0.0,,18265,22796,2013年07月01日至2013年09月30日,78195,48614,79783,50768,93289,3171,466459,660967,194508,194508,100693,20408,,-75.0,0.5,0.5,57489,78195,96460,,-12.0,0.0,8468,,,466459,111,661420,660967,342,-1588,-2154
2014-03-11,4,2013,,2215,-85,26951,22958,10037,-313,,170974,12921,32746,172173,1.78,1.78,29166.0,,,76569,100857,2013年01月01日至2013年12月31日,271959,442933,280315,447847,331365,17163,1797522,2534972,737450,737450,405772,79926,,-1342.0,1.74,1.74,224989,271959,348528,,-228.0,0.0,32746,,,1797522,2610,2538636,2534972,1054,-8356,-4914
2014-05-13,1,2014,,228,-9,1937,5563,1223,2758,-28.0,43875,4340,8458,43743,0.42,0.42,2165.0,,,7998,25059,2014年01月01日至2014年03月31日,61400,105275,66382,107219,70356,-958,471345,645951,174606,174606,107008,19812,,169.0,0.41,0.41,62137,61400,69398,,,,8458,,,471345,418,646465,645951,96,-4982,-1944
2014-08-08,2,2014,,773,-2,-6362,5332,675,53,,-68804,4657,8614,-68727,0.5,0.5,0.0,5065.0,,28770,25616,2014年第2季,80258,11454,78909,13477,118672,-9644,566787,796611,229824,229824,111205,20936,,-89.0,0.49,0.49,64653,80258,109028,,-14.0,,8614,,524.0,566787,438,797660,796611,611,1349,-2023
2014-11-12,3,2014,,1035,-8,-2933,4754,827,-143,,62678,3927,7813,62760,0.69,0.69,8613.0,,,33530,28699,2014年第3季,115329,178007,108552,170516,154851,-5992,632422,911866,279444,279444,124450,20384,,-90.0,0.68,0.68,75367,115329,148859,,-16.0,,7813,,10511.0,632422,855,913304,911866,583,6777,7491
2015-03-10,4,2014,,1177,-29,5245,22185,5179,-1783,,199914,17006,32828,199031,2.28,2.28,25037.0,,,105877,109970,2014年度,372997,572911,360453,557753,484272,-5398,2279747,3238109,958362,958362,472307,84705,,1099.0,2.23,2.23,277632,372997,478874,,187.0,,32828,,18615.0,2279747,3064,3242501,3238109,1328,12544,15158
2015-05-08,1,2015,204.0,483,-542,-19819,5365,833,-10,,-55015,4532,7848,-54677,0.47,0.47,0.0,11974.0,-55219.0,16926,30943,2015年01月01日至2015年03月31日,74048,19033,74090,19775,113276,-22302,553640,797056,243416,243416,130130,24712,246.0,,0.46,0.46,74475,74048,90974,42.0,,1007.0,7848,,8369.0,553640,1540,798703,797056,107,-42,-742
2015-08-07,2,2015,-104.0,1164,0,-2084,5980,718,20,,-32832,5262,8486,-32728,0.48,0.48,,2739.0,-32728.0,36520,35615,2015年第2季,82347,49515,76689,44045,123457,-4590,569669,825305,255636,255636,132199,22017,-126.0,,0.47,0.47,74567,82347,118867,-22.0,,0.0,8486,1819.0,0.0,569669,2155,827460,825305,0,5658,5470
